###########################
# SOV  attack subs
###########################
# Srednaya-class
submarine.0 = {
	hksubs-surfacesubs_satellitecommequipment = 0
	allsubs_silentoperations = 0
	hullmaxslots = 0
	hullmaxsize = 6	
}

# Model 1970
attack_submarine.6 = {
	unit_submarine_attack = 7
	sonarsystem = 4
	towed_sonarsystem = 0
	propulsion_diesel_submarine = 4
	closedefense = 0
	launcher_torpedotubes_533_650 = 6
	hksubs_strikeoperations = 0
	allsubs_autonomousoperations = 0
	hksubs_submarineescorting = 0
	hksubs_surfacevesselescorting = 0
	hksubs_planning_dynamiccombattempotraining = 0
	hksubs-surfacesubs_sensoryandweaponscommand = 0
	hksubs-surfacesubs_satellitecommequipment = 0
	allsubs_silentoperations = 0
	hullmaxslots = 0
	hullmaxsize = 6	
}
# Tango-class
attack_submarine.7 = {
	unit_submarine_attack = 8
	sonarsystem = 4
	towed_sonarsystem = 0
	propulsion_diesel_submarine = 2
	closedefense = 0
	launcher_torpedotubes_533_650 = 5
	hksubs_strikeoperations = 0
	allsubs_autonomousoperations = 0
	hksubs_submarineescorting = 0
	hksubs_surfacevesselescorting = 0
	hksubs_planning_dynamiccombattempotraining = 0
	hksubs-surfacesubs_sensoryandweaponscommand = 0
	hksubs-surfacesubs_satellitecommequipment = 0
	allsubs_silentoperations = 0	
	hullmaxslots = 0
	hullmaxsize = 2		
	wikipage = /wiki/Tango_class_submarine
}
# Kilo-class
attack_submarine.8 = {
	unit_submarine_attack = 9
	sonarsystem = 5
	towed_sonarsystem = 0
	propulsion_diesel_submarine = 3
	closedefense = 0
	launcher_torpedotubes_533_650 = 6
	hksubs_strikeoperations = 0
	allsubs_autonomousoperations = 0
	hksubs_submarineescorting = 0
	hksubs_surfacevesselescorting = 0
	hksubs_planning_dynamiccombattempotraining = 0
	hksubs-surfacesubs_sensoryandweaponscommand = 0
	hksubs-surfacesubs_satellitecommequipment = 0
	allsubs_silentoperations = 0	
	hullmaxslots = 0
	hullmaxsize = 4		
	wikipage = /wiki/Kilo_class_submarine
}
# Model 1985
attack_submarine.9 = {
	unit_submarine_attack = 10
	sonarsystem = 5
	towed_sonarsystem = 1
	propulsion_diesel_submarine = 5
	closedefense = 0
	launcher_torpedotubes_533_650 = 9
	hksubs_strikeoperations = 0
	allsubs_autonomousoperations = 0
	hksubs_submarineescorting = 0
	hksubs_surfacevesselescorting = 0
	hksubs_planning_dynamiccombattempotraining = 0
	hksubs-surfacesubs_sensoryandweaponscommand = 0
	hksubs-surfacesubs_satellitecommequipment = 0
	allsubs_silentoperations = 0
	hullmaxslots = 0
	hullmaxsize = 4	
}

# Model 1990
attack_submarine.10 = {
	unit_submarine_attack = 11
	sonarsystem = 6
	towed_sonarsystem = 2
	propulsion_diesel_submarine = 6
	closedefense = 0
	launcher_torpedotubes_533_650 = 10
	hksubs_strikeoperations = 0
	allsubs_autonomousoperations = 0
	hksubs_submarineescorting = 0
	hksubs_surfacevesselescorting = 0
	hksubs_planning_dynamiccombattempotraining = 0
	hksubs-surfacesubs_sensoryandweaponscommand = 0
	hksubs-surfacesubs_satellitecommequipment = 0
	allsubs_silentoperations = 0	
	hullmaxslots = 0
	hullmaxsize = 4	
}

###########################
# SOV  guided subs
###########################
# Whiskey Single Cylinder-class
guided_submarine.0 = {
	unit_submarine_missile = 1
	sonarsystem = 2
	propulsion_diesel_submarine = 0
	launcher_torpedotubes_533_650 = 1
	antishipmissile_shortrange = 0
	antishipmissile_longrange = 3
	allsubs_autonomousoperations = 0
	tacticalstrikesubs-surfacesubs_coordinatedoperations = 0
	allsubs_silentoperations = 	0
	hullmaxslots = 0
	hullmaxsize = 9	
	wikipage = /wiki/Whiskey_class_submarine
}
# Whiskey Twin Cylinder-class
guided_submarine.1 = {
	unit_submarine_missile = 2
	sonarsystem = 3
	propulsion_diesel_submarine = 0
	launcher_torpedotubes_533_650 = 1
	antishipmissile_shortrange = 0
	antishipmissile_longrange = 3
	allsubs_autonomousoperations = 0
	tacticalstrikesubs-surfacesubs_coordinatedoperations = 0
	allsubs_silentoperations = 	0
	hullmaxslots = 0
	hullmaxsize = 7	
	wikipage = /wiki/Whiskey_class_submarine
}
# Whiskey Long Bin-class
guided_submarine.2 = {
	unit_submarine_missile = 3
	sonarsystem = 3
	propulsion_diesel_submarine = 0
	launcher_torpedotubes_533_650 = 1
	antishipmissile_shortrange = 0
	antishipmissile_longrange = 3
	allsubs_autonomousoperations = 0
	tacticalstrikesubs-surfacesubs_coordinatedoperations = 0
	allsubs_silentoperations = 	0
	hullmaxslots = 0
	hullmaxsize = 7	
	wikipage = /wiki/Whiskey_class_submarine
}
# Juliet-class
guided_submarine.3 = {
	unit_submarine_missile = 4
	sonarsystem = 3
	propulsion_diesel_submarine = 4
	launcher_torpedotubes_533_650 = 4
	antishipmissile_shortrange = 0
	antishipmissile_longrange = 3
	allsubs_autonomousoperations = 0
	tacticalstrikesubs-surfacesubs_coordinatedoperations = 0
	allsubs_silentoperations = 	0
	hullmaxslots = 0
	hullmaxsize = 9
	wikipage = /wiki/Juliet_class_submarine
}
# Model 1970
guided_submarine.4 = {
	unit_submarine_missile = 5
	sonarsystem = 4
	propulsion_diesel_submarine = 4
	launcher_torpedotubes_533_650 = 6
	antishipmissile_shortrange = 0
	antishipmissile_longrange = 4
	allsubs_autonomousoperations = 0
	tacticalstrikesubs-surfacesubs_coordinatedoperations = 0
	allsubs_silentoperations = 	0
	hullmaxslots = 0
	hullmaxsize = 10
}

# Model 1975
guided_submarine.5 = {
	unit_submarine_missile = 6
	sonarsystem = 4
	propulsion_diesel_submarine = 4	
	launcher_torpedotubes_533_650 = 7
	antishipmissile_shortrange = 0
	antishipmissile_longrange = 5
	allsubs_autonomousoperations = 0
	tacticalstrikesubs-surfacesubs_coordinatedoperations = 0
	allsubs_silentoperations = 	0
	hullmaxslots = 0
	hullmaxsize = 8
}

# Model 1980
guided_submarine.6 = {
	unit_submarine_missile = 7
	sonarsystem = 5
	propulsion_diesel_submarine = 5	
	launcher_torpedotubes_533_650 = 8
	antishipmissile_shortrange = 0
	antishipmissile_longrange = 6
	allsubs_autonomousoperations = 0
	tacticalstrikesubs-surfacesubs_coordinatedoperations = 0
	allsubs_silentoperations = 	0
	hullmaxslots = 0
	hullmaxsize = 7
}

# Model 1985
guided_submarine.7 = {
	unit_submarine_missile = 8
	sonarsystem = 5
	propulsion_diesel_submarine = 5	
	launcher_torpedotubes_533_650 = 9
	antishipmissile_shortrange = 0
	antishipmissile_longrange = 7
	allsubs_autonomousoperations = 0
	tacticalstrikesubs-surfacesubs_coordinatedoperations = 0
	allsubs_silentoperations = 	0
	hullmaxslots = 0
	hullmaxsize = 7
}

# Model 1990
guided_submarine.8 = {
	unit_submarine_missile = 9
	sonarsystem = 6
	propulsion_diesel_submarine = 6
	launcher_torpedotubes_533_650 = 10
	antishipmissile_shortrange = 0
	antishipmissile_longrange = 8
	allsubs_autonomousoperations = 0
	tacticalstrikesubs-surfacesubs_coordinatedoperations = 0
	allsubs_silentoperations = 	0
	hullmaxslots = 0
	hullmaxsize = 6
}

###########################
# SOV nuclear Attack subs
###########################
# November-class
nuclear_submarine.0 = {
	unit_nuclearsubmarine_attack = 1
	sonarsystem = 3
	towed_sonarsystem = 0
	propulsion_nuclear_submarine = 1	
	launcher_torpedotubes_533_650 = 3	
	antishipmissile_longrange_supersonic = 0
	hksubs_submarineescorting = 0
	hksubs_surfacevesselescorting = 0
	hksubs_planning_dynamiccombattempotraining = 0
	hksubs-surfacesubs_sensoryandweaponscommand = 0
	hksubs-surfacesubs_satellitecommequipment = 0
	hullmaxslots = 0
	hullmaxsize = 2
	wikipage = /wiki/November_class_submarine
}
# Victor I-class
nuclear_submarine.1 = {
	unit_nuclearsubmarine_attack = 2
	sonarsystem = 3
	towed_sonarsystem = 0
	propulsion_nuclear_submarine = 1	
	launcher_torpedotubes_533_650 = 5
	antishipmissile_longrange_supersonic = 0	
	hksubs_submarineescorting = 0
	hksubs_surfacevesselescorting = 0
	hksubs_planning_dynamiccombattempotraining = 0
	hksubs-surfacesubs_sensoryandweaponscommand = 0
	hksubs-surfacesubs_satellitecommequipment = 0
	hullmaxslots = 0
	hullmaxsize = 2
	wikipage = /wiki/Victor_class_submarine
}
# Victor II-class
nuclear_submarine.2 = {
	unit_nuclearsubmarine_attack = 3
	sonarsystem = 4
	towed_sonarsystem = 0
	propulsion_nuclear_submarine = 2
	launcher_torpedotubes_533_650 = 7	
	antishipmissile_longrange_supersonic = 0
	hksubs_submarineescorting = 0
	hksubs_surfacevesselescorting = 0
	hksubs_planning_dynamiccombattempotraining = 0
	hksubs-surfacesubs_sensoryandweaponscommand = 0
	hksubs-surfacesubs_satellitecommequipment = 0
	hullmaxslots = 0
	hullmaxsize = 7	
	wikipage = /wiki/Victor_class_submarine
}
# Victor III-class
nuclear_submarine.3 = {
	unit_nuclearsubmarine_attack = 4
	sonarsystem = 5
	towed_sonarsystem = 0
	propulsion_nuclear_submarine = 2	
	launcher_torpedotubes_533_650 = 7	
	antishipmissile_longrange_supersonic = 0
	hksubs_submarineescorting = 0
	hksubs_surfacevesselescorting = 0
	hksubs_planning_dynamiccombattempotraining = 0
	hksubs-surfacesubs_sensoryandweaponscommand = 0
	hksubs-surfacesubs_satellitecommequipment = 0
	hullmaxslots = 0
	hullmaxsize = 7	
	wikipage = /wiki/Victor_class_submarine
}
# Alfa-class
nuclear_submarine.4 = {
	unit_nuclearsubmarine_attack = 5
	sonarsystem = 4
	towed_sonarsystem = 0
	propulsion_nuclear_submarine = 2	
	launcher_torpedotubes_533_650 = 5	
	antishipmissile_longrange_supersonic = 0
	hksubs_submarineescorting = 0
	hksubs_surfacevesselescorting = 0
	hksubs_planning_dynamiccombattempotraining = 0
	hksubs-surfacesubs_sensoryandweaponscommand = 0
	hksubs-surfacesubs_satellitecommequipment = 0
	hullmaxslots = 0
	hullmaxsize = 2
	wikipage = /wiki/Alfa_class_submarine
}
# Akula-class
nuclear_submarine.5 = {
	unit_nuclearsubmarine_attack = 6
	sonarsystem = 5
	towed_sonarsystem = 1
	propulsion_nuclear_submarine = 3	
	launcher_torpedotubes_533_650 = 8	
	antishipmissile_longrange_supersonic = 0
	hksubs_submarineescorting = 0
	hksubs_surfacevesselescorting = 0
	hksubs_planning_dynamiccombattempotraining = 0
	hksubs-surfacesubs_sensoryandweaponscommand = 0
	hksubs-surfacesubs_satellitecommequipment = 0
	hullmaxslots = 0
	hullmaxsize = 11
	wikipage = /wiki/Akula_class_submarine
}
# Yasen-class
nuclear_submarine.6 = {
	unit_nuclearsubmarine_attack = 7
	sonarsystem = 6
	towed_sonarsystem = 0
	propulsion_nuclear_submarine = 3	
	launcher_torpedotubes_533_650 = 10	
	antishipmissile_longrange_supersonic = 4
	hksubs_submarineescorting = 0
	hksubs_surfacevesselescorting = 0
	hksubs_planning_dynamiccombattempotraining = 0
	hksubs-surfacesubs_sensoryandweaponscommand = 0
	hksubs-surfacesubs_satellitecommequipment = 0
	hullmaxslots = 0
	hullmaxsize = 47
	wikipage = /wiki/Yasen_class_submarine
}

###########################
# SOV nuclear guided subs
###########################
# Echo I-class
nuclear_guided_submarine.0 = {
	unit_nuclearsubmarine_missile = 1
	sonarsystem = 3
	propulsion_nuclear_submarine = 1
	launcher_torpedotubes_533_650 = 6
	antishipmissile_shortrange = 0
	antishipmissile_longrange = 3
	antishipmissile_longrange_supersonic = 0
	allsubs_autonomousoperations = 0
	tacticalstrikesubs-surfacesubs_coordinatedoperations = 0
	allsubs_silentoperations = 0
	hullmaxslots = 0
	hullmaxsize = 8
	wikipage = /wiki/Echo_class_submarine
}
# Echo II-class
nuclear_guided_submarine.1 = {
	unit_nuclearsubmarine_missile = 2
	sonarsystem = 3
	propulsion_nuclear_submarine = 1
	launcher_torpedotubes_533_650 = 6
	antishipmissile_shortrange = 5
	antishipmissile_longrange = 0
	antishipmissile_longrange_supersonic = 0
	allsubs_autonomousoperations = 0
	tacticalstrikesubs-surfacesubs_coordinatedoperations = 0
	allsubs_silentoperations = 0
	hullmaxslots = 0
	hullmaxsize = 9	
	wikipage = /wiki/Echo_class_submarine
}
# Charlie I-class
nuclear_guided_submarine.2 = {
	unit_nuclearsubmarine_missile = 3
	sonarsystem = 3
	propulsion_nuclear_submarine = 1
	launcher_torpedotubes_533_650 = 5
	antishipmissile_shortrange = 5
	antishipmissile_longrange = 0
	antishipmissile_longrange_supersonic = 0
	allsubs_autonomousoperations = 0
	tacticalstrikesubs-surfacesubs_coordinatedoperations = 0
	allsubs_silentoperations = 0
	hullmaxslots = 0
	hullmaxsize = 7
	wikipage = /wiki/Charlie_class_submarine
}
# Papa-class
nuclear_guided_submarine.3 = {
	unit_nuclearsubmarine_missile = 4
	sonarsystem = 3
	propulsion_nuclear_submarine = 2
	launcher_torpedotubes_533_650 = 5
	antishipmissile_shortrange = 4
	antishipmissile_longrange = 0
	antishipmissile_longrange_supersonic = 0
	allsubs_autonomousoperations = 0
	tacticalstrikesubs-surfacesubs_coordinatedoperations = 0
	allsubs_silentoperations = 0
	hullmaxslots = 0
	hullmaxsize = 5	
	wikipage = /wiki/Papa_class_submarine
}
# Charlie II-class
nuclear_guided_submarine.4 = {
	unit_nuclearsubmarine_missile = 5
	sonarsystem = 4
	propulsion_nuclear_submarine = 1
	launcher_torpedotubes_533_650 = 5
	antishipmissile_shortrange = 5
	antishipmissile_longrange = 0
	antishipmissile_longrange_supersonic = 0
	allsubs_autonomousoperations = 0
	tacticalstrikesubs-surfacesubs_coordinatedoperations = 0
	allsubs_silentoperations = 0
	hullmaxslots = 0
	hullmaxsize = 7	
	wikipage = /wiki/Charlie_class_submarine
}
# Echo II mod-class
nuclear_guided_submarine.5 = {
	unit_nuclearsubmarine_missile = 6
	sonarsystem = 4
	propulsion_nuclear_submarine = 2
	launcher_torpedotubes_533_650 = 6
	antishipmissile_shortrange = 4
	antishipmissile_longrange = 0
	antishipmissile_longrange_supersonic = 0
	allsubs_autonomousoperations = 0
	tacticalstrikesubs-surfacesubs_coordinatedoperations = 0
	allsubs_silentoperations = 0
	hullmaxslots = 0
	hullmaxsize = 6	
	wikipage = /wiki/Echo_class_submarine
}
# Oscar I-class
nuclear_guided_submarine.6 = {
	unit_nuclearsubmarine_missile = 7
	sonarsystem = 5
	propulsion_nuclear_submarine = 3
	launcher_torpedotubes_533_650 = 7
	antishipmissile_shortrange = 0
	antishipmissile_longrange = 0
	antishipmissile_longrange_supersonic = 1
	allsubs_autonomousoperations = 0
	tacticalstrikesubs-surfacesubs_coordinatedoperations = 0
	allsubs_silentoperations = 0
	hullmaxslots = 0
	hullmaxsize = 37	
	wikipage = /wiki/Oscar_class_submarine
}
# Oscar II-class
nuclear_guided_submarine.7 = {
	unit_nuclearsubmarine_missile = 8
	sonarsystem = 5
	propulsion_nuclear_submarine = 3
	launcher_torpedotubes_533_650 = 7
	antishipmissile_shortrange = 0
	antishipmissile_longrange = 0
	antishipmissile_longrange_supersonic = 1
	allsubs_autonomousoperations = 0
	tacticalstrikesubs-surfacesubs_coordinatedoperations = 0
	allsubs_silentoperations = 0
	hullmaxslots = 0
	hullmaxsize = 37
	wikipage = /wiki/Oscar_class_submarine
}
# Model 1990
nuclear_guided_submarine.8 = {
	unit_nuclearsubmarine_missile = 9
	sonarsystem = 6
	propulsion_nuclear_submarine = 4
	launcher_torpedotubes_533_650 = 10
	antishipmissile_shortrange = 0
	antishipmissile_longrange = 8
	antishipmissile_longrange_supersonic = 0
	allsubs_autonomousoperations = 0
	tacticalstrikesubs-surfacesubs_coordinatedoperations = 0
	allsubs_silentoperations = 0
	hullmaxslots = 0
	hullmaxsize = 6
}

###########################
# SOV nuclear Ballistic subs
###########################
# Hotel I-class
ballistic_missile_submarine.0 = {
	unit_ballistic_missile_submarine = 1
	sonarsystem = 2
	propulsion_nuclear_submarine = 1	
	launcher_torpedotubes_533_650 = 6	
	tech_slbm_missile = 1
	allsubs_autonomousoperations = 0
	tacticalstrikesubs-surfacesubs_coordinatedoperations = 0
	allsubs_silentoperations = 0	
	hullmaxslots = 0
	hullmaxsize = 15
	wikipage = /wiki/Hotel_class_submarine
}
# Hotel II-class
ballistic_missile_submarine.1 = {
	unit_ballistic_missile_submarine = 2
	sonarsystem = 3
	propulsion_nuclear_submarine = 1	
	launcher_torpedotubes_533_650 = 6	
	tech_slbm_missile = 2
	allsubs_autonomousoperations = 0
	tacticalstrikesubs-surfacesubs_coordinatedoperations = 0
	allsubs_silentoperations = 0	
	hullmaxslots = 0
	hullmaxsize = 17
	wikipage = /wiki/Hotel_class_submarine
}
# Yankee-class
ballistic_missile_submarine.2 = {
	unit_ballistic_missile_submarine = 3
	sonarsystem = 3
	propulsion_nuclear_submarine = 1	
	launcher_torpedotubes_533_650 = 6	
	tech_slbm_missile = 3
	allsubs_autonomousoperations = 0
	tacticalstrikesubs-surfacesubs_coordinatedoperations = 0
	allsubs_silentoperations = 0	
	hullmaxslots = 0
	hullmaxsize = 49
	wikipage = /wiki/Yankee_class_submarine
}
# Delta-class
ballistic_missile_submarine.3 = {
	unit_ballistic_missile_submarine = 4
	sonarsystem = 4
	propulsion_nuclear_submarine = 2	
	launcher_torpedotubes_533_650 = 6	
	tech_slbm_missile = 3
	allsubs_autonomousoperations = 0
	tacticalstrikesubs-surfacesubs_coordinatedoperations = 0
	allsubs_silentoperations = 0	
	hullmaxslots = 0
	hullmaxsize = 49	
	wikipage = /wiki/Delta_class_submarine
}
# Delta II-class
ballistic_missile_submarine.4 = {
	unit_ballistic_missile_submarine = 5
	sonarsystem = 4
	propulsion_nuclear_submarine = 2	
	launcher_torpedotubes_533_650 = 6	
	tech_slbm_missile = 4
	allsubs_autonomousoperations = 0
	tacticalstrikesubs-surfacesubs_coordinatedoperations = 0
	allsubs_silentoperations = 0	
	hullmaxslots = 0
	hullmaxsize = 49	
	wikipage = /wiki/Delta_class_submarine
}
# Delta III-class
ballistic_missile_submarine.5 = {
	unit_ballistic_missile_submarine = 6
	sonarsystem = 4
	propulsion_nuclear_submarine = 2	
	launcher_torpedotubes_533_650 = 6	
	tech_slbm_missile = 5
	allsubs_autonomousoperations = 0
	tacticalstrikesubs-surfacesubs_coordinatedoperations = 0
	allsubs_silentoperations = 0	
	hullmaxslots = 0
	hullmaxsize = 117	
	wikipage = /wiki/Delta_class_submarine
}
# Model 1980
ballistic_missile_submarine.6 = {
	unit_ballistic_missile_submarine = 7
	sonarsystem = 5
	propulsion_nuclear_submarine = 3	
	launcher_torpedotubes_533_650 = 8
	tech_slbm_missile = 5
	allsubs_autonomousoperations = 0
	tacticalstrikesubs-surfacesubs_coordinatedoperations = 0
	allsubs_silentoperations = 0		
	hullmaxslots = 0
	hullmaxsize = 154
}
# Delta IV-class
ballistic_missile_submarine.7 = {
	unit_ballistic_missile_submarine = 8
	sonarsystem = 5
	propulsion_nuclear_submarine = 3	
	launcher_torpedotubes_533_650 = 6	
	tech_slbm_missile = 6
	allsubs_autonomousoperations = 0
	tacticalstrikesubs-surfacesubs_coordinatedoperations = 0
	allsubs_silentoperations = 0	
	hullmaxslots = 0
	hullmaxsize = 343	
	wikipage = /wiki/Delta_class_submarine
}
# Typhoon-class
ballistic_missile_submarine.8 = {
	unit_ballistic_missile_submarine = 9
	sonarsystem = 5
	propulsion_nuclear_submarine = 3	
	launcher_torpedotubes_533_650 = 8	
	tech_slbm_missile = 6
	allsubs_autonomousoperations = 0
	tacticalstrikesubs-surfacesubs_coordinatedoperations = 0
	allsubs_silentoperations = 0	
	hullmaxslots = 0
	hullmaxsize = 349	
	wikipage = /wiki/Typhoon_class_submarine
}
# Borei-class
ballistic_missile_submarine.9 = {
	unit_ballistic_missile_submarine = 10
	sonarsystem = 6
	propulsion_nuclear_submarine = 4	
	launcher_torpedotubes_533_650 = 10	
	tech_slbm_missile = 8
	allsubs_autonomousoperations = 0
	tacticalstrikesubs-surfacesubs_coordinatedoperations = 0
	allsubs_silentoperations = 0	
	hullmaxslots = 0
	hullmaxsize = 122
	wikipage = /wiki/Boriei_class_submarine
}

########################
# SOV missile Boats
########################
# Komar-class
missile_boat.0 = {
	unit_missileboat = 1
	radarsystem_airsearch = 0
	radarsystem_surfacesearch = 2
	sonarsystem = 0
	propulsion_gas = 0	
	propulsion_diesel_surface_40s = 2
	conventionalnavalgun = 0
	closedefense = 2
	antishipmissile_shortrange = 3
	antiairmissile_mediumrange = 0
	antiairmissile_shortrange = 0
	antisub_torpedorocket = 0
	launcher_torpedotubes_533_650 = 0	
	escort_submarinehunting = 0
	escort_swiftpatrolswarm = 0
	escort_responsereadygroup = 0
	hullmaxslots = 0
	hullmaxsize = 3	
	wikipage = /wiki/Komar_class_missile_boat
}
# Osa-class
missile_boat.1 = {
	unit_missileboat = 2
	radarsystem_airsearch = 2
	radarsystem_surfacesearch = 3
	sonarsystem = 0
	propulsion_gas = 0	
	propulsion_diesel_surface_40s = 4
	conventionalnavalgun = 0
	closedefense = 2
	antishipmissile_shortrange = 3
	antiairmissile_mediumrange = 0
	antiairmissile_shortrange = 0
	antisub_torpedorocket = 0
	launcher_torpedotubes_533_650 = 0	
	escort_submarinehunting = 0
	escort_swiftpatrolswarm = 0
	escort_responsereadygroup = 0
	hullmaxslots = 0
	hullmaxsize = 3
	wikipage = /wiki/Osa_class_missile_boat
}
# Nanuchka-I-class
missile_boat.2 = {
	unit_missileboat = 3
	radarsystem_airsearch = 4
	radarsystem_surfacesearch = 4
	sonarsystem = 0
	propulsion_gas = 0	
	propulsion_diesel_surface_40s = 5
	conventionalnavalgun = 4
	closedefense = 0
	antishipmissile_shortrange = 6
	antiairmissile_mediumrange = 0
	antiairmissile_shortrange = 5
	antisub_torpedorocket = 0
	launcher_torpedotubes_533_650 = 0	
	escort_submarinehunting = 0
	escort_swiftpatrolswarm = 0
	escort_responsereadygroup = 0
	hullmaxslots = 0
	hullmaxsize = 8
	wikipage = /wiki/Nanuchka_class_corvette
}
# Grisha-I-class
missile_boat.3 = {
	unit_missileboat = 4
	radarsystem_airsearch = 4
	radarsystem_surfacesearch = 4
	sonarsystem = 4
	propulsion_gas = 2
	propulsion_diesel_surface_40s = 5
	conventionalnavalgun = 3
	closedefense = 0
	antishipmissile_shortrange = 0
	antiairmissile_mediumrange = 0
	antiairmissile_shortrange = 5
	antisub_torpedorocket = 4
	launcher_torpedotubes_533_650 = 4	
	escort_submarinehunting = 0
	escort_swiftpatrolswarm = 0
	escort_responsereadygroup = 0
	hullmaxslots = 0
	hullmaxsize = 8
	wikipage = /wiki/Grisha_class_corvette
}
# Grisha-II-class
missile_boat.4 = {
	unit_missileboat = 5
	radarsystem_airsearch = 4
	radarsystem_surfacesearch = 4
	sonarsystem = 4
	propulsion_gas = 2
	propulsion_diesel_surface_40s = 5
	conventionalnavalgun = 3
	closedefense = 0
	antishipmissile_shortrange = 0
	antiairmissile_mediumrange = 0
	antiairmissile_shortrange = 0
	antisub_torpedorocket = 4
	launcher_torpedotubes_533_650 = 5	
	escort_submarinehunting = 0
	escort_swiftpatrolswarm = 0
	escort_responsereadygroup = 0
	hullmaxslots = 0
	hullmaxsize = 8
	wikipage = /wiki/Grisha_class_corvette
}
# Grisha-III-class
missile_boat.5 = {
	unit_missileboat = 6
	radarsystem_airsearch = 4
	radarsystem_surfacesearch = 5
	sonarsystem = 4
	propulsion_gas = 2
	propulsion_diesel_surface_40s = 5
	conventionalnavalgun = 3
	closedefense = 6
	antishipmissile_shortrange = 0
	antiairmissile_mediumrange = 0
	antiairmissile_shortrange = 5
	antisub_torpedorocket = 4
	launcher_torpedotubes_533_650 = 5	
	escort_submarinehunting = 0
	escort_swiftpatrolswarm = 0
	escort_responsereadygroup = 0
	hullmaxslots = 0
	hullmaxsize = 10
	wikipage = /wiki/Grisha_class_corvette
}
# Matka-class
missile_boat.6 = {
	unit_missileboat = 7
