###########################
# CHC nuclear Attack subs
###########################
# Model 1950
attack_submarine.0 = {
	allsubs_autonomousoperations = 0
	hksubs_submarineescorting = 0
	hksubs_surfacevesselescorting = 0
	hksubs_planning_dynamiccombattempotraining = 0
	hksubs-surfacesubs_sensoryandweaponscommand = 0
	hksubs-surfacesubs_satellitecommequipment = 0
	allsubs_silentoperations = 0
	hullmaxslots = 0
	hullmaxsize = 4	
}

# Model 1985
attack_submarine.7 = {
	unit_submarine_attack = 8
	sonarsystem = 5
	towed_sonarsystem = 1
	propulsion_diesel_submarine = 5
	closedefense = 0
	launcher_torpedotubes_533_650 = 9
	hksubs_strikeoperations = 0
	allsubs_autonomousoperations = 0
	hksubs_submarineescorting = 0
	hksubs_surfacevesselescorting = 0
	hksubs_planning_dynamiccombattempotraining = 0
	hksubs-surfacesubs_sensoryandweaponscommand = 0
	hksubs-surfacesubs_satellitecommequipment = 0
	allsubs_silentoperations = 0
	hullmaxslots = 0
	hullmaxsize = 4	
}

# Model 1990
attack_submarine.8 = {
	unit_submarine_attack = 9
	sonarsystem = 6
	towed_sonarsystem = 2
	propulsion_diesel_submarine = 6
	closedefense = 0
	launcher_torpedotubes_533_650 = 10
	hksubs_strikeoperations = 0
	allsubs_autonomousoperations = 0
	hksubs_submarineescorting = 0
	hksubs_surfacevesselescorting = 0
	hksubs_planning_dynamiccombattempotraining = 0
	hksubs-surfacesubs_sensoryandweaponscommand = 0
	hksubs-surfacesubs_satellitecommequipment = 0
	allsubs_silentoperations = 0	
	hullmaxslots = 0
	hullmaxsize = 4	
}

# Model 1960
nuclear_submarine.0 = {
	unit_nuclearsubmarine_attack = 1
	sonarsystem = 3
	towed_sonarsystem = 0
	propulsion_nuclear_submarine = 1	
	launcher_torpedotubes_533_650 = 4	
	antishipmissile_longrange_supersonic = 0
	hksubs_submarineescorting = 0
	hksubs_surfacevesselescorting = 0
	hksubs_planning_dynamiccombattempotraining = 0
	hksubs-surfacesubs_sensoryandweaponscommand = 0
	hksubs-surfacesubs_satellitecommequipment = 0
	hullmaxslots = 0
	hullmaxsize = 6
}

# Model 1965
nuclear_submarine.1 = {
	unit_nuclearsubmarine_attack = 2
	sonarsystem = 3
	towed_sonarsystem = 0
	propulsion_nuclear_submarine = 1	
	launcher_torpedotubes_533_650 = 5
	antishipmissile_longrange_supersonic = 0	
	hksubs_submarineescorting = 0
	hksubs_surfacevesselescorting = 0
	hksubs_planning_dynamiccombattempotraining = 0
	hksubs-surfacesubs_sensoryandweaponscommand = 0
	hksubs-surfacesubs_satellitecommequipment = 0
	hullmaxslots = 0
	hullmaxsize = 6
}

# Model 1970
nuclear_submarine.2 = {
	unit_nuclearsubmarine_attack = 3
	sonarsystem = 4
	towed_sonarsystem = 0
	propulsion_nuclear_submarine = 2	
	launcher_torpedotubes_533_650 = 6	
	antishipmissile_longrange_supersonic = 0
	hksubs_submarineescorting = 0
	hksubs_surfacevesselescorting = 0
	hksubs_planning_dynamiccombattempotraining = 0
	hksubs-surfacesubs_sensoryandweaponscommand = 0
	hksubs-surfacesubs_satellitecommequipment = 0
	hullmaxslots = 0
	hullmaxsize = 6
}
# Han-class
nuclear_submarine.3 = {
	unit_nuclearsubmarine_attack = 4
	sonarsystem = 4
	towed_sonarsystem = 0
	propulsion_nuclear_submarine = 2	
	launcher_torpedotubes_533_650 = 5
	antishipmissile_longrange_supersonic = 0
	hksubs_submarineescorting = 0
	hksubs_surfacevesselescorting = 0
	hksubs_planning_dynamiccombattempotraining = 0
	hksubs-surfacesubs_sensoryandweaponscommand = 0
	hksubs-surfacesubs_satellitecommequipment = 0
	hullmaxslots = 0
	hullmaxsize = 4
	wikipage = /wiki/Type_091_submarine
}
# Model 1980
nuclear_submarine.4 = {
	unit_nuclearsubmarine_attack = 5
	sonarsystem = 5
	towed_sonarsystem = 1
	propulsion_nuclear_submarine = 3	
	launcher_torpedotubes_533_650 = 8
	antishipmissile_longrange_supersonic = 0
	hksubs_submarineescorting = 0
	hksubs_surfacevesselescorting = 0
	hksubs_planning_dynamiccombattempotraining = 0
	hksubs-surfacesubs_sensoryandweaponscommand = 0
	hksubs-surfacesubs_satellitecommequipment = 0
	hullmaxslots = 0
	hullmaxsize = 4
}

# Model 1985
nuclear_submarine.5 = {
	unit_nuclearsubmarine_attack = 6
	sonarsystem = 5
	towed_sonarsystem = 1
	propulsion_nuclear_submarine = 3	
	launcher_torpedotubes_533_650 = 9
	antishipmissile_longrange_supersonic = 0
	hksubs_submarineescorting = 0
	hksubs_surfacevesselescorting = 0
	hksubs_planning_dynamiccombattempotraining = 0
	hksubs-surfacesubs_sensoryandweaponscommand = 0
	hksubs-surfacesubs_satellitecommequipment = 0
	hullmaxslots = 0
	hullmaxsize = 4
}

# Model 1990
nuclear_submarine.6 = {
	unit_nuclearsubmarine_attack = 7
	sonarsystem = 6
	towed_sonarsystem = 2
	propulsion_nuclear_submarine = 4	
	launcher_torpedotubes_533_650 = 10	
	antishipmissile_longrange_supersonic = 0
	hksubs_submarineescorting = 0
	hksubs_surfacevesselescorting = 0
	hksubs_planning_dynamiccombattempotraining = 0
	hksubs-surfacesubs_sensoryandweaponscommand = 0
	hksubs-surfacesubs_satellitecommequipment = 0
	hullmaxslots = 0
	hullmaxsize = 4
}
###########################
# CHC nuclear Ballistic subs
###########################
# Model 1960
ballistic_missile_submarine.0 = {
	unit_ballistic_missile_submarine = 1
	sonarsystem = 3
	propulsion_nuclear_submarine = 1	
	launcher_torpedotubes_533_650 = 4	
	tech_slbm_missile = 1
	allsubs_autonomousoperations = 0
	tacticalstrikesubs-surfacesubs_coordinatedoperations = 0
	allsubs_silentoperations = 0	
	hullmaxslots = 0
	hullmaxsize = 56
}

# Model 1965
ballistic_missile_submarine.1 = {
	unit_ballistic_missile_submarine = 2
	sonarsystem = 3
	propulsion_nuclear_submarine = 1	
	launcher_torpedotubes_533_650 = 5	
	tech_slbm_missile = 2
	allsubs_autonomousoperations = 0
	tacticalstrikesubs-surfacesubs_coordinatedoperations = 0
	allsubs_silentoperations = 0		
	hullmaxslots = 0
	hullmaxsize = 56
}

# Model 1970
ballistic_missile_submarine.2 = {
	unit_ballistic_missile_submarine = 3
	sonarsystem = 4
	propulsion_nuclear_submarine = 2	
	launcher_torpedotubes_533_650 = 6	
	tech_slbm_missile = 3	
	allsubs_autonomousoperations = 0
	tacticalstrikesubs-surfacesubs_coordinatedoperations = 0
	allsubs_silentoperations = 0		
	hullmaxslots = 0
	hullmaxsize = 81
}

# Model 1975
ballistic_missile_submarine.3 = {
	unit_ballistic_missile_submarine = 4
	sonarsystem = 4
	propulsion_nuclear_submarine = 2	
	launcher_torpedotubes_533_650 = 7	
	tech_slbm_missile = 4	
	allsubs_autonomousoperations = 0
	tacticalstrikesubs-surfacesubs_coordinatedoperations = 0
	allsubs_silentoperations = 0		
	hullmaxslots = 0
	hullmaxsize = 104
}
# Xia-class
ballistic_missile_submarine.4 = {
	unit_ballistic_missile_submarine = 5
	sonarsystem = 5
	propulsion_nuclear_submarine = 3	
	launcher_torpedotubes_533_650 = 6	
	tech_slbm_missile = 5	
	allsubs_autonomousoperations = 0
	tacticalstrikesubs-surfacesubs_coordinatedoperations = 0
	allsubs_silentoperations = 0		
	hullmaxslots = 0
	hullmaxsize = 61	
	wikipage = /wiki/Type_092_submarine
}
# Model 1985
ballistic_missile_submarine.5 = {
	unit_ballistic_missile_submarine = 6
	sonarsystem = 5
	propulsion_nuclear_submarine = 3	
	launcher_torpedotubes_533_650 = 9	
	tech_slbm_missile = 6	
	allsubs_autonomousoperations = 0
	tacticalstrikesubs-surfacesubs_coordinatedoperations = 0
	allsubs_silentoperations = 0		
	hullmaxslots = 0
	hullmaxsize = 204
}

# Model 1990
ballistic_missile_submarine.6 = {
	unit_ballistic_missile_submarine = 7
	sonarsystem = 6
	propulsion_nuclear_submarine = 4	
	launcher_torpedotubes_533_650 = 10	
	tech_slbm_missile = 7
	allsubs_autonomousoperations = 0
	tacticalstrikesubs-surfacesubs_coordinatedoperations = 0
	allsubs_silentoperations = 0		
	hullmaxslots = 0
	hullmaxsize = 254
}
########################
# CHC missile Boats
########################
# Model 1955
missile_boat.0 = {
	unit_missileboat = 1
	radarsystem_airsearch = 2
	radarsystem_surfacesearch = 2
	sonarsystem = 0
	propulsion_gas = 0	
	propulsion_diesel_surface_40s = 2
	conventionalnavalgun = 3
	closedefense = 3
	antishipmissile_shortrange = 1
	antiairmissile_mediumrange = 0
	antiairmissile_shortrange = 0
	antisub_torpedorocket = 3
	launcher_torpedotubes_533_650 = 0	
	escort_submarinehunting = 0
	escort_swiftpatrolswarm = 0
	escort_responsereadygroup = 0
	hullmaxslots = 0
	hullmaxsize = 18
}

# Model 1960
missile_boat.1 = {
	unit_missileboat = 2
	radarsystem_airsearch = 3
	radarsystem_surfacesearch = 3
	sonarsystem = 0
	propulsion_gas = 0	
	propulsion_diesel_surface_40s = 3
	conventionalnavalgun = 4
	closedefense = 4
	antishipmissile_shortrange = 2
	antiairmissile_mediumrange = 0
	antiairmissile_shortrange = 0
	antisub_torpedorocket = 4
	launcher_torpedotubes_533_650 = 0	
	escort_submarinehunting = 0
	escort_swiftpatrolswarm = 0
	escort_responsereadygroup = 0
	hullmaxslots = 0
	hullmaxsize = 16
}
# Heku-class
missile_boat.2 = {
	unit_missileboat = 3
	radarsystem_airsearch = 0
	radarsystem_surfacesearch = 3
	sonarsystem = 0
	propulsion_gas = 0	
	propulsion_diesel_surface_40s = 1
	conventionalnavalgun = 0
	closedefense = 2
	antishipmissile_shortrange = 2
	antiairmissile_mediumrange = 0
	antiairmissile_shortrange = 0
	antisub_torpedorocket = 0
	launcher_torpedotubes_533_650 = 0	
	escort_submarinehunting = 0
	escort_swiftpatrolswarm = 0
	escort_responsereadygroup = 0
	hullmaxslots = 0
	hullmaxsize = 4	
	wikipage = /wiki/Type_024_class_missile_boat
}
# Huangfeng-class
missile_boat.3 = {
	unit_missileboat = 4
	radarsystem_airsearch = 0
	radarsystem_surfacesearch = 4
	sonarsystem = 0
	propulsion_gas = 0	
	propulsion_diesel_surface_40s = 4
	conventionalnavalgun = 0
	closedefense = 3
	antishipmissile_shortrange = 2
	antiairmissile_mediumrange = 0
	antiairmissile_shortrange = 0
	antisub_torpedorocket = 0
	launcher_torpedotubes_533_650 = 0	
	escort_submarinehunting = 0
	escort_swiftpatrolswarm = 0
	escort_responsereadygroup = 0
	hullmaxslots = 0
	hullmaxsize = 5	
	wikipage = /wiki/Type_021_class_missile_boat
}
# Model 1975
missile_boat.4 = {
	unit_missileboat = 5
	radarsystem_airsearch = 4
	radarsystem_surfacesearch = 4
	sonarsystem = 0
	propulsion_gas = 3
	propulsion_diesel_surface_40s = 0
	conventionalnavalgun = 7
	closedefense = 7
	antishipmissile_shortrange = 5
	antiairmissile_mediumrange = 0
	antiairmissile_shortrange = 0
	antisub_torpedorocket = 7
	launcher_torpedotubes_533_650 = 0
	escort_submarinehunting = 0
	escort_swiftpatrolswarm = 0
	escort_responsereadygroup = 0
	hullmaxslots = 0
	hullmaxsize = 21
}

# Model 1980
missile_boat.5 = {
	unit_missileboat = 6
	radarsystem_airsearch = 5
	radarsystem_surfacesearch = 5
	sonarsystem = 0
	propulsion_gas = 3	
	propulsion_diesel_surface_40s = 0
	conventionalnavalgun = 8
	closedefense = 8
	antishipmissile_shortrange = 6
	antiairmissile_mediumrange = 0
	antiairmissile_shortrange = 0
	antisub_torpedorocket = 8
	launcher_torpedotubes_533_650 = 0
	escort_submarinehunting = 0
	escort_swiftpatrolswarm = 0
	escort_responsereadygroup = 0
	hullmaxslots = 0
	hullmaxsize = 18
}

# Model 1985
missile_boat.6 = {
	unit_missileboat = 7
	radarsystem_airsearch = 5
	radarsystem_surfacesearch = 5
	sonarsystem = 0
	propulsion_gas = 4
	propulsion_diesel_surface_40s =0
	conventionalnavalgun = 9
	closedefense = 9
	antishipmissile_shortrange = 7
	antiairmissile_mediumrange = 0
	antiairmissile_shortrange = 0
	antisub_torpedorocket = 9
	launcher_torpedotubes_533_650 = 0
	escort_submarinehunting = 0
	escort_swiftpatrolswarm = 0
	escort_responsereadygroup = 0
	hullmaxslots = 0
	hullmaxsize = 29
}
# Houxin-class
missile_boat.7 = {
	unit_missileboat = 8
	radarsystem_airsearch = 0
	radarsystem_surfacesearch = 4
	sonarsystem = 0
	propulsion_gas = 0	
	propulsion_diesel_surface_40s = 3
	conventionalnavalgun = 0
	closedefense = 8
	antishipmissile_shortrange = 0
	antiairmissile_mediumrange = 0
	antiairmissile_shortrange = 0
	antisub_torpedorocket = 0
	launcher_torpedotubes_533_650 = 0	
	escort_submarinehunting = 0
	escort_swiftpatrolswarm = 0
	escort_responsereadygroup = 0
	hullmaxslots = 0
	hullmaxsize = 5
	wikipage = /wiki/Type_037-IG_class_missile_boat
}

########################
# CHC missile Frigattes
########################
# Model 1955
missile_frigate.0 = {
	unit_missilefrigate = 1
	radarsystem_airsearch = 2
	radarsystem_surfacesearch = 2
	sonarsystem = 2
	towed_sonarsystem = 0	
	propulsion_steam = 2	
	propulsion_gas = 0	
	propulsion_diesel_surface_40s =0
	conventionalnavalgun = 3
	closedefense = 3
	antishipmissile_shortrange = 0
	antiairmissile_mediumrange = 0
	antiairmissile_shortrange = 3
	antishipmissile_shortrange_supersonic = 0	
	antisub_torpedorocket = 3
	antisub_missile = 0
	launcher_torpedotubes_533_650 = 0	
	helicopterplatform = 0	
	joint_fleetsupply = 0
	joint_selfsustainability = 0
	joint_warliketraining = 0
	battlegroup_optimalcoveragepositioning = 0
	escort_submarinehunting = 0
	escort_swiftpatrolswarm = 0
	escort_responsereadygroup = 0
	hullmaxslots = 0
	hullmaxsize = 19
}
# Chengdu-class
missile_frigate.1 = {
	unit_missilefrigate = 2
	radarsystem_airsearch = 2
	radarsystem_surfacesearch = 2
	sonarsystem = 2
	towed_sonarsystem = 0	
	propulsion_steam = 0	
	propulsion_gas = 0	
	propulsion_diesel_surface_40s =0
	conventionalnavalgun = 0
	closedefense = 1
	antishipmissile_shortrange = 0
	antiairmissile_mediumrange = 0
	antiairmissile_shortrange = 0
	antishipmissile_shortrange_supersonic = 0	
	antisub_torpedorocket = 0
	antisub_missile = 0
	launcher_torpedotubes_533_650 = 1	
	helicopterplatform = 0	
	joint_fleetsupply = 0
	joint_selfsustainability = 0
	joint_warliketraining = 0
	battlegroup_optimalcoveragepositioning = 0
	escort_submarinehunting = 0
	escort_swiftpatrolswarm = 0
	escort_responsereadygroup = 0
	hullmaxslots = 0
	hullmaxsize = 37	
	wikipage = /wiki/Type_053_frigate
}
# Jiangnan-class
missile_frigate.2 = {
	unit_missilefrigate = 3
	radarsystem_airsearch = 3
	radarsystem_surfacesearch = 3
	sonarsystem = 3
	towed_sonarsystem = 0	
	propulsion_steam = 0	
	propulsion_gas = 0	
	propulsion_diesel_surface_40s =0
	conventionalnavalgun = 5
	closedefense = 1
	antishipmissile_shortrange = 0
	antiairmissile_mediumrange = 0
	antiairmissile_shortrange = 0
	antishipmissile_shortrange_supersonic = 0	
	antisub_torpedorocket = 2
	antisub_missile = 0
	launcher_torpedotubes_533_650 = 0	
	helicopterplatform = 0	
	joint_fleetsupply = 0
	joint_selfsustainability = 0
	joint_warliketraining = 0
	battlegroup_optimalcoveragepositioning = 0
	escort_submarinehunting = 0
	escort_swiftpatrolswarm = 0
	escort_responsereadygroup = 0
	hullmaxslots = 0
	hullmaxsize = 35	
	wikipage = /wiki/Type_053_frigate
}
# Chengdu-class Mod
missile_frigate.3 = {
	unit_missilefrigate = 4
	radarsystem_airsearch = 2
	radarsystem_surfacesearch = 2
	sonarsystem = 2
	towed_sonarsystem = 0	
	propulsion_steam = 0	
	propulsion_gas = 0	
	propulsion_diesel_surface_40s =0
	conventionalnavalgun = 0
	closedefense = 5
	antishipmissile_shortrange = 2
	antiairmissile_mediumrange = 0
	antiairmissile_shortrange = 0
	antishipmissile_shortrange_supersonic = 0	
	antisub_torpedorocket = 0
	antisub_missile = 0
	launcher_torpedotubes_533_650 = 0	
	helicopterplatform = 0	
	joint_fleetsupply = 0
	joint_selfsustainability = 0
	joint_warliketraining = 0
	battlegroup_optimalcoveragepositioning = 0
	escort_submarinehunting = 0
	escort_swiftpatrolswarm = 0
	escort_responsereadygroup = 0
	hullmaxslots = 0
	hullmaxsize = 38	
	wikipage = /wiki/Type_053_frigate
}
# Jiangdong-class
missile_frigate.4 = {
	unit_missilefrigate = 5
	radarsystem_airsearch = 4
	radarsystem_surfacesearch = 4
	sonarsystem = 4
	towed_sonarsystem = 0	
	propulsion_steam = 0	
	propulsion_gas = 0	
	propulsion_diesel_surface_40s =4
	conventionalnavalgun = 7
	closedefense = 5
	antishipmissile_shortrange = 0
	antiairmissile_mediumrange = 0
	antiairmissile_shortrange = 5
	antishipmissile_shortrange_supersonic = 0	
	antisub_torpedorocket = 2
	antisub_missile = 0
	launcher_torpedotubes_533_650 = 0	
	helicopterplatform = 0	
	joint_fleetsupply = 0
	joint_selfsustainability = 0
	joint_warliketraining = 0
	battlegroup_optimalcoveragepositioning = 0
	escort_submarinehunting = 0
	escort_swiftpatrolswarm = 0
	escort_responsereadygroup = 0
	hullmaxslots = 0
	hullmaxsize = 20	
	wikipage = /wiki/Type_053_frigate
}
# Jianghu I-class
missile_frigate.5 = {
	unit_missilefrigate = 6
	radarsystem_airsearch = 4
	radarsystem_surfacesearch = 4
	sonarsystem = 4
	towed_sonarsystem = 0	
	propulsion_steam = 0	
	propulsion_gas = 0	
	propulsion_diesel_surface_40s =4
	conventionalnavalgun = 5
	closedefense = 1
	antishipmissile_shortrange = 1
	antiairmissile_mediumrange = 0
	antiairmissile_shortrange = 0
	antishipmissile_shortrange_supersonic = 0	
	antisub_torpedorocket = 2
	antisub_missile = 0
	launcher_torpedotubes_533_650 = 0	
	helicopterplatform = 0	
	joint_fleetsupply = 0
	joint_selfsustainability = 0
	joint_warliketraining = 0
	battlegroup_optimalcoveragepositioning = 0
	escort_submarinehunting = 0
	escort_swiftpatrolswarm = 0
	escort_responsereadygroup = 0
	hullmaxslots = 0
	hullmaxsize = 20	
	wikipage = /wiki/Type_053_frigate
}
# Jianghu II-class
missile_frigate.6 = {
	unit_missilefrigate = 7
	radarsystem_airsearch = 5
	radarsystem_surfacesearch = 4
	sonarsystem = 4
	towed_sonarsystem = 0	
	propulsion_steam = 0	
	propulsion_gas = 0	
	propulsion_diesel_surface_40s =4
	conventionalnavalgun = 7
	closedefense = 1
	antishipmissile_shortrange = 1
	antiairmissile_mediumrange = 0
	antiairmissile_shortrange = 0
	antishipmissile_shortrange_supersonic = 0	
	antisub_torpedorocket = 2
	antisub_missile = 0
	launcher_torpedotubes_533_650 = 0	
	helicopterplatform = 0	
	joint_fleetsupply = 0
	joint_selfsustainability = 0
	joint_warliketraining = 0
	battlegroup_optimalcoveragepositioning = 0
	escort_submarinehunting = 0
	escort_swiftpatrolswarm = 0
	escort_responsereadygroup = 0
	hullmaxslots = 0
	hullmaxsize = 19
	wikipage = /wiki/Type_053_frigate
}
# Jianghu III-class
missile_frigate.7 = {
	unit_missilefrigate = 8
	radarsystem_airsearch = 5
	radarsystem_surfacesearch = 5
	sonarsystem = 5
	towed_sonarsystem = 0	
	propulsion_steam = 0	
	propulsion_gas = 0	
	propulsion_diesel_surface_40s =4
	conventionalnavalgun = 7
	closedefense = 8
	antishipmissile_shortrange = 3
	antiairmissile_mediumrange = 0
	antiairmissile_shortrange = 0
	antishipmissile_shortrange_supersonic = 0	
	antisub_torpedorocket = 2
	antisub_missile = 0
	launcher_torpedotubes_533_650 = 0	
	helicopterplatform = 0	
	joint_fleetsupply = 0
	joint_selfsustainability = 0
	joint_warliketraining = 0
	battlegroup_optimalcoveragepositioning = 0
	escort_submarinehunting = 0
	escort_swiftpatrolswarm = 0
	escort_responsereadygroup = 0
	hullmaxslots = 0
	hullmaxsize = 18	
	wikipage = /wiki/Type_053_frigate
}
# Jianghu IV-class
missile_frigate.8 = {
	unit_missilefrigate = 9
	radarsystem_airsearch = 4
	radarsystem_surfacesearch = 4
	sonarsystem = 4
	towed_sonarsystem = 0	
	propulsion_steam = 0	
	propulsion_gas = 0	
	propulsion_diesel_surface_40s =4
	conventionalnavalgun = 7
	closedefense = 8
	antishipmissile_shortrange = 1
	antiairmissile_mediumrange = 0
	antiairmissile_shortrange = 0
	antishipmissile_shortrange_supersonic = 0	
	antisub_torpedorocket = 2
	antisub_missile = 0
	launcher_torpedotubes_533_650 = 9
	helicopterplatform = 4
	joint_fleetsupply = 0
	joint_selfsustainability = 0
	joint_warliketraining = 0
	battlegroup_optimalcoveragepositioning = 0
	escort_submarinehunting = 0
	escort_swiftpatrolswarm = 0
	escort_responsereadygroup = 0
	hullmaxslots = 0
	hullmaxsize = 18
	wikipage = /wiki/Type_053_frigate
}
# Jiangwei I-class
missile_frigate.9 = {
	unit_missilefrigate = 10
	radarsystem_airsearch = 6
	radarsystem_surfacesearch = 6
	sonarsystem = 6
	towed_sonarsystem = 0	
	propulsion_steam = 0	
	propulsion_gas = 0	
	propulsion_diesel_surface_40s =5
	conventionalnavalgun = 7
	closedefense = 8
	antishipmissile_shortrange = 0
	antiairmissile_mediumrange = 8
	antiairmissile_shortrange = 0
	antishipmissile_shortrange_supersonic = 3	
	antisub_torpedorocket = 2
	antisub_missile = 0
	launcher_torpedotubes_533_650 = 0	
	helicopterplatform = 0	
	joint_fleetsupply = 0
	joint_selfsustainability = 0
	joint_warliketraining = 0
	battlegroup_optimalcoveragepositioning = 0
	escort_submarinehunting = 0
	escort_swiftpatrolswarm = 0
	escort_responsereadygroup = 0
	hullmaxslots = 0
	hullmaxsize = 15
	wikipage = /wiki/Type_053H2G_frigate
}

########################
# CHC missile Destroyers
########################
# Model 1960
missile_destroyer.0 = {
	unit_missiledestroyer = 1
	radarsystem_airsearch = 3
	radarsystem_surfacesearch = 3
	sonarsystem = 3
	towed_sonarsystem = 0
	radarsystem_3dsearch = 0
	naval_combat_system = 0
	propulsion_steam = 3	
	propulsion_gas = 0	
	conventionalnavalgun = 4
	closedefense = 4
	antishipmissile_shortrange = 0
	antishipmissile_longrange = 0	
	antiairmissile_mediumrange = 0
	antiairmissile_shortrange = 4
	antishipmissile_shortrange_supersonic = 0
	landattackmissile = 0
	antisub_torpedorocket = 4
	antisub_missile = 2
	launcher_torpedotubes_533_650 = 4	
	helicopterplatform = 1
	joint_fleetsupply = 0
	joint_selfsustainability = 0
	joint_warliketraining = 0
	naval_combat_system = 0
	battlegroup_optimalcoveragepositioning = 0
	carriergroup_extendedfleetsupply = 0
	escort_submarinehunting = 0
	escort_swiftpatrolswarm = 0
	escort_responsereadygroup = 0	
	hullmaxslots = 0
	hullmaxsize = 34
}

# Model 1965
missile_destroyer.1 = {
	unit_missiledestroyer = 2
	radarsystem_airsearch = 3
	radarsystem_surfacesearch = 3
	sonarsystem = 3
	towed_sonarsystem = 0
	radarsystem_3dsearch = 0
	naval_combat_system = 0
	propulsion_steam = 3	
	propulsion_gas = 0	
	conventionalnavalgun = 5
	closedefense = 5
	antishipmissile_shortrange = 0
	antishipmissile_longrange = 0	
	antiairmissile_mediumrange = 0
	antiairmissile_shortrange = 5
	antishipmissile_shortrange_supersonic = 0	
	landattackmissile = 0
	antisub_torpedorocket = 5
	antisub_missile = 3
	launcher_torpedotubes_533_650 = 5	
	helicopterplatform = 1		
	joint_fleetsupply = 0
	joint_selfsustainability = 0
	joint_warliketraining = 0
	naval_combat_system = 0
	battlegroup_optimalcoveragepositioning = 0
	carriergroup_extendedfleetsupply = 0
	escort_submarinehunting = 0
	escort_swiftpatrolswarm = 0
	escort_responsereadygroup = 0		
	hullmaxslots = 0
	hullmaxsize = 34
}
# Anshan-class
missile_destroyer.2 = {
	unit_missiledestroyer = 3
	radarsystem_airsearch = 1
