province;red;green;blue;x;x
695;140;72;203;PROV695;x
696;163;40;197;PROV696;x
697;164;156;208;PROV697;x
698;160;221;107;PROV698;x
699;182;101;128;PROV699;x
700;254;100;110;PROV700;x
701;119;96;232;PROV701;x
702;104;31;137;PROV702;x
703;116;136;189;PROV703;x
704;98;184;170;PROV704;x
705;106;196;195;PROV705;x
706;229;238;219;PROV706;x
707;30;126;96;PROV707;x
708;125;52;83;PROV708;x
709;225;79;152;PROV709;x
710;109;246;177;PROV710;x
711;115;66;70;PROV711;x
712;96;77;158;PROV712;x
713;38;95;226;PROV713;x
714;53;32;189;PROV714;x
715;167;141;88;PROV715;x
716;73;46;171;PROV716;x
717;110;145;112;PROV717;x
718;56;48;152;PROV718;x
719;70;245;114;PROV719;x
720;135;127;135;PROV720;x
721;47;251;205;PROV721;x
722;47;209;231;PROV722;x
723;44;172;135;PROV723;x
724;126;220;172;PROV724;x
725;248;216;71;PROV725;x
726;71;213;165;PROV726;x
727;249;182;63;PROV727;x
728;235;254;131;PROV728;x
729;95;103;217;PROV729;x
730;165;55;87;PROV730;x
731;74;157;222;PROV731;x
732;121;51;88;PROV732;x
733;104;150;187;PROV733;x
734;111;59;128;PROV734;x
735;65;239;179;PROV735;x
736;194;49;142;PROV736;x
737;118;254;62;PROV737;x
738;203;141;200;PROV738;x
739;101;66;252;PROV739;x
740;104;206;136;PROV740;x
741;44;133;147;PROV741;x
742;78;81;93;PROV742;x
743;205;156;195;PROV743;x
744;238;222;92;PROV744;x
745;105;77;56;PROV745;x
746;55;126;46;PROV746;x
747;90;30;198;PROV747;x
748;81;96;181;PROV748;x
749;236;242;188;PROV749;x
750;116;244;148;PROV750;x
751;201;134;61;PROV751;x
752;224;225;228;PROV752;x
753;77;167;122;PROV753;x
754;237;152;81;PROV754;x
755;82;194;85;PROV755;x
756;121;53;210;PROV756;x
757;76;183;136;PROV757;x
758;211;178;222;PROV758;x
759;148;181;101;PROV759;x
760;227;208;212;PROV760;x
761;111;120;165;PROV761;x
762;189;158;198;PROV762;x
763;249;85;155;PROV763;x
764;73;229;137;PROV764;x
765;146;107;132;PROV765;x
766;147;253;157;PROV766;x
767;125;145;218;PROV767;x
768;232;69;91;PROV768;x
769;41;244;211;PROV769;x
770;94;105;74;PROV770;x
771;156;105;214;PROV771;x
772;164;156;62;PROV772;x
773;170;148;66;PROV773;x
774;142;126;222;PROV774;x
775;85;33;208;PROV775;x
776;254;94;100;PROV776;x
777;120;31;182;PROV777;x
778;199;131;92;PROV778;x
779;249;133;81;PROV779;x
780;104;178;168;PROV780;x
781;241;185;234;PROV781;x
782;110;171;154;PROV782;x
783;178;237;206;PROV783;x
784;100;231;135;PROV784;x
785;121;238;48;PROV785;x
786;250;177;66;PROV786;x
787;138;42;180;PROV787;x
788;141;229;104;PROV788;x
789;146;212;228;PROV789;x
790;151;170;52;PROV790;x
791;236;96;225;PROV791;x
792;152;155;196;PROV792;x
793;243;229;116;PROV793;x
794;83;105;112;PROV794;x
795;148;49;55;PROV795;x
796;77;107;148;PROV796;x
797;73;253;211;PROV797;x
798;44;221;165;PROV798;x
799;243;130;211;PROV799;x
800;160;219;214;PROV800;x
801;181;56;97;PROV801;x
802;184;118;164;PROV802;x
803;165;223;113;PROV803;x
804;107;37;203;PROV804;x
805;204;84;192;PROV805;x
806;98;247;209;PROV806;x
807;78;98;134;PROV807;x
808;110;107;172;PROV808;x
809;96;221;130;PROV809;x
810;89;164;54;PROV810;x
811;240;112;40;PROV811;x
812;157;157;78;PROV812;x
813;45;219;186;PROV813;x
814;145;167;139;PROV814;x
815;64;221;245;PROV815;x
816;38;95;166;PROV816;x
817;228;175;137;PROV817;x
818;31;111;150;PROV818;x
819;109;100;204;PROV819;x
820;179;118;152;PROV820;x
821;64;105;89;PROV821;x
822;88;122;179;PROV822;x
823;192;77;182;PROV823;x
824;143;82;58;PROV824;x
825;53;188;186;PROV825;x
826;181;88;156;PROV826;x
827;218;116;244;PROV827;x
828;171;238;31;PROV828;x
829;145;77;86;PROV829;x
830;129;120;131;PROV830;x
831;63;111;91;PROV831;x
832;79;231;128;PROV832;x
833;96;100;47;PROV833;x
834;239;115;122;PROV834;x
835;109;233;178;PROV835;x
836;218;114;55;PROV836;x
837;92;253;60;PROV837;x
838;251;101;244;PROV838;x
839;100;171;139;PROV839;x
840;178;77;254;PROV840;x
841;125;43;217;PROV841;x
842;181;244;107;PROV842;x
843;124;200;99;PROV843;x
844;43;115;242;PROV844;x
845;138;233;31;PROV845;x
846;151;92;34;PROV846;x
847;107;181;217;PROV847;x
848;61;67;121;PROV848;x
849;101;67;39;PROV849;x
850;102;234;89;PROV850;x
851;244;172;52;PROV851;x
852;48;143;101;PROV852;x
853;159;182;244;PROV853;x
854;101;124;169;PROV854;x
855;210;79;168;PROV855;x
856;72;143;122;PROV856;x
857;242;203;109;PROV857;x
858;135;100;151;PROV858;x
859;66;94;231;PROV859;x
860;126;110;207;PROV860;x
861;97;52;221;PROV861;x
862;40;53;197;PROV862;x
863;220;120;120;PROV863;x
864;184;247;164;PROV864;x
865;45;36;87;PROV865;x
866;78;105;242;PROV866;x
867;172;114;60;PROV867;x
868;156;236;79;PROV868;x
869;125;63;101;PROV869;x
870;203;199;55;PROV870;x
871;226;107;52;PROV871;x
872;32;87;211;PROV872;x
873;200;119;93;PROV873;x
874;94;243;243;PROV874;x
875;243;173;81;PROV875;x
876;57;179;192;PROV876;x
877;190;61;169;PROV877;x
878;125;93;139;PROV878;x
879;70;89;214;PROV879;x
880;92;233;32;PROV880;x
881;240;130;161;PROV881;x
882;216;236;206;PROV882;x
883;156;170;56;PROV883;x
884;104;64;49;PROV884;x
885;38;91;248;PROV885;x
886;91;136;145;PROV886;x
887;50;39;109;PROV887;x
888;164;42;168;PROV888;x
889;140;130;43;PROV889;x
890;168;216;253;PROV890;x
891;252;137;141;PROV891;x
892;91;109;142;PROV892;x
893;112;56;191;PROV893;x
894;130;156;39;PROV894;x
895;165;115;252;PROV895;x
896;150;117;32;PROV896;x
897;146;234;208;PROV897;x
898;99;72;223;PROV898;x
899;178;105;118;PROV899;x
900;247;106;136;PROV900;x
901;193;243;208;PROV901;x
902;58;107;181;PROV902;x
903;162;201;237;PROV903;x
904;135;233;109;PROV904;x
905;208;174;138;PROV905;x
906;100;253;182;PROV906;x
907;41;52;237;PROV907;x
908;75;183;95;PROV908;x
909;172;168;33;PROV909;x
910;53;120;205;PROV910;x
911;85;191;168;PROV911;x
912;85;137;38;PROV912;x
913;100;243;170;PROV913;x
914;49;40;30;PROV914;x
915;128;145;152;PROV915;x
916;115;107;106;PROV916;x
917;191;105;116;PROV917;x
918;122;182;220;PROV918;x
919;226;238;179;PROV919;x
920;115;244;63;PROV920;x
921;234;112;143;PROV921;x
922;158;153;238;PROV922;x
923;224;45;146;PROV923;x
924;173;100;31;PROV924;x
925;128;246;42;PROV925;x
926;236;201;67;PROV926;x
927;198;86;90;PROV927;x
928;181;117;44;PROV928;x
929;119;217;39;PROV929;x
930;202;113;153;PROV930;x
931;114;239;253;PROV931;x
