#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
LEDGER_PROVINCE;Province;Province;Provinz;;Provincia;;;;;;;;;x
LEDGER_ENERGY;Energy;Énergie;Energie;;Energía;;;;;;;;;x
LEDGER_METAL;Metal;Métaux;Metall;;Metal;;;;;;;;;x
LEDGER_RARE;Rare Mat.;Matériaux rares;Seltene Mat.;;Mat. rara;;;;;;;;;x
LEDGER_OIL;Oil;Pétrole;Öl;;Petróleo;;;;;;;;;x
LEDGER_MP;Manpower;Main-d'œuv.;Mannstärke;;Rec. hum.;;;;;;;;;x
LEDGER_LEADER;Leadership;Leadership;Führung;;Liderazgo;;;;;;;;;x
LEDGER_BUILDING_TITLE;Buildings;Bâtiments;Gebäude;;Edificios;;;;;;;;;x
LEDGER_RESOURCES_TITLE;Natural Resources;;;;;;;;;;;;;x
ELEDGER_RESOURCE_FLOW;Resource Flow;Flux de ressources;Ressourcenfluss;;Flujo de recursos;;;;;;;;;x
LEDGER_CATEGORY;Category;Catégorie;Kategorie;;Categoría;;;;;;;;;x
LEDGER_HOME_PRODUCED;Home Produced;Produit localement;Eigenproduktion;;Producción en patria;;;;;;;;;x
LEDGER_CONVOYED_IN;Convoyed In;Importé par convoi;Per Konvoi herein;;Entrada por convoyes;;;;;;;;;x
LEDGER_CONVOYED_OUT;Convoyed Out;Exporté par convoi;Per Konvoi hinaus;;Salida por convoyes;;;;;;;;;x
LEDGER_REPAID_DEBT;Repaid Debt;Dette remboursée;Getilgte Schulden;;Deuda pagada;;;;;;;;;x
LEDGER_INCOMING_DEBT;Debt payed to us;Dette qui nous a été remboursée;An uns gezahlte Schulden;;Deuda pagada a nosotros;;;;;;;;;x
LEDGER_CONVERTED_TO;Converted To;Converti en;Konvertiert zu;;Convertido a;;;;;;;;;x
LEDGER_CONVERTED_FROM;Converted From;Converti à partir de;Konvertiert von;;Convertido de;;;;;;;;;x
LEDGER_PUPPET_FROM;From Puppets;Provenant d'états fantoches;Von Marionetten;;De títeres;;;;;;;;;x
LEDGER_PUPPET_TO;To Overlord;Vers l'état dominant;An Herrscher;;Al jefe supremo;;;;;;;;;x
LEDGER_USED_INDUSTRY;Used by Industry;Utilisé par l'industrie;Von der Industrie genutzt;;En uso por la industria;;;;;;;;;x
LEDGER_USED_TROOPS;Usage;Utilisé par les troupes;Von Truppen genutzt;;En uso por tropas;;;;;;;;;x
LEDGER_USED_ALLIES;Used by allies;Utilisé par les alliés;Von Verbündeten genutzt;;En uso por aliados;;;;;;;;;x
LEDGER_FROM_EXILES;From Exiles;Provenant des gouvernements en exil;Von Exilanten;;De exiliados;;;;;;;;;x
LEDGER_FLOW_TITLE;Resources Flows;Flux de ressources;Ressourcenfluss;;Flujo de recursos;;;;;;;;;x
LEDGER_CONVOYS_TITLE;Convoys;Convois;Konvois;;Convoyes;;;;;;;;;x
LEDGER_FROM;From;De;Von;;De;;;;;;;;;x
LEDGER_TO;To;À;Nach;;A;;;;;;;;;x
LEDGER_TRANSPORTS;Transports;Transports;Truppentr.;;Transportes;;;;;;;;;x
LEDGER_ESCORTS;Escorts;Escortes;Geleitsch.;;Escoltas;;;;;;;;;x
LEDGER_POLITICIANS_TITLE;Politicians;Politiciens;Politiker;;Políticos;;;;;;;;;x
LEDGER_NONE;None;Aucun;Keine;;Nada;;;;;;;;;x
LEDGER_NAME;Name;Nom;Name;;Nombre;;;;;;;;;x
LEDGER_TYPE;Type;Type;Typ;;Tipo;;;;;;;;;x
LEDGER_STRENGTH;Str;Puiss;St.;;Est;;;;;;;;;x
LEDGER_ORG;Org;Org;Org.;;Org.;;;;;;;;;x
LEDGER_LOCATION;Location;Lieu;Pos.;;Ubicación;;;;;;;;;x
LEDGER_DIVISION;Division;Division;Division;;División;;;;;;;;;x
LEDGER_CORP;Corps;Corps;Korps;;Cuerpo;;;;;;;;;x
LEDGER_ARMY;Army;Armée;Armee;;Ejército;;;;;;;;;x
LEDGER_ARMYGROUP;Army Group;Groupe d'armées;Armeegr.;;Grupo de ejércitos;;;;;;;;;x
LEDGER_THEATRE;Theatre;Théâtre d'opérations;Kriegsschaup.;;Teatro;;;;;;;;;x
LEDGER_ORDER;Order;Ordre;Befehl;;Orden;;;;;;;;;x
LEDGER_IDEOLOGY;Ideology;Idéologie;Ideologie;;Ideología;;;;;;;;;x
LEDGER_POSSIBLE;Possible;Possible;Möglich;;Posible;;;;;;;;;x
LEDGER_PERSONALITY;Personality;Personnalité;Persönlichkeit;;Personalidad;;;;;;;;;x
LEDGER_JOB;Job;Emploi;Job;;Puesto;;;;;;;;;x
LEDGER_FLEET;Fleet;Flotte;Flotte;;Flota;;;;;;;;;x
LEDGER_BASE;Base;Base;Stützpunkt;;Base;;;;;;;;;x
LEDGER_WING;Wing;Flotte aérienne;Geschwader;;Ala;;;;;;;;;x
LEDGER_OWNER;Owner;Détenteur;Eigentümer;;Propietario;;;;;;;;;x
LEDGER_SHIP;Ship;Navire;Schiff;;Buque;;;;;;;;;x
LEDGER_SINKER_NAME;Sinker Name;Coulé par;Schiffsv.-Name;;Nombre del que lo hundió;;;;;;;;;x
LEDGER_SINKER_TYPE;Sinker Type;Type du navire;Schiffsv.-Typ;;Tipo del que lo hundió;;;;;;;;;x
LEDGER_SINKER_COUNTRY;Sinker Country;Pays;Schiffsv.-Land;;País del que lo hundió;;;;;;;;;x
LEDGER_YES;Yes;Oui;Ja;;Sí;;;;;;;;;x
LEDGER_NO;No;Non;Nein;;No;;;;;;;;;x
LEDGER_BRIGADE_TITLE;Brigades;Brigades;Brigaden;;Brigadas;;;;;;;;;x
LEDGER_SHIP_TITLE;Ships;Navires;Schiffe;;Barcos;;;;;;;;;x
LEDGER_PLANE_TITLE;Planes;Avions;Flugzeuge;;Aviones;;;;;;;;;x
LEDGER_MODELNAME;Model;Modèle;Modell;;Modelo;;;;;;;;;x
LEDGER_WIDTH;Width;Étendue;Breite;;Anchura;;;;;;;;;x
LEDGER_SOFT_ATTACK;Soft Attack;Attaque de cibles non blindées;Angr. geg. ungep. Ziele;;Ataque antipersonal;;;;;;;;;x
LEDGER_HARD_ATTACK;Hard Attack;Attaque de cibles blindées;Angr. geg. gep. Ziele;;Ataque anticarro;;;;;;;;;x
LEDGER_DEFENSIVNESS;Defensiv.;Capacités défensives;Defensivstärke;;Defensa;;;;;;;;;x
LEDGER_TOUGHNESS;Tough.;Résistance;Zähigkeit;;Resist.;;;;;;;;;x
LEDGER_SOFTNESS;Soft.;Faiblesses;Schwäche;;Dureza;;;;;;;;;x
LEDGER_AIR_ATTACK;Air Attack;Attaque aérienne;Luftangriff;;Ataque aéreo;;;;;;;;;x
LEDGER_AIR_DEFENCE;Air Def.;Déf. Aérienne;Luftverteidigung;;Def. aérea;;;;;;;;;x
LEDGER_SURPRESSION;Surpr.;Surprise;Unterdrückung;;Supr.;;;;;;;;;x
LEDGER_SPEED;Speed;Vitesse;Geschwindigkeit;;Veloc.;;;;;;;;;x
LEDGER_SURFACE_DETECTION;Surf. Detect.;Détec. de surface;Oberflächenortung;;Detecc. Superf.;;;;;;;;;x
LEDGER_RANGE;Range;Rayon d'action;Reichweite;;Radio de acción;;;;;;;;;x
LEDGER_DISTANCE;Dist.;Distance;Entf.;;Dist.;;;;;;;;;x
LEDGER_AIR_DETECTION;Air Detect.;Détec. Aérienne;Luftortung;;Detecc. aérea;;;;;;;;;x
LEDGER_SUB_DETECTION;Sub Detect.;Détec. de sous-marins;U-Boot-Ortung;;Detecc. sub.;;;;;;;;;x
LEDGER_VISIBILITY;Vis.;Visib.;Sichtw.;;Vis.;;;;;;;;;x
LEDGER_SEA_DEFENCE;Sea Def.;Déf. Navale;Seevert.;;Def. mar.;;;;;;;;;x
LEDGER_CONVOY_ATTACK;Conv. Attack;Attaque de convoi;Konvoiangriff;;Conv. Ataque;;;;;;;;;x
LEDGER_SEA_ATTACK;Sea Attack;Attaque navale;Seeangriff;;At. marítimo;;;;;;;;;x
LEDGER_SUB_ATTACK;Sub Attack;Attaque de sous-marin;U-Boot-Angriff;;Ataque sub.;;;;;;;;;x
LEDGER_SHORE_BOMBARDMENT;Shore Bombard.;Bombardement côtier;Küstenbombardement;;Bomb. costa;;;;;;;;;x
LEDGER_HULL;Hull;Coque;Rumpf;;Casco;;;;;;;;;x
LEDGER_POSITIONING;Pos.;Pos.;Pos.;;Pos.;;;;;;;;;x
LEDGER_TRANSPORT_CAPABILITY;Cap.;Cap.;Kap.;;transporte;;;;;;;;;x
LEDGER_CARRIER_CAPACITY;Capacity;Capacité;Kapazität;;Capacidad;;;;;;;;;x
LEDGER_STRATEGIC_ATTACK;Strat Attack;Attaque d'un détroit;Strat. Angriff;;Ataque est.;;;;;;;;;x
LEDGER_RANK;Rank;Rang;Rang;;Puesto;;;;;;;;;x
LEDGER_SKILL;Skill;Comp.;Fähigkeit;;Hab.;;;;;;;;;x
LEDGER_EXPERIENCE;Experience;Exp.;Erfahrung;;Experiencia;;;;;;;;;x
LEDGER_TRAIT1;Trait 1;Caractéristique 1;Eigenschaft 1;;Rasgo 1;;;;;;;;;x
LEDGER_TRAIT2;Trait 2;Caractéristique 2;Eigenschaft 2;;Rasgo 2;;;;;;;;;x
LEDGER_COMMISION;Commission;Commission;Kommission;;Cargo;;;;;;;;;x
LEDGER_NO_DATA;No data for this pie;Aucune donnée pour ce diagramme circulaire;Keine Daten für diesen Graphen;;Sin datos;;;;;;;;;x
LEDGER_PIE_ALL;All Units;Toutes les unités;Alle Einheiten;;Todas las unidades;;;;;;;;;x
LEDGER_PIE_LAND;Land Units;Unités terrestres;Landeinheiten;;Unididades terrestres;;;;;;;;;x
LEDGER_PIE_NAVAL;Naval Units;Unités navales;Seeeinheiten;;Unidades navales;;;;;;;;;x
LEDGER_PIE_AIR;Air Units;Unités Aériennes;Lufteinheiten;;Unidades aéreas;;;;;;;;;x
LEDGER_LAND;Land;Terre;Land;;Tierra;;;;;;;;;x
LEDGER_AIR;Air;Air;Luft;;Aéreos;;;;;;;;;x
LEDGER_NAVAL;Naval;Naval;See;;Naval;;;;;;;;;x
LEDGER_UNIT_SPLIT;Number of units;Nombre d'unités;Anzahl der Einheiten;;Número de unidades;;;;;;;;;x
LEDGER_SUPPLY_CONSUMPTION;Supply Cons.;Conso. en ravitaillement;Nachschubverbrauch;;Cons. sumin.;;;;;;;;;x
LEDGER_FUEL_CONSUMPTION;Fuel Cons.;Conso. en carburant;Treibstoffverbauch;;Cons. combus.;;;;;;;;;x
LEDGER_UNIT_REINFORCE_NEED;Reinforcement Need:;Renforts nécessaires :;Benötigte Verstärkung:;;Necesidad de refuerzos: ;;;;;;;;;x
ELEDGER_NATIONAL_STATISTICS;National Statistics;Statistiques nationales;Landesstatistiken;;Estadísticas nacionales;;;;;;;;;x
LEDGER_AIR_COMMMANDER;Air Leaders;Chefs de l'armée de l'air;Luftwaffenkommandeure;;Líderes aéreos;;;;;;;;;x
LEDGER_SEA_COMMMANDER;Naval Leaders;Chefs de la marine;Flottenkommandeure;;Líderes navales;;;;;;;;;x
LEDGER_LAND_COMMMANDER;Army Leaders;Chefs de l'armée;Armeekommandeure;;Líderes de ejército;;;;;;;;;x
LEDGER_SURFACE_DEFENCE;Surf. Def.;Déf. en surface;Oberflächenvert.;;Def. Superf.;;;;;;;;;x
LEDGER_BRIGADE_STATS;Brigade Stats;Stats de la brigade;Brigadestatistiken;;Estadísticas de la brigada;;;;;;;;;x
LEDGER_SHIP_STATS;Ship Stats;Stats du navire;Schiffstatistiken;;Estadísticas del buque;;;;;;;;;x
LEDGER_PLANE_STATS;Plane Stats;Stats de l'avion;Flugzeugstatistiken;;Estadísticas del avión;;;;;;;;;x
ELEDGER_POP_STATISTICS;Population Pyramid for ;;;;;;;;;;;;;x
LEDGER_POP_GROUP;Group;;;;;;;;;;;;;x
LEDGER_POP_PCT;%;;;;;;;;;;;;;x
LEDGER_POP_SIZE;Size;;;;;;;;;;;;;x
LEDGER_SPEC_BUILDINGS;Special buildings;;;;;;;;;;;;;x
LEDGER_REGION;Region;;;;;;;;;;;;;x
LEDGER_STATUS;Status;;;;;;;;;;;;;x
LEDGER_NUCLEAR_FORCES_TITLE;Nuclear Forces;;;;;;;;;;;;;x
LEDGER_UNIT;Unit;;;;;;;;;;;;;x
LEDGER_MODEL;Model;;;;;;;;;;;;;x
LEDGER_AMMO;Salvoes;;;;;;;;;;;;;x
LEDGER_WEAPON;Weapon;;;;;;;;;;;;;x
LEDGER_ATTACK;Attack;;;;;;;;;;;;;x
LEDGER_POPLOSS;Pop Loss;;;;;;;;;;;;;x
LEDGER_EQLOSS;Eq Loss;;;;;;;;;;;;;x
LEDGER_HITS;Hits;;;;;;;;;;;;;x
LEDGER_NUCLEAR_LOSSES;Losses by Nukes;;;;;;;;;;;;;x
LEDGER_WAR_LOSSES;Losses by Wars;;;;;;;;;;;;;x
LEDGER_COUNTRY_LOSSES;Losses;;;;;;;;;;;;;x
LEDGER_LINE_FACTION_LOSS;Faction Losses;;;;;;;;;;;;;x
LEDGER_GREAT_BATTLES;Great Battles;;;;;;;;;;;;;x
LEDGER_LINE_NUCLEAR;Nuclear Forces History;;;;;;;;;;;;;x
LEDGER_LINE_NUCLEAR_WH;Nuclear Warheads Comparision;;;;;;;;;;;;;x
LEDGER_LINE_NUCLEAR_PL;Nuclear Platforms Comparision;;;;;;;;;;;;;x
LEDGER_LINE_ECO_VICTORY;Economy Victory Points;;;;;;;;;;;;;x
LEDGER_LINE_MIL_VICTORY;Military Victory Points;;;;;;;;;;;;;x
LEDGER_DATE;Period;;;;;;;;;;;;;x
LEDGER_LINE_FACTION_VICTORY;Faction Victory Points;;;;;;;;;;;;;x
LEDGER_LINE_COUNTRY_LOSS;Country Loss Comparision;;;;;;;;;;;;;x
LEDGER_PIE_FINANCIAL;Country Financial Chart;;;;;;;;;;;;;x
LEDGER_SLICE_FACTORY_TITLE;Factories;;;;;;;;;;;;;x
LEDGER_SLICE_SERVICES_TITLE;Services;;;;;;;;;;;;;x
LEDGER_SLICE_CONSUMPTION;Pop.Consumption;;;;;;;;;;;;;x
LEDGER_SLICE_PUBLIC;Public sector;;;;;;;;;;;;;x
LEDGER_INCOME_SPLIT;Incomes;;;;;;;;;;;;;x
LEDGER_EXPENSE_SPLIT;Expenses;;;;;;;;;;;;;x
LEDGER_EXPENSE_SUPPLY;Supply Routes;;;;;;;;;;;;;x
LEDGER_EXPENSE_UPKEEP;Unit upkeep;;;;;;;;;;;;;x
LEDGER_EXPENSE_LEASING;Convoy Leasing;;;;;;;;;;;;;x
LEDGER_FACTORY_TITLE;Factories;;;;;;;;;;;;;x
LEDGER_INCOME;Income;;;;;;;;;;;;;x
LEDGER_INPUT;Input goods;;;;;;;;;;;;;x
LEDGER_OUTPUT;Output good;;;;;;;;;;;;;x
LEDGER_WORKFORCE;Workforce;;;;;;;;;;;;;x
LEDGER_LINE_SPACE_TECH;Space technologies;;;;;;;;;;;;;x
LEDGER_RESOURCES_GOODS;Goods Overview;;;;;;;;;;;;;x
LEDGER_NUM;Model No.;;;;;;;;;;;;;x
LEDGER_HYEAR;Historical Year;;;;;;;;;;;;;x
LEDGER_EYEAR;Estimated Year;;;;;;;;;;;;;x
LEDGER_NAVALMODELS_TITLE;Ship Models;;;;;;;;;;;;;x
LEDGER_LANDMODELS_TITLE;Vehicle Models;;;;;;;;;;;;;x
LEDGER_AIRMODELS_TITLE;Aircraft Models;;;;;;;;;;;;;x
LEDGER_COMPLEXMODELS_TITLE;Weapon Models;;;;;;;;;;;;;x
LEDGER_SUPPLY;Supply;;;;;;;;;;;;;x
LEDGER_FUEL;Fuel;;;;;;;;;;;;;x
LEDGER_DRAWN;Drawn;;;;;;;;;;;;;x
LEDGER_THROUGHPUT;Throughput;;;;;;;;;;;;;x
LEDGER_LOGISTICS;Logistics;;;;;;;;;;;;;x
LEDGER_WORLDMARKET;World Market;;;;;;;;;;;;;x
LEDGER_DAYS;Days;;;;;;;;;;;;;x
LEDGER_DEMAND;Demand;;;;;;;;;;;;;x
LEDGER_NUMBER;Num;;;;;;;;;;;;;x
LEDGER_UNIT_MAINTENANCE;Unit Maintenance Costs;;;;;;;;;;;;;x
LEDGER_LINECHART_NEXT_PAGE;Next linechart page;;;;;;;;;;;;;x
LEDGER_LINECHART_PREV_PAGE;Previous linechart page;;;;;;;;;;;;;x
LEDGER_SELECTED_COUNTRIES;Selected countries;;;;;;;;;;;;;x
LEDGER_PIE_VOTINGS;Current Votings;;;;;;;;;;;;;x
