#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
PROV32;Lake Beverley;;;;;;;;;;;;;x
PROV33;Aleknagik;;;;;;;;;;;;;x
PROV34;Minto;;;;;;;;;;;;;x
PROV35;Lake Minchumina;;;;;;;;;;;;;x
PROV36;Sleetmute;;;;;;;;;;;;;x
PROV37;Koliganek;;;;;;;;;;;;;x
PROV38;Ekwok;;;;;;;;;;;;;x
PROV39;Manokotak;;;;;;;;;;;;;x
PROV40;Nenana;;;;;;;;;;;;;x
PROV41;Kantishina;;;;;;;;;;;;;x
PROV42;Lime Village;;;;;;;;;;;;;x
PROV43;Iliamna;;;;;;;;;;;;;x
PROV44;Levelock;;;;;;;;;;;;;x
PROV45;Ekuk;;;;;;;;;;;;;x
PROV46;Nelson Lagoon;;;;;;;;;;;;;x
PROV47;Fairbanks;;;;;;;;;;;;;x
PROV48;Anderson;;;;;;;;;;;;;x
PROV49;Susitna;;;;;;;;;;;;;x
PROV50;Blockade Lake;;;;;;;;;;;;;x
PROV51;Kokhanok;;;;;;;;;;;;;x
PROV52;Naknek;;;;;;;;;;;;;x
PROV53;Ugashik;;;;;;;;;;;;;x
PROV54;Ilnik Lake;;;;;;;;;;;;;x
PROV55;Unga;;;;;;;;;;;;;x
PROV56;Cold Bay;;;;;;;;;;;;;x
PROV57;Pleasant Valley;;;;;;;;;;;;;x
PROV58;Takeetna;;;;;;;;;;;;;x
PROV59;Anchorage;;;;;;;;;;;;;x
PROV60;Tyonek;;;;;;;;;;;;;x
PROV61;Kalgin Island;;;;;;;;;;;;;x
PROV62;Katmai Park;;;;;;;;;;;;;x
PROV63;Lower Ugashik Lake;;;;;;;;;;;;;x
PROV64;Chignik;;;;;;;;;;;;;x
PROV65;Perryville;;;;;;;;;;;;;x
PROV66;Choluteca;;;;;;;;;;;;;x
PROV67;USA Minor Outlying Islands;;;;;;;;;;;;;x
PROV68;Fort Greeley;;;;;;;;;;;;;x
PROV69;Healy;;;;;;;;;;;;;x
PROV70;Valdez;;;;;;;;;;;;;x
PROV71;Kenai;;;;;;;;;;;;;x
PROV72;Homer;;;;;;;;;;;;;x
PROV73;McNeill Range;;;;;;;;;;;;;x
PROV74;Akhiok;;;;;;;;;;;;;x
PROV75;Aniakchak;;;;;;;;;;;;;x
PROV76;Eagle;;;;;;;;;;;;;x
PROV77;Gakona;;;;;;;;;;;;;x
PROV78;Kenny Lake;;;;;;;;;;;;;x
PROV79;Whittier;;;;;;;;;;;;;x
PROV80;Seward;;;;;;;;;;;;;x
PROV81;Afognak;;;;;;;;;;;;;x
PROV82;Cobán;;;;;;;;;;;;;x
PROV83;Sixtymile;;;;;;;;;;;;;x
PROV84;Nabesna;;;;;;;;;;;;;x
PROV85;Chitina;;;;;;;;;;;;;x
PROV86;Sayaxché;;;;;;;;;;;;;x
PROV87;Moosehide;;;;;;;;;;;;;x
PROV88;Tok;;;;;;;;;;;;;x
PROV89;Kenicott;;;;;;;;;;;;;x
PROV90;Mudhole;;;;;;;;;;;;;x
PROV91;Barlow;;;;;;;;;;;;;x
PROV92;Kirkman Creek;;;;;;;;;;;;;x
PROV93;Burwash;;;;;;;;;;;;;x
PROV94;Katalia;;;;;;;;;;;;;x
PROV95;Honolulu;;;;;;;;;;;;;x
PROV96;Mayo;;;;;;;;;;;;;x
PROV97;Carmacs;;;;;;;;;;;;;x
PROV98;Aishihik;;;;;;;;;;;;;x
PROV99;Yakataga;;;;;;;;;;;;;x
PROV100;Hilo;;;;;;;;;;;;;x
PROV101;Kiribati;;;;;;;;;;;;;x
PROV102;Lansing;;;;;;;;;;;;;x
PROV103;Big Salmon;;;;;;;;;;;;;x
PROV104;Champagne;;;;;;;;;;;;;x
PROV105;Mount Lucania;;;;;;;;;;;;;x
PROV106;Marmot Pass;;;;;;;;;;;;;x
PROV107;Faro;;;;;;;;;;;;;x
PROV108;Lake Laberge;;;;;;;;;;;;;x
PROV109;Kluane;;;;;;;;;;;;;x
PROV110;Tonke Sap;;;;;;;;;;;;;x
PROV111;Caribou Pass;;;;;;;;;;;;;x
PROV112;Ross River;;;;;;;;;;;;;x
PROV113;Livingstone Creek;;;;;;;;;;;;;x
PROV114;Dezadeash;;;;;;;;;;;;;x
PROV115;Yakutat;;;;;;;;;;;;;x
PROV116;Keele River;;;;;;;;;;;;;x
PROV117;Mount Sheldon;;;;;;;;;;;;;x
PROV118;Nisutlin Lake;;;;;;;;;;;;;x
PROV119;Whitehorse;;;;;;;;;;;;;x
PROV120;Squaw Creek;;;;;;;;;;;;;x
PROV121;Redstone River;;;;;;;;;;;;;x
PROV122;Grady Lake;;;;;;;;;;;;;x
PROV123;Wolverine Lake;;;;;;;;;;;;;x
PROV124;Johnsons Crossing;;;;;;;;;;;;;x
PROV125;Bennett;;;;;;;;;;;;;x
PROV126;Wrigley;;;;;;;;;;;;;x
PROV127;Throat River;;;;;;;;;;;;;x
PROV128;Frances Lake;;;;;;;;;;;;;x
PROV129;Teslin;;;;;;;;;;;;;x
PROV130;Atlin;;;;;;;;;;;;;x
PROV131;Keller Lake;;;;;;;;;;;;;x
PROV132;Nahanni River;;;;;;;;;;;;;x
PROV133;Dome Peak;;;;;;;;;;;;;x
PROV134;Rancheria;;;;;;;;;;;;;x
PROV135;Jennings River;;;;;;;;;;;;;x
PROV136;Gustavus;;;;;;;;;;;;;x
PROV137;Lac Grandin;;;;;;;;;;;;;x
PROV138;Camsel Bend;;;;;;;;;;;;;x
PROV139;Prairie Creek;;;;;;;;;;;;;x
PROV140;Watson Lake;;;;;;;;;;;;;x
PROV141;Cassiar;;;;;;;;;;;;;x
PROV142;Juneau;;;;;;;;;;;;;x
PROV143;Lac La Martre;;;;;;;;;;;;;x
PROV144;Willowlake River;;;;;;;;;;;;;x
PROV145;South Nahanni;;;;;;;;;;;;;x
PROV146;Irons Creek;;;;;;;;;;;;;x
PROV147;McDame;;;;;;;;;;;;;x
PROV148;Sheslay;;;;;;;;;;;;;x
PROV149;Chichagof Island;;;;;;;;;;;;;x
PROV150;Papeete;;;;;;;;;;;;;x
PROV151;Snare River;;;;;;;;;;;;;x
PROV152;Horn Plateau;;;;;;;;;;;;;x
PROV153;Fort Simpson;;;;;;;;;;;;;x
PROV154;Toobally Lakes;;;;;;;;;;;;;x
PROV155;Deadwood Lake;;;;;;;;;;;;;x
PROV156;Glenora;;;;;;;;;;;;;x
PROV157;Banja Luka;;;;;;;;;;;;;x
PROV158;Roundrock Lake;;;;;;;;;;;;;x
PROV159;Fawn Lake;;;;;;;;;;;;;x
PROV160;Jean Marie Creek;;;;;;;;;;;;;x
PROV161;La Biche River;;;;;;;;;;;;;x
PROV162;Lower Post;;;;;;;;;;;;;x
PROV163;Dease Lake;;;;;;;;;;;;;x
PROV164;Wrangell;;;;;;;;;;;;;x
PROV165;Courageous Lake;;;;;;;;;;;;;x
PROV166;Edzo;;;;;;;;;;;;;x
PROV167;Mills Lake;;;;;;;;;;;;;x
PROV168;Fort Liard;;;;;;;;;;;;;x
PROV169;Fireside;;;;;;;;;;;;;x
PROV170;Pitman River;;;;;;;;;;;;;x
PROV171;Chutine;;;;;;;;;;;;;x
PROV172;MacKay Lake Shore;;;;;;;;;;;;;x
PROV173;Yellowknife;;;;;;;;;;;;;x
PROV174;Fort Providence;;;;;;;;;;;;;x
PROV175;Trout Lake;;;;;;;;;;;;;x
PROV176;Liard River;;;;;;;;;;;;;x
PROV177;Frog River;;;;;;;;;;;;;x
PROV178;Edontenajon;;;;;;;;;;;;;x
PROV179;Baranof Island;;;;;;;;;;;;;x
PROV180;Hongze Lake;;;;;;;;;;;;;x
PROV181;Aylmer Lake;;;;;;;;;;;;;x
PROV182;Discovery;;;;;;;;;;;;;x
PROV183;Gypsum Point;;;;;;;;;;;;;x
PROV184;Trainor Lake;;;;;;;;;;;;;x
PROV185;Nelson Forks;;;;;;;;;;;;;x
PROV186;Ware;;;;;;;;;;;;;x
PROV187;Hyland Post;;;;;;;;;;;;;x
PROV188;Clinton-Colden Lake;;;;;;;;;;;;;x
PROV189;Pethei Peninsula;;;;;;;;;;;;;x
PROV190;Fort Resolution;;;;;;;;;;;;;x
PROV191;Trout River;;;;;;;;;;;;;x
PROV192;Helmut;;;;;;;;;;;;;x
PROV193;Gataga River;;;;;;;;;;;;;x
PROV194;Toadoggone River;;;;;;;;;;;;;x
PROV195;Petersburg;;;;;;;;;;;;;x
PROV196;Redford River;;;;;;;;;;;;;x
PROV197;Fort Reliance;;;;;;;;;;;;;x
PROV198;Taltson;;;;;;;;;;;;;x
PROV199;Hay River;;;;;;;;;;;;;x
PROV200;Chateh;;;;;;;;;;;;;x
PROV201;Muncho Lake;;;;;;;;;;;;;x
PROV202;Moose Valley;;;;;;;;;;;;;x
PROV203;Stikine;;;;;;;;;;;;;x
PROV204;Kuiku island;;;;;;;;;;;;;x
PROV205;Thelon River;;;;;;;;;;;;;x
PROV206;Artillery Lake;;;;;;;;;;;;;x
PROV207;Hjalmar Lake;;;;;;;;;;;;;x
PROV208;Pine Point;;;;;;;;;;;;;x
PROV209;North Vermilion;;;;;;;;;;;;;x
PROV210;Fort Nelson;;;;;;;;;;;;;x
PROV211;McConnell Creek;;;;;;;;;;;;;x
PROV212;Bowser Lake;;;;;;;;;;;;;x
PROV213;Thorne Bay;;;;;;;;;;;;;x
PROV214;Tebesjuak Lake;;;;;;;;;;;;;x
PROV215;Whitefish Lake;;;;;;;;;;;;;x
PROV216;Porter Lake;;;;;;;;;;;;;x
PROV217;Dawson Landing;;;;;;;;;;;;;x
PROV218;Caribou Mountains;;;;;;;;;;;;;x
PROV219;Kotcho;;;;;;;;;;;;;x
PROV220;Finbow;;;;;;;;;;;;;x
PROV221;Mount Rattullo;;;;;;;;;;;;;x
PROV222;Etolin Island;;;;;;;;;;;;;x
PROV223;Mallery Lake;;;;;;;;;;;;;x
PROV224;Eyeberry Lake;;;;;;;;;;;;;x
PROV225;Howard Lake;;;;;;;;;;;;;x
PROV226;Cunningham Landing;;;;;;;;;;;;;x
PROV227;Thultue Lake;;;;;;;;;;;;;x
PROV228;Fontas;;;;;;;;;;;;;x
PROV229;Fort Grahame;;;;;;;;;;;;;x
PROV230;Nass River;;;;;;;;;;;;;x
PROV231;Ella Lake;;;;;;;;;;;;;x
PROV232;Sugar Loaf Mountain;;;;;;;;;;;;;x
PROV233;Dubawnt LakeCoast;;;;;;;;;;;;;x
PROV234;Damant Lake;;;;;;;;;;;;;x
PROV235;Hill Island Lake;;;;;;;;;;;;;x
PROV236;Conibear Lake;;;;;;;;;;;;;x
PROV237;Worsley;;;;;;;;;;;;;x
PROV238;Pink Mountain;;;;;;;;;;;;;x
PROV239;Bear Lake;;;;;;;;;;;;;x
PROV240;Stewart;;;;;;;;;;;;;x
PROV241;Quoich River;;;;;;;;;;;;;x
PROV242;Tulemalu Lake Coast;;;;;;;;;;;;;x
PROV243;Sid Lake;;;;;;;;;;;;;x
PROV244;Whirlwind Lake;;;;;;;;;;;;;x
PROV245;Fort Smith;;;;;;;;;;;;;x
PROV246;Hotchkiss;;;;;;;;;;;;;x
PROV247;Jedney;;;;;;;;;;;;;x
PROV248;Goldway Peak;;;;;;;;;;;;;x
PROV249;Kuldo;;;;;;;;;;;;;x
PROV250;Primrose Island;;;;;;;;;;;;;x
PROV251;Yathkyed Lake;;;;;;;;;;;;;x
PROV252;Kamilukuak Lake;;;;;;;;;;;;;x
PROV253;Labyrinth Lake;;;;;;;;;;;;;x
PROV254;Assen;;;;;;;;;;;;;x
PROV255;Lubicon Lake;;;;;;;;;;;;;x
PROV256;Hines Creek;;;;;;;;;;;;;x
PROV257;Mesilinka River;;;;;;;;;;;;;x
PROV258;Kisgepas;;;;;;;;;;;;;x
PROV259;Hydaburg;;;;;;;;;;;;;x
PROV260;Masset;;;;;;;;;;;;;x
PROV261;Cape Silumiut;;;;;;;;;;;;;x
PROV262;Padlei;;;;;;;;;;;;;x
PROV263;Nowyak Lake;;;;;;;;;;;;;x
PROV264;Ingalls Lake;;;;;;;;;;;;;x
PROV265;Swindon;;;;;;;;;;;;;x
PROV266;Mikkwa;;;;;;;;;;;;;x
PROV267;Harmony Valley;;;;;;;;;;;;;x
PROV268;Williston Lake;;;;;;;;;;;;;x
PROV269;Driftwood;;;;;;;;;;;;;x
PROV270;Port Clemens;;;;;;;;;;;;;x
PROV271;Cape Fullerton;;;;;;;;;;;;;x
PROV272;MacQuoid Lake;;;;;;;;;;;;;x
PROV273;South Hennik Lake;;;;;;;;;;;;;x
PROV274;Wholdaia Lake Coast;;;;;;;;;;;;;x
PROV275;Uranium City;;;;;;;;;;;;;x
PROV276;Fox Lake;;;;;;;;;;;;;x
PROV277;Atikameg;;;;;;;;;;;;;x
PROV278;Hudsons Hope;;;;;;;;;;;;;x
PROV279;Guildford;;;;;;;;;;;;;x
PROV280;Metlakatla;;;;;;;;;;;;;x
PROV281;Cape Kendall;;;;;;;;;;;;;x
PROV282;Whale Cove;;;;;;;;;;;;;x
PROV283;Napajut Lake;;;;;;;;;;;;;x
PROV284;Kasba Lake Coast;;;;;;;;;;;;;x
PROV285;Black Lake;;;;;;;;;;;;;x
PROV286;Carlson Landing;;;;;;;;;;;;;x
PROV287;Wabasca;;;;;;;;;;;;;x
PROV288;Fort St John;;;;;;;;;;;;;x
PROV289;Germansen Landing;;;;;;;;;;;;;x
PROV290;Prince Rupert;;;;;;;;;;;;;x
PROV291;Porcher Island;;;;;;;;;;;;;x
PROV292;Adamstown;;;;;;;;;;;;;x
PROV293;Mount Saorre;;;;;;;;;;;;;x
PROV294;Chesterfield Inlet;;;;;;;;;;;;;x
PROV295;Maguse River;;;;;;;;;;;;;x
PROV296;Ennadai;;;;;;;;;;;;;x
PROV297;Phelps Lake;;;;;;;;;;;;;x
PROV298;William Point;;;;;;;;;;;;;x
PROV299;Agnes Lake;;;;;;;;;;;;;x
PROV300;Cherry Point;;;;;;;;;;;;;x
PROV301;Mackenzie;;;;;;;;;;;;;x
PROV302;Terrace;;;;;;;;;;;;;x
PROV303;Kitimat;;;;;;;;;;;;;x
PROV304;Butedale;;;;;;;;;;;;;x
PROV305;Coral Harbor;;;;;;;;;;;;;x
PROV306;Cullaton Lake;;;;;;;;;;;;;x
PROV307;Wollaston Lake Coast;;;;;;;;;;;;;x
PROV308;Davy Lake;;;;;;;;;;;;;x
PROV309;Algar Tower;;;;;;;;;;;;;x
PROV310;Bluesky;;;;;;;;;;;;;x
PROV311;Chetwynd;;;;;;;;;;;;;x
PROV312;Kitselas;;;;;;;;;;;;;x
PROV313;Llavorsi;;;;;;;;;;;;;x
PROV314;Kildala Arm;;;;;;;;;;;;;x
PROV315;Bella Bella;;;;;;;;;;;;;x
PROV316;Port Hardy;;;;;;;;;;;;;x
PROV317;Mount Minto;;;;;;;;;;;;;x
PROV318;Nueitin Lake;;;;;;;;;;;;;x
PROV319;Kasmere Lake;;;;;;;;;;;;;x
PROV320;Livingstone Lake;;;;;;;;;;;;;x
PROV321;Cowper;;;;;;;;;;;;;x
PROV322;McLennan;;;;;;;;;;;;;x
PROV323;Dawson Creek;;;;;;;;;;;;;x
PROV324;Lucena;;;;;;;;;;;;;x
PROV325;Perow;;;;;;;;;;;;;x
PROV326;Clemretta;;;;;;;;;;;;;x
PROV327;Firvale;;;;;;;;;;;;;x
PROV328;Owikeno;;;;;;;;;;;;;x
PROV329;Goose Bay;;;;;;;;;;;;;x
PROV330;Port McNeill;;;;;;;;;;;;;x
PROV331;Tha-Anne River;;;;;;;;;;;;;x
PROV332;Nahili Lake;;;;;;;;;;;;;x
PROV333;Pasfield Lake;;;;;;;;;;;;;x
PROV334;La Loche;;;;;;;;;;;;;x
PROV335;Faust;;;;;;;;;;;;;x
PROV336;Gordondale;;;;;;;;;;;;;x
PROV337;Smithers;;;;;;;;;;;;;x
PROV338;Nancut;;;;;;;;;;;;;x
PROV339;Tintagel;;;;;;;;;;;;;x
PROV340;Rumonge;;;;;;;;;;;;;x
PROV341;Maebashi;;;;;;;;;;;;;x
PROV342;Sullivan Bay;;;;;;;;;;;;;x
PROV343;Woss;;;;;;;;;;;;;x
PROV344;Courtenay;;;;;;;;;;;;;x
PROV345;Benavente;;;;;;;;;;;;;x
PROV346;Arviat;;;;;;;;;;;;;x
PROV347;Nejanilini Lake;;;;;;;;;;;;;x
PROV348;Hatcher Lake;;;;;;;;;;;;;x
PROV349;Stony Narrows;;;;;;;;;;;;;x
PROV350;Spurfield;;;;;;;;;;;;;x
PROV351;Debolt;;;;;;;;;;;;;x
PROV352;Leo Creek;;;;;;;;;;;;;x
PROV353;Tachie;;;;;;;;;;;;;x
PROV354;Endako;;;;;;;;;;;;;x
PROV355;Bella Coola;;;;;;;;;;;;;x
PROV356;Towdystan;;;;;;;;;;;;;x
PROV357;Glendale Cove;;;;;;;;;;;;;x
PROV358;Campbell River;;;;;;;;;;;;;x
PROV359;Port Alberny;;;;;;;;;;;;;x
PROV360;Cape Pembroke;;;;;;;;;;;;;x
PROV361;Caribou River;;;;;;;;;;;;;x
PROV362;Chelmsford;;;;;;;;;;;;;x
PROV363;Cree River;;;;;;;;;;;;;x
PROV364;Amesbury;;;;;;;;;;;;;x
PROV365;High Prairie;;;;;;;;;;;;;x
PROV366;Nation River;;;;;;;;;;;;;x
PROV367;Fort St James;;;;;;;;;;;;;x
PROV368;Vanderhoof;;;;;;;;;;;;;x
PROV369;Tsacha Lake;;;;;;;;;;;;;x
PROV370;Kleena Kleene;;;;;;;;;;;;;x
PROV371;Homathko River;;;;;;;;;;;;;x
PROV372;Powell River;;;;;;;;;;;;;x
PROV373;Victoria;;;;;;;;;;;;;x
PROV374;Neah Bay;;;;;;;;;;;;;x
PROV375;Aberdeen ;;;;;;;;;;;;;x
PROV376;Seaside;;;;;;;;;;;;;x
PROV377;Newport;;;;;;;;;;;;;x
PROV378;Coos Bay;;;;;;;;;;;;;x
PROV379;Myrtle Point;;;;;;;;;;;;;x
PROV380;Gold Beach;;;;;;;;;;;;;x
PROV381;Crescent City;;;;;;;;;;;;;x
PROV382;Fortuna;;;;;;;;;;;;;x
PROV383;Fort Bragg;;;;;;;;;;;;;x
PROV384;Amadjuak;;;;;;;;;;;;;x
PROV385;Hubbart Point;;;;;;;;;;;;;x
PROV386;Lac Brochet;;;;;;;;;;;;;x
PROV387;Geikie River;;;;;;;;;;;;;x
PROV388;Philomena;;;;;;;;;;;;;x
PROV389;Slave Lake;;;;;;;;;;;;;x
PROV390;McLeod Lake;;;;;;;;;;;;;x
PROV391;Salmon River;;;;;;;;;;;;;x
PROV392;Finmoore;;;;;;;;;;;;;x
PROV393;Nazko;;;;;;;;;;;;;x
PROV394;Alexis Creek;;;;;;;;;;;;;x
PROV395;Hanceville;;;;;;;;;;;;;x
PROV396;Pemberton;;;;;;;;;;;;;x
PROV397;Whistler;;;;;;;;;;;;;x
PROV398;Vancouver;;;;;;;;;;;;;x
PROV399;Bremerton;;;;;;;;;;;;;x
PROV400;Olympia;;;;;;;;;;;;;x
PROV401;Longview ;;;;;;;;;;;;;x
PROV402;Beaverton;;;;;;;;;;;;;x
PROV403;Salem;;;;;;;;;;;;;x
PROV404;Eugene;;;;;;;;;;;;;x
PROV405;Grants Pass;;;;;;;;;;;;;x
PROV406;Medford ;;;;;;;;;;;;;x
PROV407;Yreka;;;;;;;;;;;;;x
PROV408;Hayfork;;;;;;;;;;;;;x
PROV409;Ukiah;;;;;;;;;;;;;x
PROV410;Petaluma;;;;;;;;;;;;;x
PROV411;Spicer Islands;;;;;;;;;;;;;x
PROV412;North Seal River;;;;;;;;;;;;;x
PROV413;Reindeer Lake Shore;;;;;;;;;;;;;x
PROV414;Conklin;;;;;;;;;;;;;x
PROV415;Hondo;;;;;;;;;;;;;x
PROV416;Sunkunka River;;;;;;;;;;;;;x
PROV417;Summit Lake;;;;;;;;;;;;;x
PROV418;Prince George;;;;;;;;;;;;;x
PROV419;Dunkley;;;;;;;;;;;;;x
PROV420;Quesnel;;;;;;;;;;;;;x
PROV421;Williams Lake;;;;;;;;;;;;;x
PROV422;Lillooet;;;;;;;;;;;;;x
PROV423;Lytton;;;;;;;;;;;;;x
PROV424;Abbotsford;;;;;;;;;;;;;x
PROV425;Bellingham;;;;;;;;;;;;;x
PROV426;Seattle;;;;;;;;;;;;;x
PROV427;Tacoma;;;;;;;;;;;;;x
PROV428;Battle Ground;;;;;;;;;;;;;x
PROV429;Portland;;;;;;;;;;;;;x
PROV430;Mill City;;;;;;;;;;;;;x
PROV431;Oakridge;;;;;;;;;;;;;x
PROV432;Eagle Point;;;;;;;;;;;;;x
PROV433;Weed;;;;;;;;;;;;;x
PROV434;Dunsmuir;;;;;;;;;;;;;x
PROV435;Redding;;;;;;;;;;;;;x
PROV436;Yuba City;;;;;;;;;;;;;x
PROV437;Vacaville;;;;;;;;;;;;;x
PROV438;San Francisco;;;;;;;;;;;;;x
PROV439;Salinas;;;;;;;;;;;;;x
PROV440;Frobisher Bay;;;;;;;;;;;;;x
PROV441;Ivujivik;;;;;;;;;;;;;x
PROV442;Mansel Island;;;;;;;;;;;;;x
PROV443;Munroe Lake;;;;;;;;;;;;;x
PROV444;Kimowin River;;;;;;;;;;;;;x
PROV445;Athabasca;;;;;;;;;;;;;x
PROV446;Fellers Heights;;;;;;;;;;;;;x
PROV447;Quasar;;;;;;;;;;;;;x
PROV448;Hutton;;;;;;;;;;;;;x
PROV449;Bowron Lake;;;;;;;;;;;;;x
PROV450;Likely;;;;;;;;;;;;;x
PROV451;Hendrix Lake;;;;;;;;;;;;;x
PROV452;Ashcroft;;;;;;;;;;;;;x
PROV453;Canford;;;;;;;;;;;;;x
PROV454;Saitama;;;;;;;;;;;;;x
PROV455;Twisp;;;;;;;;;;;;;x
PROV456;Cashmere;;;;;;;;;;;;;x
PROV457;Rimrock;;;;;;;;;;;;;x
PROV458;Goldendale;;;;;;;;;;;;;x
PROV459;The Dalles;;;;;;;;;;;;;x
PROV460;Madras;;;;;;;;;;;;;x
PROV461;Bend;;;;;;;;;;;;;x
PROV462;Klamath Falls;;;;;;;;;;;;;x
PROV463;Tulelake;;;;;;;;;;;;;x
PROV464;Alturas;;;;;;;;;;;;;x
PROV465;Susanville;;;;;;;;;;;;;x
PROV466;Truckee;;;;;;;;;;;;;x
PROV467;Sacramento;;;;;;;;;;;;;x
PROV468;Stockton;;;;;;;;;;;;;x
PROV469;Soledad;;;;;;;;;;;;;x
PROV470;San Luis Obispo;;;;;;;;;;;;;x
PROV471;Opera Cape;;;;;;;;;;;;;x
PROV472;Tadoule Lake;;;;;;;;;;;;;x
PROV473;Brochel Bay;;;;;;;;;;;;;x
PROV474;Buffalo Narrows;;;;;;;;;;;;;x
PROV475;Lac La Biche;;;;;;;;;;;;;x
PROV476;Kelly Lake;;;;;;;;;;;;;x
PROV477;Beaverlodge;;;;;;;;;;;;;x
PROV478;Chiba;;;;;;;;;;;;;x
PROV479;Villarobledo;;;;;;;;;;;;;x
PROV480;Shiga;;;;;;;;;;;;;x
PROV481;Barriere;;;;;;;;;;;;;x
PROV482;Kamloops;;;;;;;;;;;;;x
PROV483;Nara;;;;;;;;;;;;;x
PROV484;Penticton;;;;;;;;;;;;;x
PROV485;Tonasket;;;;;;;;;;;;;x
PROV486;Wenatchee;;;;;;;;;;;;;x
PROV487;Yakima;;;;;;;;;;;;;x
PROV488;Richland;;;;;;;;;;;;;x
PROV489;Hermiston;;;;;;;;;;;;;x
PROV490;Fossil;;;;;;;;;;;;;x
PROV491;Riley;;;;;;;;;;;;;x
PROV492;Paisley;;;;;;;;;;;;;x
PROV493;Gerlach;;;;;;;;;;;;;x
PROV494;Cedarville;;;;;;;;;;;;;x
PROV495;Litchfield;;;;;;;;;;;;;x
PROV496;Reno;;;;;;;;;;;;;x
PROV497;Folsom;;;;;;;;;;;;;x
PROV498;Merced;;;;;;;;;;;;;x
PROV499;Fresno;;;;;;;;;;;;;x
PROV500;Taft;;;;;;;;;;;;;x
PROV501;Santa Maria;;;;;;;;;;;;;x
PROV502;Allen Island;;;;;;;;;;;;;x
PROV503;Riviere Kovic;;;;;;;;;;;;;x
PROV504;North Knife River;;;;;;;;;;;;;x
PROV505;Cochrane River;;;;;;;;;;;;;x
PROV506;Churchill Lake;;;;;;;;;;;;;x
PROV507;Seibert Lake;;;;;;;;;;;;;x
PROV508;Grande Prairie;;;;;;;;;;;;;x
PROV509;Kakwa;;;;;;;;;;;;;x
PROV510;Grande Cache;;;;;;;;;;;;;x
PROV511;Valemount;;;;;;;;;;;;;x
PROV512;Wakayama;;;;;;;;;;;;;x
PROV513;Lucerne;;;;;;;;;;;;;x
PROV514;Salmon Arm;;;;;;;;;;;;;x
PROV515;Vernon;;;;;;;;;;;;;x
PROV516;Kelowna;;;;;;;;;;;;;x
PROV517;Republic;;;;;;;;;;;;;x
PROV518;Davenport ;;;;;;;;;;;;;x
PROV519;Moses Lake;;;;;;;;;;;;;x
PROV520;Kennewick;;;;;;;;;;;;;x
PROV521;Pendleton;;;;;;;;;;;;;x
PROV522;John Day;;;;;;;;;;;;;x
PROV523;Burns;;;;;;;;;;;;;x
PROV524;Valley Falls;;;;;;;;;;;;;x
PROV525;Lakeview;;;;;;;;;;;;;x
PROV526;Sulphur;;;;;;;;;;;;;x
PROV527;Fernley;;;;;;;;;;;;;x
PROV528;Fallon;;;;;;;;;;;;;x
PROV529;Yerington;;;;;;;;;;;;;x
PROV530;Mammoth Lakes;;;;;;;;;;;;;x
PROV531;Porterville;;;;;;;;;;;;;x
PROV532;Bakersfield;;;;;;;;;;;;;x
PROV533;Palmdale;;;;;;;;;;;;;x
PROV534;Los Angeles;;;;;;;;;;;;;x
