#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x;;
MANPOWER_DETAILS_IRO;Our current availible manpower is: §Y$AVAILIBLE$§W\nOut of a possible of: §Y$MAX$§W\nWe draft: §Y$DRAFT$§W each month\nOur army needs §Y$NEED$§W manpower to reinforce, and we currently use §Y$DAILYUSED$§W every day.;;;;;;;;;;;;;x;;
SATELLITES_NUM_DRO; ;;;;;;;;;;;;;x;;
URANIUM_NUM_IRO;This is our current amount of high grade nuclear material;;;;;;;;;;;;;x;;
URANIUM_NUM_DRO; ;;;;;;;;;;;;;x;;
INTERBRANCH_DESC;Unit makes use of inter-branch cooperation, making attack more efficient.;;;;;;;;;;;;;x;;
UNIT_LOW_EQUIPMENT;This unit lacks equipment.;;;;;;;;;;;;;x;;
OL_LACK_SUPPLY; §RThis unit lacks supply.;;;;;;;;;;;;;x;;
MMW_START;Start selection of allied operations provinces.;;;;;;;;;;;;;x;;
MMW_FINISH;Finish selection of allied operations provinces.;;;;;;;;;;;;;x;;
MMW_SELECT_ALL;Select all allied countries to perform operation.;;;;;;;;;;;;;x;;
MMW_CANCEL_ALL;Cancel selection of all countries.;;;;;;;;;;;;;x;;
BUILDING_ARRIVAL;Arrival date: $DATE$;;;;;;;;;;;;;x;;
LEADER_SUPERIOR;This is superior leader.;;;;;;;;;;;;;x;;
LEADER_MOMENTUM;This leader has momentum.;;;;;;;;;;;;;x;;
LEADER_ROW_WINS;Wins in row: ;;;;;;;;;;;;;x;;
#PV_DRAFT_MILITIA_IRO;Draft militia in this province.;;;;;;;;;;;;;x;;
#PV_DRAFT_MILITIA_DRO;Clicking this buttons begins drafting militia units from the population of the province. This will result in new militia units appearing in the province, costing us $SUP_COST$ supply and $NU_COST$ National Unity. Manpower cost will be $MP_COST$.;;;;;;;;;;;;;x;;
PV_DRAFT_MILITIA_IRO;Support guerrilla in this province.;;;;;;;;;;;;;x;;
PV_DRAFT_MILITIA_DRO;Clicking this button gives support to disaffected locals in the province, resulting in new guerrilla units appearing in there. Supporting guerrillas here will cost §Y$SUP_COST$§W supply and §Y$MON_COST$§W money. The number of guerrilla units depends on the province's population, revolt risk, and other random factors. Currently we predict that §Y$UNITS$§W units will emerge. Estimated end of the effects of support: §Y$DATE$§W.;;;;;;;;;;;;;x;;
#PV_DRAFT_MILITIA_DRO;Supply cost: $SUP_COST$, money cost : $MON_COST$,predicted units: $UNITS$.;;;;;;;;;;;;;x;;
PV_DRAFT_MILITIA_SUPPORTED_IRO;Guerrillas in this province already have a supporter.;;;;;;;;;;;;;x;;
PV_DRAFT_MILITIA_NOT_POSSIBLE_IRO;Guerrillas can only be supported in provinces that have a revolt risk higher than 10% and are located in a region which is close to a friendly region.;;;;;;;;;;;;;x;;
PV_DRAFT_SUPPORTER_PLAYER_IRO;You are supporting guerrillas in this province.;;;;;;;;;;;;;x;;
PV_DRAFT_SUPPORTER_PLAYER_DRO;Estimated end day of supporting effects : §Y$DATE$§W.;;;;;;;;;;;;;x;;
PV_DRAFT_NOT_ENOUGH_MONEY_IRO;You don't have enough goods to support guerrillas in this province.;;;;;;;;;;;;;x;;
PV_DRAFT_NOT_ENOUGH_MONEY_DRO;Money cost: §Y$MONEY$§W, Supplies cost: §Y$SUPPLIES$§W.;;;;;;;;;;;;;x;;
PV_PROV_INCOME_IRO;Income of the province;;;;;;;;;;;;;x;;
PV_NO_RESOURCE_IRO;This province is not producing any resource at the moment.;;;;;;;;;;;;;x;;
PV_PRIORITY_IRO;Prioritize;;;;;;;;;;;;;x;;
PV_PRIORITY_DRO;Use this button to prioritize a province. Prioritized provinces are always first to being repaired and improved.;;;;;;;;;;;;;x;;
PV_RGO_IRO;Resource Gathering Operation;;;;;;;;;;;;;x;;
PV_REGION_POP_IRO;Population of the region;;;;;;;;;;;;;x;;
PV_REGION_WORKERS_IRO;Free workers in the region;;;;;;;;;;;;;x;;
PV_REGION_DI_IRO;Region Development Index;;;;;;;;;;;;;x;;
PV_REGION_INCOME_IRO;Income of the region;;;;;;;;;;;;;x;;
PV_REGION_INDUSTRY_IRO;Region industry;;;;;;;;;;;;;x;;
AUTONOMOUS_DIVISION;This option allows you to turn on/off autonomous division AI.;;;;;;;;;;;;;x;;
AUTONOMOUS_ACTIVE;AI is active.;;;;;;;;;;;;;x;;
AUTONOMOUS_INACTIVE;AI is inactive.;;;;;;;;;;;;;x;;
CURR_COMB_ORG;Current organization:;;;;;;;;;;;;;x;;
CURR_COMB_STR_EQUIP;Equipment at $PERCENT$ of maximum unit strength.;;;;;;;;;;;;;x;;
CURR_COMB_STR_MAN;Manpower at $PERCENT$ of maximum unit strength.;;;;;;;;;;;;;x;;
CURR_MORALE;Current morale: ;;;;;;;;;;;;;x;;
DEF_MORALE;Default morale: ;;;;;;;;;;;;;x;;
ORG_CHANGE;Periodic morale change: ;;;;;;;;;;;;;x;;
CONVOY_AREA_EFFICIENCY;Area efficiency for convoys: ;;;;;;;;;;;;;x;;
PARTISAN_ATTRITION;Partisan based attrition: §Y+$ATTR$§W (attrition for 100% activity: §R$SETTING$§W);;;;;;;;;;;;;x;;
WEDITOR_ERR_LINK;The required ammunition store already linked to $SLOT$;;;;;;;;;;;;;x;;
BM_INTERBRANCH;Interbranch;;;;;;;;;;;;;x;;
COUNTRY_NAME;§WCountry;;;;;;;;;;;;;x;;
CURRENTLY_AVAILABLE_ALLIED;§WAvailable: §R$AMOUNT$§W;;;;;;;;;;;;;x;;
CURRENTLY_ASSIGNED_ALLIED;§WAssigned: §R$AMOUNT$§W;;;;;;;;;;;;;x;;
INTEL_AWACS;AWACS/radar is operating nearby;;;;;;;;;;;;;x;;
MOMENTUM_LEADERS;Leaders currently with momentum.;;;;;;;;;;;;;x;;
BM_INTERBRANCH_desc;By researching improved precision ammunition and the doctrines to best implement it, cooperation between air and ground forces can be improved to achieve full effect against a target without putting friendly forces at risk.;;;;;;;;;;;;;x;;
AREA_SHIPS;This area can ship daily §Y$SIZE$§W of supplies and fuel. Currently we are shipping §Y$CURRENT$§W. ;;;;;;;;;;;;;x;;
NOTRECOGNISED;Without recogizing a country or being recognized them, you can not send a diplomat.;;;;;;;;;;;;;x;;
RECOGNISEDBYUS;$COUNTRY$ is recognized by us.;;;;;;;;;;;;;x;;
NOTRECOGNISEDBYUS;$COUNTRY$ is not recognized by us.;;;;;;;;;;;;;x;;
WERECOGNISEDBY;We are recognized by $COUNTRY$.;;;;;;;;;;;;;x;;
WENOTRECOGNISEDBY;We are not recognized by $COUNTRY$.;;;;;;;;;;;;;x;;
RECOGNITION_DESC;Recognition establishes diplomatic relations, allowing economic access and diplomatic actions.;;;;;;;;;;;;;x;;
NATDECISION;National Decisions;;;;;;;;;;;;;x;;
INTERDECISION;International Decisions;;;;;;;;;;;;;x;;
CONVOY_USED_EFFICIENCY;Currently used shipping power: ;;;;;;;;;;;;;x;;
OUTLAW_PARTY;Outlaw Party;;;;;;;;;;;;;x;;
RECALL_PARTY;Recall Party;;;;;;;;;;;;;x;;
SUPPORT_PARTY;Support Party;;;;;;;;;;;;;x;;
INTERVENTION_NEXT;Available after next election.;;;;;;;;;;;;;x;;
SUPPORT_PARTY_PCT;Support Party Percentage: ;;;;;;;;;;;;;x;;
SUPPORT_PARTY_DISSENT;Support Party Dissent: ;;;;;;;;;;;;;x;;
LAWS;Laws;;;;;;;;;;;;;x;;
SUPPORT_PARTY_DISABLED;Support is not available due to party being banned or your nation having exceeded §R$LIMIT$§W dissent limit.;;;;;;;;;;;;;x;;
WIKIERROR;Internet connection error or Wiki link not found;;;;;;;;;;;;;x;;
WARSCORE;Warscore;;;;;;;;;;;;;x;;
PEACEITEM_NAME;Name;;;;;;;;;;;;;x;;
PEACEITEM_COST;Cost;;;;;;;;;;;;;x;;
PEACEITEM_PRESTIGE;Prestige;;;;;;;;;;;;;x;;
PEACEITEM_INFAMY;Infamy;;;;;;;;;;;;;x;;
PEACETYPE_DEMAND_BUTTON;Demand;;;;;;;;;;;;;x;;
PEACETYPE_OFFER_BUTTON;Offer;;;;;;;;;;;;;x;;
DIP_DIPLOMACY;Diplomacy;;;;;;;;;;;;;x;;
DIP_FACTION;Factions;;;;;;;;;;;;;x;;
DIP_UN;United Nations;;;;;;;;;;;;;x;;
DIP_UN_SHORT;UN;;;;;;;;;;;;;x;;
DIP_COMMUNITY;Community;;;;;;;;;;;;;x;;
NEGOTIATIONS_TITLE;Negotiate;;;;;;;;;;;;;x;;
MORAL_LEADER;This moral leader will lead our nation until death and can only be removed by revolution or coup.;;;;;;;;;;;;;x;;
PEACE_OFFER_DESC;Offer peace to $COUNTRY$;;;;;;;;;;;;;x;;
PEACE_DEMAND_DESC;Demand peace from $COUNTRY$;;;;;;;;;;;;;x;;
PEACEGOAL_ANNEX;Annex nation;;;;;;;;;;;;;x;;
PEACEGOAL_PUPPET;Puppet nation;;;;;;;;;;;;;x;;
PEACEGOAL_HUMILIATE;Humiliate;;;;;;;;;;;;;x;;
PEACEGOAL_DISARM;Forced Disarmament;;;;;;;;;;;;;x;;
PEACEGOAL_MIL_ACCESS;Forced Military Access;;;;;;;;;;;;;x;;
PEACEDESC_UNDECIDED;The war is still undecided.;;;;;;;;;;;;;x;;
PEACEDESC_MARGINAL;Marginal $SCORE$.;;;;;;;;;;;;;x;;
PEACEDESC_CLEAR;Clear $SCORE$.;;;;;;;;;;;;;x;;
PEACEDESC_OVERWHELMING;Ovelwhelming $SCORE$.;;;;;;;;;;;;;x;;
PEACEDESC_VICTORY;victory;;;;;;;;;;;;;x;;
PEACEDESC_DEFEAT;defeat;;;;;;;;;;;;;x;;
PEACEPROPOSAL;\n\nWe negotiate on behalf of our entire alliance and they are negotiating for their entire alliance.;;;;;;;;;;;;;x;;
PEACEITEM_DISABLED;You have §R$WARSCORE$%§W warscore but you need §G$TOTAL$%§W for demand this option.;;;;;;;;;;;;;x;;
PEACE_NEG_WARSCORE;Warscore;;;;;;;;;;;;;x;;
PEACE_NEG_TITLE;Peace Negotiations;;;;;;;;;;;;;x;;
NEG_PRESTIGE;Prestige;;;;;;;;;;;;;x;;
NEG_ECONOMY;Economy Rating;;;;;;;;;;;;;x;;
NEG_MILITARY;Military Rating;;;;;;;;;;;;;x;;
NEG_DIPLOMACY;Diplomacy Rating;;;;;;;;;;;;;x;;
NEG_TITLE;Diplomatic Negotiations;;;;;;;;;;;;;x;;
NEG_TECH;Technology;;;;;;;;;;;;;x;;
NEG_UNITS;Units;;;;;;;;;;;;;x;;
NEG_GOODS;Goods;;;;;;;;;;;;;x;;
NEG_LICENCES;Licences;;;;;;;;;;;;;x;;
NEG_PROVS;Provinces;;;;;;;;;;;;;x;;
CHANCE_OF_SUCCESS;Chance of success;;;;;;;;;;;;;x;;
NEG_CONFLICT_END;Ask minister;;;;;;;;;;;;;x;;
POL_DISABLED_POLICY;You can select policies where the distance is up to §G$NUMBER$§W from current one.;;;;;;;;;;;;;x;;
POL_CURRENT_POLICY;This is the policy currently enacted;;;;;;;;;;;;;x;;
PRESS_TO_WIKI;Press button to read free Wikipedia text;;;;;;;;;;;;;x;;
NEGOTIATION_ACTION_DESC;This is negotiations action.;;;;;;;;;;;;;x;;
DIP_RELATIONS_TITLE;Relation;;;;;;;;;;;;;x;;
DIP_AGREEMENTS_TITLE;Agreements;;;;;;;;;;;;;x;;
DIP_ORGANISATIONS_TITLE;Organizations;;;;;;;;;;;;;x;;
DIP_ALLIANCES_TITLE;Alliances;;;;;;;;;;;;;x;;
DIP_REPUTATION_TITLE;Threat;;;;;;;;;;;;;x;;
MODIFIER_RULING_PARTY_SUPPORT;Ruling Party Support;Soutien du parti au pouvoir;Unterstützung für Regierungspartei;;Apoyo del partido gobernante;;;;;;;;;x;;
MODIFIER_PARTY_SIZE_BONUS;Party size modifier: ;;;;;;;;;;;;;x;;
MODIFIER_PARTY_POPULATITY_TIME;Popularity time: ;;;;;;;;;;;;;x;;
MODIFIER_PARTY_POPULARITY_BONUS;Beeing popular: ;;;;;;;;;;;;;x;;
MODIFIER_PARTY_MAX_SIZE;Over Max Party size: ;;;;;;;;;;;;;x;;
POL_PARTY_POP_FACTORS;Previous Month's Change: ;;;;;;;;;;;;;x;;
START_ELECTION_EFFECT;A general election begins in §Y$COUNTRY$\n;;;;;;;;;;;;;x;;
SUSPEND_ELECTION_EFFECT;§YElections Suspended \n;;;;;;;;;;;;;x;;
RESTORE_ELECTION_EFFECT;§YElections Restored \n;;;;;;;;;;;;;x;;
ELECTION_TIME_EFFECT;§YElection time§W changed to §G$MONTH$§W months;;;;;;;;;;;;;x;;
LAW_IDEOLOGIES;§YAllowed for ideologies:§W;;;;;;;;;;;;;x;;
LAW_IDEOLOGIES_ALL;§YAvailable for all ideologies.§W;;;;;;;;;;;;;x;;
LIMITED_DEFENSIVETITLE;Defensive War;;;;;;;;;;;;;x;;
LIMITED_DEF_WARDESC;Declaring a defensive war will give us a mandate to defend a nation against invading forces located within the nation’s borders. It will grant us the ability to attack and defend against all enemy forces within the target nation’s borders and all provinces which that nation considers to be its cores. It does NOT give us the mandate to invade the nation(s) attacking our target, and the war will continue until either party surrenders.;;;;;;;;;;;;;x;;
LIM_DEF_DIPLO_TEXT;Country defends $DEFENDED$ against $AGGRESSOR$.;;;;;;;;;;;;;x;;
LIM_WE_DEF_DIPLO_TEXT;We defend §G$DEFENDED$§W against §R$AGGRESSOR$§W.;;;;;;;;;;;;;x;;
LIM_WE_DEFENDED_TEXT;Country is defended by $DEFENDERS$ in war against $AGGRESSOR$.;;;;;;;;;;;;;x;;
LIM_AGGRESSOR_TEXT;Country $DEFENDED$ attacked by them is defended by $DEFENDERS$ in limited defensive war.;;;;;;;;;;;;;x;;
HAS_NAP_TEXT;Non-aggression pact;;;;;;;;;;;;;x;;
HAS_EMBARGO_TEXT;Trade embargo.;;;;;;;;;;;;;x;;
ALLOW_DEBTS_TEXT;Debt allowed;;;;;;;;;;;;;x;;
HAS_ALLIANCE_TEXT;Military Alliance;;;;;;;;;;;;;x;;
MILITARY_ACCESS_TEXT;Military Access;;;;;;;;;;;;;x;;
CASUS_BELLI_TEXT;Casus belli;;;;;;;;;;;;;x;;
TRUCE_TEXT;Truce;;;;;;;;;;;;;x;;
RECOGNITION_TEXT;Recognized by us.;;;;;;;;;;;;;x;;                 
DIPLOMATIC_RELATIONS_TITLE;Diplomatic relations;;;;;;;;;;;;;x;;    
NEG_CATEGORY;Category;;;;;;;;;;;;;x;;
NEG_NAME;Name;;;;;;;;;;;;;x;;
NEG_AMOUNT;Amount;;;;;;;;;;;;;x;;
NEG_VALUE;Value;;;;;;;;;;;;;x;;
POLITICAL_INTELLIGENCE_TITLE;Political intelligence;;;;;;;;;;;;;x;;
RELATIONS;Relations;;;;;;;;;;;;;x;;
NO_ORG_MEMBER;Either you or the selected country are not a member of selected organization, so you cannot start voting.;;;;;;;;;;;;;x;;
MOVE_TO_POOL;Return to Pool;;;;;;;;;;;;;x;;
NEG_ALLIES;Allies;;;;;;;;;;;;;x;;
NEG_ENEMIES;Enemies;;;;;;;;;;;;;x;;
NEG_RELATIONS;Relations;;;;;;;;;;;;;x;;
NEG_REPUTATION;Reputation;;;;;;;;;;;;;x;;
NEG_POWER;Power;;;;;;;;;;;;;x;;
NEG_DEVELOPMENT;Development;;;;;;;;;;;;;x;;
NEG_PRIORITIES;Priorities;;;;;;;;;;;;;x;;
NEGLEVEL_VLOW;Very Low;;;;;;;;;;;;;x;;
NEGLEVEL_LOW;Low;;;;;;;;;;;;;x;;
NEGLEVEL_AVERAGE;Average;;;;;;;;;;;;;x;;
NEGLEVEL_HIGH;High;;;;;;;;;;;;;x;;
NEGLEVEL_VHIGH;Very High;;;;;;;;;;;;;x;;
CM_EFFECTS;Effects;;;;;;;;;;;;;x;;
TEST_COMMUNITY;G4;;;;;;;;;;;;;x;;
CM_LAST_VOTE;Last Vote:;;;;;;;;;;;;;x;;
VOTING_FINISHED_TEXT;Results:\n;;;;;;;;;;;;;x;;
VOTING_NOTVOTED;Action not voted or vetoed.;;;;;;;;;;;;;x;;
VOTING_FINISHED_DESC;Voting in §Y$NAME$ §Wis finished!\nVoting target was §Y$ACTOR$§W and initiated by §Y$INITIATOR$§W\n;;;;;;;;;;;;;x;;
VOTING_VETO_DESC;However, the following countries voted against the action, causing the vote to fail: $LIST$.;;;;;;;;;;;;;x;;
VOTING_STARTED_TITLE;Voting is available in §Y$NAME$§W!;;;;;;;;;;;;;x;;
VOTING_STARTED_DESC;This organization will, as of midnight, start voting on the issue §Y$ISSUE$§W on the floor. The vote was initiated by §Y$INITIATOR$§W and is targeted at §Y$RECIPIENT$§W. The voting process can be blocked by major nations, halting the entire proccess, and there is also always the option of abstaining from the vote if we are not prepared to chose sides.;;;;;;;;;;;;;x;;
VOTING_POSSIBLE_TITLE;You can now vote!;;;;;;;;;;;;;x;;
VOTING_POSSIBLE_DESC;Voting on §Y$ACTION$ §W has started in §Y$ORGANISATION$ §W, initiated by §Y$INITIATOR$§W, and targeted at §Y$ACTOR$§W.  As a member of this organization, you may now vote.;;;;;;;;;;;;;x;;
VOTING_INITIATOR_TOOLTIP;$COUNTRY$ initiated this vote.;;;;;;;;;;;;;x;;
VOTING_TARGET_TOOLTIP;$COUNTRY$ is the target of this vote.;;;;;;;;;;;;;x;;
VOTING_TARGET_ALL_TOOLTIP;This vote affects all members of $ORG$.;;;;;;;;;;;;;x;;
CURRENT_RESEARCH_AI;AI;;;;;;;;;;;;;x;;
CURRENT_RESEARCH_CURRENT;Current;;;;;;;;;;;;;x;;
CURRENT_RESEARCH_GOALS;Goals;;;;;;;;;;;;;x;;
CURRENT_RESEARCH_LABEL;Current research;;;;;;;;;;;;;x;;
AFFECTS_ALL_ACTOR;all members of the organization;;;;;;;;;;;;;x;;
PROJECTS_TEXT;Projects: §Y$NUM$§W;;;;;;;;;;;;;x;;
FUNDS_TEXT;Funds: §Y$NUM$§W;;;;;;;;;;;;;x;;
TDET_RESEARCH_COST;§R$NUM$§W per day and initially §C$INIT$§W.;;;;;;;;;;;;;x;;
TDET_RESEARCH_TIME;Months: $NUM$;;;;;;;;;;;;;x;;
alert_voting_possible_instant;New votes are possible;;;;;;;;;;;;;x;;
alert_voting_possible_delayed;$LIST$;;;;;;;;;;;;;x;;
DIP_LIMDEF_WAR_NEUTR;Do you want to defend §Y$THEM$§W?;;;;;;;;;;;;;x;;
LIM_DEF_WARDESC;This type of war allows you to defend the selected country against its aggressors.;;;;;;;;;;;;;x;;
TOOLTIP_AGREEMENT_1;Negotiations;;;;;;;;;;;;;x;;
TOOLTIP_AGREEMENT_2;War;;;;;;;;;;;;;x;;
TOOLTIP_AGREEMENT_3;Alliance;;;;;;;;;;;;;x;;
TOOLTIP_AGREEMENT_4;Independence guarantee;;;;;;;;;;;;;x;;
TOOLTIP_AGREEMENT_5;Military Access;;;;;;;;;;;;;x;;
TOOLTIP_AGREEMENT_6;Non-aggression Pact;;;;;;;;;;;;;x;;
TOOLTIP_AGREEMENT_7;Embargo;;;;;;;;;;;;;x;;
### Test decisions ###;;;;;;;;;;;;;;x;;
test_decision1_title;WE WANT YOU!;;;;;;;;;;;;;x;;
test_decision1_desc;New Army recruits have been called up!;;;;;;;;;;;;;x;;
test_decision2_title;International Brigades;;;;;;;;;;;;;x;;
test_decision2_desc;New recruits have flooded in to be sent to war.;;;;;;;;;;;;;x;;
##### Diplomatic Factions gui######;;;;;;;;;;;;;;x;;
DIP_FACTION_TITLE;Faction;;;;;;;;;;;;;x;;
DIP_FACTION_ALIGN_TITLE;Alignment;;;;;;;;;;;;;x;;
DIP_VOTING_TITLE;Voting;;;;;;;;;;;;;x;;
DIP_BIAS_TITLE;Bias;;;;;;;;;;;;;x;;
DIP_BIASES_TITLE;Biases;;;;;;;;;;;;;x;;
CANCEL_RESEARCH_TITLE;Cancel research;;;;;;;;;;;;;x;;
CANCEL_RESEARCH_DESC;Do you want to cancel the research of §Y$NAME$?§W;;;;;;;;;;;;;x;;
DATE_SORT;Sort by date;;;;;;;;;;;;;x;;
COST_SORT;Sort by cost;;;;;;;;;;;;;x;;
NAME_SORT;Sort by name;;;;;;;;;;;;;x;;
VALUE_SORT;Sort by value;;;;;;;;;;;;;x;;
AMOUNT_SORT;Sort by amount;;;;;;;;;;;;;x;;
INFAMY_SORT;Sort by infamy;;;;;;;;;;;;;x;;
PRESTIGE_SORT;Sort by prestige;;;;;;;;;;;;;x;;
PAINTERBAR_TITLE;Selection effect:  §Y$EFFECT$§W;;;;;;;;;;;;;x;;
SAT_PROV_PRESENT;Our satellite has revealed FOW here till §Y$DATE$§W.;;;;;;;;;;;;;x;;
SPY_PROV_PRESENT;Our spy has revealed FOW here till §Y$DATE$§W.;;;;;;;;;;;;;x;;
REVEAL_FOW_PROV_PRESENT;Our intelligence has revealed FOW here till §Y$DATE$§W on level §Y$LEVEL$§W.;;;;;;;;;;;;;x;;
PBAR_SEL_PROVINCE;Select Province;;;;;;;;;;;;;x;;
PBAR_SEL_AREA;Select Area;;;;;;;;;;;;;x;;
PBAR_SEL_REGION;Select Region;;;;;;;;;;;;;x;;
PBAR_SEL_COUNTRY;Select Country;;;;;;;;;;;;;x;;
PBAR_TITLE;Total selected provinces: §Y$ITEM$§W;;;;;;;;;;;;;x;;
SPY_ACTIVITY;Spy Activity;;;;;;;;;;;;;x;;
SPY_PRIORITY2;Spy Priority;;;;;;;;;;;;;x;;
MODIFIER_INTELLIGENCE_OFFENSIVE;Our spy offense;;;;;;;;;;;;;x;;
MODIFIER_INTELLIGENCE_DEFENSIVE;Foreign country spy defense;;;;;;;;;;;;;x;;
INTEL_UNITS_INFO;§Y$COUNTRY$§W has a total of §Y$TOTAL$§W §Y$TYPE$§W units: §Y$MOBILIZED$§W of them are mobilized, §Y$RESERVE$§W are in deployment pool.;;;;;;;;;;;;;x;;
SPY_AVATAR_TIP;Spy is performing §Y$MISSION$§W in §Y$PROVINCE$§W. He will complete it on §Y$TIME$§W.;;;;;;;;;;;;;x;;
TECH_MONTHS_SMALL;$TIME$ mon;;;;;;;;;;;;;x;;
TECH_MONTHS_YRS;$YRS$y $MONTH$m;;;;;;;;;;;;;x;;
TECH_MONTHS;$TIME$ mon;;;;;;;;;;;;;x;;
TECH_DAYS;$VAL$;;;;;;;;;;;;;x;;
TECH_CANCEL;Cancel research;;;;;;;;;;;;;x;;
TECH_BASIC_INFO;Basic cost is §Y$COST$§W daily.\nDuration is §Y$TIME$§W months.\n;;;;;;;;;;;;;x;;
TECH_INITIAL_COSTS;Initial costs are:\n$VAL$;;;;;;;;;;;;;x;;
TECH_TRAIT_TIP;$NAME$ changes our research speed in this area by $PERCENT$%.;;;;;;;;;;;;;x;;
TRAIT_EFFECT;$NAME$ changes research speed by $VAL$.;;;;;;;;;;;;;x;;
TECH_TIME;This is the number of months needed to research technology.;;;;;;;;;;;;;x;;
TECH_COST;This is the basic daily cost of technology research. This value may be changed by technology research speed setting.;;;;;;;;;;;;;x;;
INITIAL_RESOURCE_INFO;Initial cost is §Y$AMOUNT$§W of §Y$NAME$§W.;;;;;;;;;;;;;x;;
TECH_FINISHED_TITLE;Technology invented;;;;;;;;;;;;;x;;
TECH_FINISHED_TEXT;Technology §Y$NAME$§W was today invented by our scientists.;;;;;;;;;;;;;x;;
TECH_COST_SHORT;This is the daily development cost of this technology.;;;;;;;;;;;;;x;;
TECH_INITIAL_SHORT;These are initial costs of this technology.;;;;;;;;;;;;;x;;
ALREADY_RESEARCHED_SHORT;This technology is already at highest level.\n;;;;;;;;;;;;;x;;
