#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
UNIT_ATTACK_INFO_NAVY;With a total of $CAP$ capital ships, $SCR$ screens, $SUB$ submarines & $TRA$ transports.;Avec un total de $CAP$ navires capitaux $SCR$ escortes, $SUB$ sous-marins et $TRA$ transporteurs.;Mit insgesamt $CAP$ Groﬂkampfschiffen, $SCR$ Begleitschiffen, $SUB$ U-Booten & $TRA$ Transportern.;;Un total de $CAP$ grandes unidades, $SCR$ escoltas, $SUB$ submarinos y $TRA$ transportes.;;;;;;;;;x
UNIT_ATTACK_INFO_ARMY;With a total of ßY$BRIG$ßW brigades organized into ßY$UNIT$ßW units, totalling ßG$MEN$ßW effective soldiers.;Avec un total de $BRIG$ brigades organisÈes en $UNIT$ unitÈs pour un effectif de $MEN$ soldats.;Mit $BRIG$ Brigaden, organisiert in $UNIT$ Einheiten, insgesamt $MEN$ kampff‰hige Soldaten.;;Un total de $BRIG$ brigadas organizadas en $UNIT$ unidad(es), y un total de $MEN$ soldados.;;;;;;;;;x
UNIT_ATTACK_INFO_AIR;With a total of $FIG$ fighters and $BOM$ bombers.;Avec un total de $FIG$ chasseurs et $BOM$ bombardiers.;Mit insgesamt $FIG$ J‰gern und $BOM$ Bombern.;;Un total de $FIG$ cazas y $BOM$ bombarderos.;;;;;;;;;x
ATTACKTHEM_SETUP;When one of our land units attacks the enemy ;Lorsque l'une de nos unitÈs terrestres attaque l'ennemi.;Wenn eine unserer Landeinheiten den Feind angreift;;Cuando una de nuestras unidades terrestres ataca al enemigo.;;;;;;;;;x
ATTACKTHEM_HEADER;CHIEF OF STAFF, ARMY;;;;;;;;;;;;;x
ATTACKTHEM_1;We have engaged the Enemy!;nous avons attaquÈ l'ennemi !;Aufeinandertreffen mit dem Feind!;;°Hemos entablado combate con el enemigo!;;;;;;;;;x
ATTACKTHEM_2;Reporting Office: Commanding office field HQ \n OPPOSING FORCES: Armed forces of ßY$DEFENDER$ßW;;;;;;;;;;;;;x
ATTACKTHEM_3;Location: ßY$PROV$ßW.;;;;;;;;;;;;;x
ATTACKTHEM_4;TASK ORGANIZATION:;;;;;;;;;;;;;x
ATTACKTHEM_5;*;*;Angreifer: $ATTUNIT$;;$ATTUNIT$\natacando a\n$DEFUNIT$;;;;;;;;;x
ATTACKTHEM_6;*;*;Verteidiger: $DEFUNIT$;;*;;;;;;;;;x
ATTACKTHEM_LOG;We have attacked the enemy in $PROV$.;Nous avons attaquÈ l'ennemi dans la province $PROV$.;Wir haben den Feind in $PROV$ angegriffen.;;Hemos atacado al enemigo en $PROV$.;;;;;;;;;x
ATTACKTHEM_BTN1;OK;OK;OK;;OK;;;;;;;;;x
ATTACKTHEM_BTN2;OK;OK;OK;;OK;;;;;;;;;x
ATTACKTHEM_BTN3;Goto;Aller ‡;Gehe zu;;Ir allÌ;;;;;;;;;x
ATTACKTHEM_MAP;Attack Commenced;*;*;;*;;;;;;;;;x
ATTACKUS_SETUP;When one of our land units is attacked by the enemy ;Lorsque l'une de nos unitÈs terrestres est attaquÈe par l'ennemi.;Wenn eine unserer Landeinheiten vom Feind angegriffen wird;;Una de nuestras unidades terrestres es atacada por el enemigo.;;;;;;;;;x
ATTACKUS_HEADER;CHIEF OF STAFF, ARMY:;;;;;;;;;;;;;x
ATTACKUS_1;Our forces are under attack!;nos forces sont attaquÈes !;Unsere Truppen werden angegriffen!;;°Est·n atacando a nuestras fuerzas!;;;;;;;;;x
ATTACKUS_2;Reporting Office: Commanding office field HQ \n OPPOSING FORCES: Armed forces of $DEFENDER$;;;;;;;;;;;;;x
ATTACKUS_3;Location: $PROV$.;$PROV$.;$PROV$ angegriffen.;;$PROV$.;;;;;;;;;x
ATTACKUS_4;TASK ORGANIZATION:;;;;;;;;;;;;;x
ATTACKUS_5;*;$ATTUNIT$\nattaquent\n$DEFUNIT$.;Angreifer: $ATTUNIT$;;$ATTUNIT$\natacando a\n$DEFUNIT$;;;;;;;;;x
ATTACKUS_6;*;*;Verteidiger: $DEFUNIT$;;*;;;;;;;;;x
ATTACKUS_LOG;We have been attacked in $PROV$.;Nous avons ÈtÈ attaquÈs dans la province $PROV$.;Wir werden angegriffen in $PROV$.;;Hemos sido atacados en $PROV$.;;;;;;;;;x
ATTACKUS_BTN1;OK;OK;OK;;OK;;;;;;;;;x
ATTACKUS_BTN2;OK;OK;OK;;OK;;;;;;;;;x
ATTACKUS_BTN3;Goto;Aller ‡;Gehe zu;;Ir allÌ;;;;;;;;;x
ATTACKUS_MAP;Under attack!;*;*;;*;;;;;;;;;x
NAVALATTACKTHEM_SETUP;When one of our navies attacks the enemy;Lorsque l'une de nos marines attaque l'ennemi.;Wenn eine unserer Flotten den Feind angreift;;Cuando una de nuestras armadas ataca al enemigo.;;;;;;;;;x
NAVALATTACKTHEM_HEADER;CHIEF OF STAFF, NAVY:;;;;;;;;;;;;;x
NAVALATTACKTHEM_1;We have engaged a hostile navy!;nous avons engagÈ le combat contre une marine ennemie !;Aufeinandertreffen mit feindlicher Flotte!;;°Entablado combate con una armada hostil!;;;;;;;;;x
NAVALATTACKTHEM_2;Reporting Office: Commanding Naval HQ \n OPPOSING FORCES: Armed forces of $DEFENDER$;;;;;;;;;;;;;x
NAVALATTACKTHEM_3;Location: $PROV$.;$PROV$.;aus $DEFENDER$ in $PROV$.;;$PROV$.;;;;;;;;;x
NAVALATTACKTHEM_4;TASK ORGANIZATION:;;;;;;;;;;;;;x
NAVALATTACKTHEM_5;$ATTUNIT$\nattacking\n$DEFUNIT$;$ATTUNIT$\nattaquant\n$DEFUNIT$.;Verteidiger: $DEFUNIT$;;$ATTUNIT$\natacando a\n$DEFUNIT$;;;;;;;;;x
NAVALATTACKTHEM_6;*;*;*;;*;;;;;;;;;x
NAVALATTACKTHEM_LOG;Our navy has engaged a hostile fleet in $PROV$.;Notre marine a engagÈ le combat avec une flotte ennemie dans la province $PROV$.;Unsere Flotte befindet sich im Kampf mit feindlichen Schiffen in $PROV$.;;Nuestra marina ha entablado combate con una flota hostil en $PROV$.;;;;;;;;;x
NAVALATTACKTHEM_BTN1;OK;OK;OK;;OK;;;;;;;;;x
NAVALATTACKTHEM_BTN2;OK;OK;OK;;OK;;;;;;;;;x
NAVALATTACKTHEM_BTN3;Goto;Aller ‡;Gehe zu;;Ir allÌ;;;;;;;;;x
NAVALATTACKTHEM_MAP;Engaging Enemy Fleet!;*;*;;*;;;;;;;;;x
NAVALATTACKUS_SETUP;When one of our navies is attacked by the enemy;Lorsque l'une de nos marines est attaquÈe par l'ennemi;Wenn eine unserer Flotten vom Feind angegriffen wird;;Cuando una de nuestras armadas es atacada por el enemigo.;;;;;;;;;x
NAVALATTACKUS_HEADER;CHIEF OF STAFF, NAVY;;;;;;;;;;;;;x
NAVALATTACKUS_1;Our Navy is under attack!;notre marine est attaquÈe !;Unsere Flotte wird angegriffen!;;°Est·n atacando a nuestra armada!;;;;;;;;;x
NAVALATTACKUS_2;Reporting Office: Commanding Naval HQ \n OPPOSING FORCES: Armed forces of $DEFENDER$;;;;;;;;;;;;;x
NAVALATTACKUS_3;Location: $PROV$.;;;;;;;;;;;;;x
NAVALATTACKUS_4;TASK ORGANIZATION:;;;;;;;;;;;;;x
NAVALATTACKUS_5;$ATTUNIT$\nattacking our\n$DEFUNIT$;$ATTUNIT$\nattaquant nos\n$DEFUNIT$.;$ATTUNIT$\nattackiert unsere\n$DEFUNIT$;;$ATTUNIT$\natacando a nuestro\n$DEFUNIT$;;;;;;;;;x
NAVALATTACKUS_6;*;*;*;;*;;;;;;;;;x
NAVALATTACKUS_LOG;Our fleet in $PROV$ is under attack from hostile ships.;Notre flotte est attaquÈe par des navires ennemis dans la province $PROV$.;Unsere Flotte in $PROV$ wird von feindlichen Schiffen angegriffen.;;Nuestra flota en $PROV$ est· siendo atacada por buques hostiles.;;;;;;;;;x
NAVALATTACKUS_BTN1;OK;OK;OK;;OK;;;;;;;;;x
NAVALATTACKUS_BTN2;OK;OK;OK;;OK;;;;;;;;;x
NAVALATTACKUS_BTN3;Goto;Aller ‡;Gehe zu;;Ir allÌ;;;;;;;;;x
NAVALATTACKUS_MAP;Fleet under attack!;Flotte attaquÈe !;*;;*;;;;;;;;;x
AIRATTACKTHEM_SETUP;When one of our air units attacks the enemy;Lorsque l'une de nos unitÈs aÈriennes attaque l'ennemi.;Wenn eine unserer Lufteinheiten den Feind angreift;;Cuando una de nuestras unidades aÈreas ataca al enemigo.;;;;;;;;;x
AIRATTACKTHEM_HEADER;CHIEF OF STAFF, AIRFORCE;;;;;;;;;;;;;x
AIRATTACKTHEM_1;We have engaged the Enemy!;nous avons engagÈ le combat avec l'ennemi !;Aufeinandertreffen mit dem Feind!;;°hemos entablado combate con el enemigo!;;;;;;;;;x
AIRATTACKTHEM_2;Reporting Office: Air Commanding Office HQ \n OPPOSING FORCES: Armed forces of $DEFENDER$;;;;;;;;;;;;;x
AIRATTACKTHEM_3;Location: $PROV$.;;;;;;;;;;;;;x
AIRATTACKTHEM_4;TASK ORGANIZATION:;;;;;;;;;;;;;x
AIRATTACKTHEM_5;$ATTUNIT$\nattacking\n$DEFUNIT$;les $ATTUNIT$\nattaquant les\n$DEFUNIT$.;Angreifer: $ATTUNIT$;;$ATTUNIT$\natacando a\n$DEFUNIT$;;;;;;;;;x
AIRATTACKTHEM_6;*;*;Verteidiger: $DEFUNIT$;;*;;;;;;;;;x
AIRATTACKTHEM_LOG;Our air force has engaged targets above $PROV$.;Nos forces aÈriennes ont engagÈ des cibles au-dessus de la province $PROV$.;Unsere Flotte greift Ziele an ¸ber $PROV$.;;Nuestra fuerza aÈrea ha entablado combate con objetivos sobre $PROV$.;;;;;;;;;x
AIRATTACKTHEM_BTN1;OK;OK;OK;;OK;;;;;;;;;x
AIRATTACKTHEM_BTN2;OK;OK;OK;;OK;;;;;;;;;x
AIRATTACKTHEM_BTN3;Goto;Aller ‡;Gehe zu;;Ir allÌ;;;;;;;;;x
AIRATTACKTHEM_MAP;*;*;*;;*;;;;;;;;;x
AIRATTACKUS_SETUP;When one of our air units is attacked by the enemy;Lorsque l'une de nos unitÈs aÈriennes est attaquÈe par l'ennemi.;Wenn eine unserer Lufteinheiten vom Feind angegriffen wird;;Cuando una de nuestras unidades aÈreas es atacada por el enemigo.;;;;;;;;;x
AIRATTACKUS_HEADER;CHIEF OF STAFF, AIRFORCE;;;;;;;;;;;;;x
AIRATTACKUS_1;We have planes under attack!;certains de nos avions sont attaquÈs !;Unsere Flugzeuge werden angegriffen!;;°Atacan a nuestros aviones!;;;;;;;;;x
AIRATTACKUS_2;Reporting Office: Air Commanding Office HQ \n OPPOSING FORCES: Armed forces of $DEFENDER$;;;;;;;;;;;;;x
AIRATTACKUS_3;Location: $PROV$.;;;;;;;;;;;;;x
AIRATTACKUS_4;TASK ORGANIZATION:;;;;;;;;;;;;;x
AIRATTACKUS_5;$ATTUNIT$\nattacking our\n$DEFUNIT$;des $ATTUNIT$\nattaquant nos\n$DEFUNIT$.;Angreifer: $ATTUNIT$;;$ATTUNIT$\natacando a nuestro\n$DEFUNIT$;;;;;;;;;x
AIRATTACKUS_6;*;*;Verteidiger: $DEFUNIT$;;*;;;;;;;;;x
AIRATTACKUS_LOG;Hostile planes have engaged us above $PROV$.;Des avions ennemis nous ont attaquÈs au-dessus de la province $PROV$.;Feindflugzeuge greifen uns ¸ber $PROV$ an.;;Aviones hostiles nos han atacado sobre $PROV$.;;;;;;;;;x
AIRATTACKUS_BTN1;OK;OK;OK;;OK;;;;;;;;;x
AIRATTACKUS_BTN2;OK;OK;OK;;OK;;;;;;;;;x
AIRATTACKUS_BTN3;Goto;Aller ‡;Gehe zu;;Ir allÌ;;;;;;;;;x
AIRATTACKUS_MAP;*;*;*;;*;;;;;;;;;x
LANDBATTLEOVER_SETUP;When a land battle is over;Lorsqu'une bataille terrestre est terminÈe;Wenn eine Feldschlacht vorbei ist;Kiedy bitwa lπdowa dobiegnie koÒca;Cuando termina una batalla terrestre.;Quando finisce una battaglia di terra;Ha vÈge egy sz·razfˆldi ¸tkˆzetnek;Kdyû skonËÌ bitva na souöi;;;;;;x
LANDBATTLEOVER_HEADER;CHIEF OF STAFF, ARMY;;;;;;;;;;;;;x
LANDBATTLEOVER_1;$NAME$;$NAME$;Die $NAME$ ;$NAME$ jest skoÒczona!;$NAME$;$NAME$ !;A $NAME$ vÈget Èrt!;$NAME$ je u konce!;;;;;;x
LANDBATTLEOVER_2;Subject: Combat Operations After Action Report - \n Reporting Office: Commanding office field HQ;;;;;;;;;;;;;x
LANDBATTLEOVER_3;OPERATION: We have ßY$RESULT$ßW against the armed forces of ßY$OTHER$ßW;;;;;;;;;;;;;x
LANDBATTLEOVER_4;During the struggle ßR$USLOSS$ßW of our ßY$USNUM$ßW troops were killed.;Pendant le combat $USLOSS$ de nos $USNUM$ troupes ont ÈtÈ tuÈes.;$RESULT$. W‰hrend des Kampfes wurden $USLOSS$ unserer $USNUM$ Soldaten getˆtet.;Podczas walk zginÍ≥o $USLOSS$ z $USNUM$ naszych øo≥nierzy.;Durante la lucha, $USLOSS$ de nuestras $USNUM$ tropas perecieron.;Nel corso della battaglia, $USLOSS$ dei nostri $USNUM$ uomini sono stati uccisi.;$USLOSS$ veszett oda a $USNUM$ fıs sereg¸nkbıl.;V bojÌch padlo $USLOSS$ z naöich $USNUM$ voj·k˘.;;;;;;x
LANDBATTLEOVER_5;ßY$OTHER$ßW;$OTHER$;$OTHER$;$OTHER$ - ;$OTHER$;$OTHER$;$OTHER$;$OTHER$;;;;;;x
LANDBATTLEOVER_6;has $OTHERRESULT$ the battle. Out of ßY$THEIRNUM$ßW Troops, ßR$THEIRLOST$ßW were killed.;a $OTHERRESULT$ la bataille. $THEIRLOST$  sur $THEIRNUM$ de leurs troupes ont ÈtÈ tuÈes.;hat die Schlacht $OTHERRESULT$. Von $THEIRNUM$ Soldaten fielen $THEIRLOST$.;$OTHERRESULT$ bitwÍ. Z armii liczπcej $THEIRNUM$, zginÍ≥o $THEIRLOST$ øo≥nierzy.;ha $OTHERRESULT$ la batalla. De $THEIRNUM$ tropas que tenÌan, han muerto $THEIRLOST$.;ha $OTHERRESULT$ la battaglia. Di $THEIRNUM$ uomini, $THEIRLOST$ sono stati uccisi.;$OTHERRESULT$ a csat·ban. Az ı oldalukon a $THEIRNUM$ fıbıl $THEIRLOST$ veszett oda.;dos·hl $OTHERRESULT$ v boji. Z $THEIRNUM$ voj·k˘ jich $THEIRLOST$ padlo.;;;;;;x
LANDBATTLEOVER_LOG;We $RESULT$ the $NAME$.;Nous avons $RESULT$ $NAME$.;Wir haben die $NAME$ $RESULT$.;$RESULT$ $NAME$.;Hemos $RESULT$ la $NAME$.;Noi abbiamo $RESULT$ $NAME$.;$NAME$ eredmÈnye: $RESULT$.;My jsme dos·hli: $RESULT$ $NAME$.;;;;;;x
LANDBATTLEOVER_BTN1;OK;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x
LANDBATTLEOVER_BTN2;OK;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x
LANDBATTLEOVER_BTN3;Goto;Aller ‡;Gehe zu;Idü do;Ir allÌ;Andare;Ugr·s;P¯ejÌt na;;;;;;x
LANDBATTLEOVER_MAP;$RESULT$ ;*;*;*;*;*;*;;;;;;;x
RESULT_LOSS;lost;perdu;verloren;Przegraliúmy;perdido;perso;veszÌtett;prohra;;;;;;x
RESULT_WON;won;gagnÈ;gewonnen;Wygraliúmy;ganado;vinto;nyert;vÌtÏzstvÌ;;;;;;x
WE;we;nous;wir;my;nosotros;noi;mi;my;;;;;;x
NAVALBATTLEOVER_SETUP;When a naval battle is over;Quand une bataille navale est terminÈe;Wenn eine Seeschlacht vorbei ist;Kiedy bitwa morska dobiegnie koÒca;Cuando acaba una batalla naval.;Quando finisce una battaglia navale;Ha egy tengeri ¸tkˆzetnek vÈge;Kdyû skonËÌ bitva na mo¯i;;;;;;x
NAVALBATTLEOVER_HEADER;CHIEF OF STAFF, NAVY;;;;;;;;;;;;;x
NAVALBATTLEOVER_1;$NAME$;$NAME$;Die $NAME$;$NAME$ jest skoÒczona!;$NAME$;$NAME$ Ë finita!;$NAME$ vÈget Èrt!;$NAME$ je u konce!;;;;;;x
NAVALBATTLEOVER_2;Subject: Combat Operations After Action Report - \n Reporting Office: Commanding Naval HQ;;;;;;;;;;;;;x
NAVALBATTLEOVER_3;The $NAME$!;$NAME$ !;$RESULT$. ;$NAME$!;la $NAME$!;$NAME$!;a $NAME$ tengeri ¸tkˆzetben!;$NAME$!;;;;;;x
