#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x;;
DETECTED_FLEET;Unit detection source:  ;;;;;;;;;;;;;x;;
ATTACKED_CAG;即$SHIP$劬 firing anti-air missiles at 即$ENEMY$劬;;;;;;;;;;;;;x;;
ATTACKING_CAG;Our CAG 即$CAG$劬 is attacking 即$ENEMY$劬;;;;;;;;;;;;;x;;
CATEGORY_NAVAL;Anti Ship Weapon;;;;;;;;;;;;;x;;
CATEGORY_AA;Air Defense Weapon;;;;;;;;;;;;;x;;
CATEGORY_ASW;Anti Submarine Weapon;;;;;;;;;;;;;x;;
CATEGORY_WING;CAG/Helicopter;;;;;;;;;;;;;x;;
CATEGORY_AEW;Airborne Early Warning;;;;;;;;;;;;;x;;
CATEGORY_LAND;Land Attack Weapon;;;;;;;;;;;;;x;;
NATIONAL_DESIGNATION;National designation: ;;;;;;;;;;;;;x;;
SHIPEDITOR_PREVMODELL;Previous historical model;;;;;;;;;;;;;x;;
SHIPEDITOR_NEXTMODELL;Next historical model;;;;;;;;;;;;;x;;
PW_MONEY_COST_DRO;Gross cost includes cost of weapon complex(es);;;;;;;;;;;;;x;;
PW_BUILD_TIME_DRO;Gross time means the longest build time of components.;;;;;;;;;;;;;x;;
SHIPEDITUR_FILTER_ALL;Show all ship types;;;;;;;;;;;;;x;;
SHIPEDITUR_FILTER_CARRIERS;Show carriers only;;;;;;;;;;;;;x;;
SHIPEDITUR_FILTER_SURFACE;Show all surface ships except carriers;;;;;;;;;;;;;x;;
SHIPEDITUR_FILTER_SUBMARINE;Show submarines only;;;;;;;;;;;;;x;;
SHIPEDITUR_FILTER_TRANSPORT;Show transports only;;;;;;;;;;;;;x;;
TEMPLATE_MODEL;刪(*) 劬Historical 即$MODEL$劬 is not yet available.;;;;;;;;;;;;;x;;
EMPTY_SLOT;Empty slot;;;;;;;;;;;;;x;;
EMPTY_SLOT_DESC;No weapon defined for this slot.;;;;;;;;;;;;;x;;
TECH_LVL_REQ;即$TECH$劬 level 即$LEVEL$劬 required for build this model.;;;;;;;;;;;;;x;;
PREVIOUS_SET;Show previous page;;;;;;;;;;;;;x;;
NEXT_SET;Show next page;;;;;;;;;;;;;x;;
################################;;;;;;;;;;;;;;x;;
# Weapon Complexes National Names;;;;;;;;;;;;;;x;;
################################;;;;;;;;;;;;;;x;;
CHC_slbm_complex_5_nat;Julang-1;;;;;;;;;;;;;x # 1982;;
SOV_slbm_complex_1_nat;R-13;;;;;;;;;;;;;x # 1961;;
SOV_slbm_complex_2_nat;R-21;;;;;;;;;;;;;x # 1963;;
SOV_slbm_complex_3_nat;R-27 Zyb;;;;;;;;;;;;;x # 1968;;
SOV_slbm_complex_4_nat;R-27K Zyb;;;;;;;;;;;;;x # 1975?;;
SOV_slbm_complex_5_nat;R-29R Vysota;;;;;;;;;;;;;x # 1979;;
SOV_slbm_complex_6_nat;R-39 Rif;;;;;;;;;;;;;x # 1983;;
SOV_slbm_complex_8_nat;R-39UTTH Bark;;;;;;;;;;;;;x # 1998;;
SOV_tlam_complex_4_nat;P-900 Klub-K;;;;;;;;;;;;;x # 1996;;
CHC_ss_mr_as_complex_3_nat;Shangyou-2;;;;;;;;;;;;;x # 1986;;
CHC_ss_mr_as_complex_4_nat;Yingji-82;;;;;;;;;;;;;x # 1989;;
CHC_ss_mr_as_complex_5_nat;P-900 Klub;;;;;;;;;;;;;x # 1996;;
SOV_ss_mr_as_complex_2_nat;P-80 Zubr;;;;;;;;;;;;;x # 1979?;;
SOV_ss_mr_as_complex_3_nat;P-80M Moskit;;;;;;;;;;;;;x # 1984;;
SOV_ss_mr_as_complex_4_nat;P-270 Moskit-M;;;;;;;;;;;;;x # 1990?;;
SOV_ss_mr_as_complex_5_nat;P-900 Klub;;;;;;;;;;;;;x # 1996;;
SOV_ss_lr_as_complex_1_nat;P-500 Bazalt;;;;;;;;;;;;;x # 1975;;
SOV_ss_lr_as_complex_2_nat;P-700 Granit;;;;;;;;;;;;;x # 1980;;
SOV_ss_lr_as_complex_4_nat;P-750 Grom;;;;;;;;;;;;;x # 1988;;
SOV_ss_lr_as_complex_5_nat;P-800 Oniks;;;;;;;;;;;;;x # 1992 !1999!;;
CHC_mr_as_complex_1_nat;Hai Ying-1;;;;;;;;;;;;;x # 1974 1958!;;
CHC_mr_as_complex_2_nat;Shangyou-1;;;;;;;;;;;;;x # 1980;;
CHC_mr_as_complex_3_nat;Yingji-8;;;;;;;;;;;;;x # 1987;;
CHC_mr_as_complex_5_nat;Shangyou-2;;;;;;;;;;;;;x # 1991;;
DDR_mr_as_complex_8_nat;AS-20 Kayak;;;;;;;;;;;;;x # 1992 !2007!;;
GER_mr_as_complex_8_nat;AS-20 Kayak;;;;;;;;;;;;;x # 1992 !2007!;;
IND_mr_as_complex_3_nat;P-15 Termit;;;;;;;;;;;;;x # 1960;;
PRK_mr_as_complex_2_nat;Shangyou-1;;;;;;;;;;;;;x # 1980;;
ROM_mr_as_complex_1_nat;P-1 Strela;;;;;;;;;;;;;x # 1958;;
ROM_mr_as_complex_2_nat;P-6 Pyatyorka;;;;;;;;;;;;;x # 1959;;
ROM_mr_as_complex_3_nat;P-15 Termit;;;;;;;;;;;;;x # 1960;;
ROM_mr_as_complex_4_nat;P-70 Ametist;;;;;;;;;;;;;x # 1968;;
ROM_mr_as_complex_5_nat;RPK-3 Metel;;;;;;;;;;;;;x # 1969;;
ROM_mr_as_complex_6_nat;P-120 Malakhit;;;;;;;;;;;;;x # 1972;;
ROM_mr_as_complex_7_nat;RPK-2 Viyuga;;;;;;;;;;;;;x # 1973;;
ROM_mr_as_complex_8_nat;AS-20 Kayak;;;;;;;;;;;;;x # 1992 !2007!;;
SOV_mr_as_complex_1_nat;P-1 Strela;;;;;;;;;;;;;x # 1958;;
SOV_mr_as_complex_2_nat;P-6 Pyatyorka;;;;;;;;;;;;;x # 1959;;
SOV_mr_as_complex_3_nat;P-15 Termit;;;;;;;;;;;;;x # 1960;;
SOV_mr_as_complex_4_nat;P-70 Ametist;;;;;;;;;;;;;x # 1968;;
SOV_mr_as_complex_5_nat;RPK-3 Metel;;;;;;;;;;;;;x # 1969;;
SOV_mr_as_complex_6_nat;P-120 Malakhit;;;;;;;;;;;;;x # 1972;;
SOV_mr_as_complex_7_nat;RPK-2 Viyuga;;;;;;;;;;;;;x # 1973;;
SOV_mr_as_complex_8_nat;AS-20 Kayak;;;;;;;;;;;;;x # 1992 !2007!;;
SOV_lr_as_complex_3_nat;P-5 Pyatyorka;;;;;;;;;;;;;x # 1965?;;
SOV_lr_as_complex_7_nat;RK-55 Granat;;;;;;;;;;;;;x # 1984;;
CHC_sr_aa_complex_1_nat;M-1 Volna;;;;;;;;;;;;;x;;
CHC_sr_aa_complex_2_nat;M-1M Volna-M;;;;;;;;;;;;;x;;
CHC_sr_aa_complex_3_nat;M-11 Shtorm;;;;;;;;;;;;;x;;
CHC_sr_aa_complex_4_nat;9K32 Strela-2;;;;;;;;;;;;;x;;
CHC_sr_aa_complex_5_nat;9K33M Osa-M;;;;;;;;;;;;;x;;
CHC_sr_aa_complex_6_nat;9K34 Strela-3;;;;;;;;;;;;;x;;
CHC_sr_aa_complex_7_nat;3K95 Kinzhal;;;;;;;;;;;;;x;;
CHC_sr_aa_complex_8_nat;9K38 Igla;;;;;;;;;;;;;x;;
CHC_sr_aa_complex_10_nat;9K338 Igla-S;;;;;;;;;;;;;x ;;
DDR_sr_aa_complex_4_nat;9K32 Strela-2;;;;;;;;;;;;;x;;
GER_sr_aa_complex_4_nat;9K32 Strela-2;;;;;;;;;;;;;x;;
IND_sr_aa_complex_1_nat;M-1 Volna;;;;;;;;;;;;;x;;
IND_sr_aa_complex_2_nat;M-1M Volna-M;;;;;;;;;;;;;x;;
IND_sr_aa_complex_3_nat;M-11 Shtorm;;;;;;;;;;;;;x;;
IND_sr_aa_complex_4_nat;9K32 Strela-2;;;;;;;;;;;;;x;;
IND_sr_aa_complex_5_nat;9K33M Osa-M;;;;;;;;;;;;;x;;
SOV_sr_aa_complex_1_nat;M-1 Volna;;;;;;;;;;;;;x;;
SOV_sr_aa_complex_2_nat;M-1M Volna-M;;;;;;;;;;;;;x;;
SOV_sr_aa_complex_3_nat;M-11 Shtorm;;;;;;;;;;;;;x;;
SOV_sr_aa_complex_4_nat;9K32 Strela-2;;;;;;;;;;;;;x;;
SOV_sr_aa_complex_5_nat;9K33M Osa-M;;;;;;;;;;;;;x;;
SOV_sr_aa_complex_6_nat;9K34 Strela-3;;;;;;;;;;;;;x;;
SOV_sr_aa_complex_7_nat;3K95 Kinzhal;;;;;;;;;;;;;x;;
SOV_sr_aa_complex_8_nat;9K38 Igla;;;;;;;;;;;;;x ;;
SOV_sr_aa_complex_9_nat;9M311 Tunguska;;;;;;;;;;;;;x;;
SOV_sr_aa_complex_10_nat;9K338 Igla-S;;;;;;;;;;;;;x ;;
YUG_sr_aa_complex_1_nat;M-1 Volna;;;;;;;;;;;;;x;;
YUG_sr_aa_complex_2_nat;M-1M Volna-M;;;;;;;;;;;;;x;;
YUG_sr_aa_complex_3_nat;M-11 Shtorm;;;;;;;;;;;;;x;;
YUG_sr_aa_complex_4_nat;9K32 Strela-2;;;;;;;;;;;;;x;;
YUG_sr_aa_complex_5_nat;9K33M Osa-M;;;;;;;;;;;;;x;;
YUG_sr_aa_complex_6_nat;9K34 Strela-3;;;;;;;;;;;;;x;;
YUG_sr_aa_complex_7_nat;3K95 Kinzhal;;;;;;;;;;;;;x;;
YUG_sr_aa_complex_8_nat;9K38 Igla;;;;;;;;;;;;;x ;;
YUG_sr_aa_complex_9_nat;9M311 Tunguska;;;;;;;;;;;;;x;;
YUG_sr_aa_complex_10_nat;9K338 Igla-S;;;;;;;;;;;;;x ;;
CHC_mr_aa_complex_2_nat;S-75M-2 Volkhov-M;;;;;;;;;;;;;x;;
CHC_mr_aa_complex_6_nat;M-22 Uragan;;;;;;;;;;;;;x;;
CHC_mr_aa_complex_7_nat;S-300F Fort;;;;;;;;;;;;;x;;
SOV_mr_aa_complex_2_nat;S-75M-2 Volkhov-M;;;;;;;;;;;;;x;;
SOV_mr_aa_complex_6_nat;M-22 Uragan;;;;;;;;;;;;;x;;
SOV_mr_aa_complex_7_nat;S-300F Fort;;;;;;;;;;;;;x;;
SOV_mr_aa_complex_8_nat;M-22M Smerch;;;;;;;;;;;;;x;;
SOV_mr_aa_complex_9_nat;S-300FM Fort-M;;;;;;;;;;;;;x;;
CHC_asroc_complex_3_nat;RPK-1 Vikhr;;;;;;;;;;;;;x # 1967;;
CHC_asroc_complex_4_nat;RPK-3 Metel;;;;;;;;;;;;;x # 1969;;
CHC_asroc_complex_5_nat;RPK-2 Viyuga;;;;;;;;;;;;;x # 1975???;;
CHC_asroc_complex_6_nat;RPK-6 Vodopad;;;;;;;;;;;;;x # 1979;;
IND_asroc_complex_3_nat;RPK-1 Vikhr;;;;;;;;;;;;;x # 1967;;
IND_asroc_complex_4_nat;RPK-3 Metel;;;;;;;;;;;;;x # 1969;;
IND_asroc_complex_5_nat;RPK-2 Viyuga;;;;;;;;;;;;;x # 1975???;;
IND_asroc_complex_6_nat;RPK-6 Vodopad;;;;;;;;;;;;;x # 1979;;
IND_asroc_complex_9_nat;RPK-9 Medvedka;;;;;;;;;;;;;x # 2001???;;
ROM_asroc_complex_3_nat;RPK-1 Vikhr;;;;;;;;;;;;;x # 1967;;
ROM_asroc_complex_4_nat;RPK-3 Metel;;;;;;;;;;;;;x # 1969;;
ROM_asroc_complex_5_nat;RPK-2 Viyuga;;;;;;;;;;;;;x # 1975???;;
ROM_asroc_complex_6_nat;RPK-6 Vodopad;;;;;;;;;;;;;x # 1979;;
ROM_asroc_complex_9_nat;RPK-9 Medvedka;;;;;;;;;;;;;x # 2001???;;
SOV_asroc_complex_3_nat;RPK-1 Vikhr;;;;;;;;;;;;;x # 1967;;
SOV_asroc_complex_4_nat;RPK-3 Metel;;;;;;;;;;;;;x # 1969;;
SOV_asroc_complex_5_nat;RPK-2 Viyuga;;;;;;;;;;;;;x # 1975???;;
SOV_asroc_complex_6_nat;RPK-6 Vodopad;;;;;;;;;;;;;x # 1979;;
SOV_asroc_complex_9_nat;RPK-9 Medvedka;;;;;;;;;;;;;x # 2001???;;
################################;;;;;;;;;;;;;;x;;
# Warship National Names;;;;;;;;;;;;;;x;;
################################;;;;;;;;;;;;;;x;;
ARG_missile_boat_6_nat;MEKO 140A16;;;;;;;;;;;;;x   # 1985;;
CAN_missile_frigate_10_nat;City-class;;;;;;;;;;;;;x   # 1991/92;;
CAN_missile_destroyer_2_nat;Tribal class;;;;;;;;;;;;;x   # 1972;;
CAN_missile_destroyer_6_nat;Tribal class TRUMP Upg;;;;;;;;;;;;;x   # 1991;;
CHC_attack_submarine_1_nat;Type 03-class;;;;;;;;;;;;;x   # 1956 (Whiskey);;
CHC_attack_submarine_2_nat;Type 033-class;;;;;;;;;;;;;x   # 1958 (Romeo);;
CHC_attack_submarine_5_nat;Type 035-class;;;;;;;;;;;;;x   # 1975;;
CHC_nuclear_submarine_3_nat;Type 091-class;;;;;;;;;;;;;x   # 1974;;
CHC_ballistic_missile_submarine_4_nat;Type 092-class;;;;;;;;;;;;;x   # 1981;;
CHC_missile_boat_2_nat;Type 024-class;;;;;;;;;;;;;x   # 1965;;
CHC_missile_boat_3_nat;Type 021-class;;;;;;;;;;;;;x   # 1965;;
CHC_missile_boat_7_nat;Type 037-1G-class;;;;;;;;;;;;;x   # 1991;;
CHC_missile_frigate_1_nat;Type 053-class;;;;;;;;;;;;;x   # 1958;;
CHC_missile_frigate_2_nat;Type 065-class;;;;;;;;;;;;;x   # 1966;;
CHC_missile_frigate_3_nat;Type 01-class;;;;;;;;;;;;;x   # 1971;;
CHC_missile_frigate_4_nat;Type 053K-class;;;;;;;;;;;;;x   # 1975;;
CHC_missile_frigate_5_nat;Type 053H-class;;;;;;;;;;;;;x   # 1976;;
CHC_missile_frigate_6_nat;Type 053H1-class;;;;;;;;;;;;;x   # 1982;;
CHC_missile_frigate_7_nat;Type 053H2-class;;;;;;;;;;;;;x   # 1985;;
CHC_missile_frigate_8_nat;Type 053H1Q-class;;;;;;;;;;;;;x   # 1985;;
CHC_missile_frigate_9_nat;Type 053H2G-class;;;;;;;;;;;;;x   # 1991;;
CHC_missile_destroyer_2_nat;Type 6607-class;;;;;;;;;;;;;x  # 1971;;
CHC_missile_destroyer_3_nat;Type 051-class;;;;;;;;;;;;;x  # 1971;;
CHC_missile_destroyer_6_nat;Type 051G1-class;;;;;;;;;;;;;x  # 1987;;
DDR_missile_boat_6_nat;Project 133.1;;;;;;;;;;;;;x   # 1985;;
DDR_missile_boat_7_nat;Project 133.1M;;;;;;;;;;;;;x   # 1987;;
DDR_missile_boat_8_nat;Project 660;;;;;;;;;;;;;x   # 1992;;
DEN_missile_frigate_7_nat;Stanflex 3000-class;;;;;;;;;;;;;x # 1991;;
ENG_submarine_0_nat;A-class;;;;;;;;;;;;;x   # 1945;;
ENG_attack_submarine_8_nat;Type 2400-class;;;;;;;;;;;;;x   # 1990;;
ENG_missile_frigate_0_nat;Type 12-class;;;;;;;;;;;;;x   # 1956;;
ENG_missile_frigate_1_nat;Type 41-class;;;;;;;;;;;;;x   # 1957;;
ENG_missile_frigate_2_nat;Type 12M-class;;;;;;;;;;;;;x   # 1960;;
ENG_missile_frigate_3_nat;Type 81-class;;;;;;;;;;;;;x   # 1961;;
ENG_missile_frigate_4_nat;Type 12I-class;;;;;;;;;;;;;x   # 1963;;
ENG_missile_frigate_6_nat;Type 12M-class Refit;;;;;;;;;;;;;x   # 1972;;
ENG_missile_frigate_7_nat;Type 21-class;;;;;;;;;;;;;x   # 1974;;
ENG_missile_frigate_9_nat;Type 22-class;;;;;;;;;;;;;x   # 1979;;
ENG_missile_frigate_10_nat;Type 23-class;;;;;;;;;;;;;x   # 1991;;
ENG_missile_destroyer_5_nat;Type 82-class;;;;;;;;;;;;;x   # 1975;;
ENG_missile_destroyer_6_nat;Type 42-class;;;;;;;;;;;;;x   # 1975;;
ENG_cruiser_0_nat;Swiftsure-class;;;;;;;;;;;;;x   # 1944;;
FRA_missile_boat_4_nat;A 69-class;;;;;;;;;;;;;x   # 1976;;
FRA_missile_boat_7_nat;PR 72P-class;;;;;;;;;;;;;x   # 1980 (Peruvian);;
FRA_missile_frigate_0_nat;E 52-class;;;;;;;;;;;;;x   # 1956;;
FRA_missile_destroyer_0_nat;T 47-class;;;;;;;;;;;;;x   # 1955;;
FRA_missile_destroyer_1_nat;T 53-class;;;;;;;;;;;;;x   # 1957;;
FRA_missile_destroyer_2_nat;T 47-class Mod;;;;;;;;;;;;;x   # 1965;;
FRA_missile_destroyer_5_nat;F 67-class;;;;;;;;;;;;;x   # 1974;;
FRA_missile_destroyer_6_nat;F 70-class;;;;;;;;;;;;;x   # 1979;;
FRA_missile_destroyer_8_nat;F 70AA-class;;;;;;;;;;;;;x   # 1990;;
FRG_attack_submarine_9_nat;TR-1700-class;;;;;;;;;;;;;x   # 1984 (Argentinian);;
FRG_missile_boat_3_nat;Type 148-class;;;;;;;;;;;;;x   # 1972;;
FRG_missile_boat_4_nat;Type 143-class;;;;;;;;;;;;;x   # 1976;;
FRG_missile_boat_5_nat;Type 143A-class;;;;;;;;;;;;;x   # 1982;;
FRG_missile_boat_6_nat;MEKO 140-class;;;;;;;;;;;;;x   # 1985;;
FRG_missile_frigate_1_nat;F 120-class;;;;;;;;;;;;;x   # 1961;;
FRG_missile_frigate_5_nat;F 122-class;;;;;;;;;;;;;x   # 1982;;
FRG_missile_frigate_6_nat;FS 1500-class;;;;;;;;;;;;;x   # 1983 (Colombian)	;;
FRG_missile_frigate_7_nat;MEKO 200-class;;;;;;;;;;;;;x   # 1987;;
FRG_missile_frigate_8_nat;F 123-class;;;;;;;;;;;;;x   # 1992-94;;
FRG_missile_destroyer_0_nat;Type 101-class;;;;;;;;;;;;;x   # 1959;;
FRG_missile_destroyer_2_nat;Type 103-class;;;;;;;;;;;;;x   # 1969;;
FRG_missile_destroyer_4_nat;MEKO 360-class;;;;;;;;;;;;;x   # 1981;;
GER_attack_submarine_9_nat;TR-1700-class;;;;;;;;;;;;;x   # 1984 (Argentinian);;
GER_missile_boat_3_nat;Type 148-class;;;;;;;;;;;;;x   # 1972;;
GER_missile_boat_4_nat;Type 143-class;;;;;;;;;;;;;x   # 1976;;
GER_missile_boat_5_nat;Type 143A-class;;;;;;;;;;;;;x   # 1982;;
GER_missile_boat_6_nat;MEKO 140-class;;;;;;;;;;;;;x   # 1985;;
GER_missile_boat_7_nat;Project 133.1;;;;;;;;;;;;;x   # 1985;;
GER_missile_boat_8_nat;Project 133.1M;;;;;;;;;;;;;x   # 1987;;
GER_missile_boat_9_nat;Project 660;;;;;;;;;;;;;x   # 1992;;
GER_missile_frigate_1_nat;F 120-class;;;;;;;;;;;;;x   # 1961;;
GER_missile_frigate_5_nat;F 122-class;;;;;;;;;;;;;x   # 1982;;
GER_missile_frigate_6_nat;FS 1500-class;;;;;;;;;;;;;x   # 1983 (Colombian)	;;
GER_missile_frigate_7_nat;MEKO 200-class;;;;;;;;;;;;;x   # 1987;;
GER_missile_frigate_8_nat;F 123-class;;;;;;;;;;;;;x   # 1992-94;;
GER_missile_destroyer_0_nat;Type 101-class;;;;;;;;;;;;;x   # 1959;;
GER_missile_destroyer_2_nat;Type 103-class;;;;;;;;;;;;;x   # 1969;;
GER_missile_destroyer_4_nat;MEKO 360-class;;;;;;;;;;;;;x   # 1981;;
HOL_missile_frigate_7_nat;M-class;;;;;;;;;;;;;x   # 1991;;
HOL_cruiser_1_nat;Eendracht-class;;;;;;;;;;;;;x   # 1953;;
IND_missile_frigate_6_nat;Project 16;;;;;;;;;;;;;x   # 1983;;
ROM_missile_boat_6_nat;Admiral Petre Barbuneanu-class;;;;;;;;;;;;;x   # 1983;;
ROM_missile_boat_7_nat;Rear-Admiral Eustatiu Sebastian-class;;;;;;;;;;;;;x   # 1989;;
SOV_submarine_0_nat;Project 9 Series IX-class;;;;;;;;;;;;;x   # 1937;;
SOV_attack_submarine_0_nat;Project 611;;;;;;;;;;;;;x   # 1951;;
SOV_attack_submarine_1_nat;Project 613;;;;;;;;;;;;;x   # 1952;;
SOV_attack_submarine_3_nat;Project 633;;;;;;;;;;;;;x   # 1959;;
SOV_attack_submarine_4_nat;Project 641;;;;;;;;;;;;;x   # 1959;;
SOV_attack_submarine_7_nat;Project 641B Som-class;;;;;;;;;;;;;x   # 1974;;
SOV_attack_submarine_8_nat;Project 877 Paltus-class;;;;;;;;;;;;;x   # 1982;;
SOV_guided_submarine_0_nat;Project 613P-class;;;;;;;;;;;;;x   # 1957;;
SOV_guided_submarine_1_nat;Project 640U-class;;;;;;;;;;;;;x   # 1960;;
SOV_guided_submarine_2_nat;Project 665-class;;;;;;;;;;;;;x   # 1962;;
SOV_guided_submarine_3_nat;Project 651E -class;;;;;;;;;;;;;x   # 1963;;
SOV_nuclear_submarine_0_nat;Project 627 Kit-class;;;;;;;;;;;;;x   # 1959;;
SOV_nuclear_submarine_1_nat;Project 671 Yorsh-class;;;;;;;;;;;;;x   # 1967;;
SOV_nuclear_submarine_2_nat;Project 671RT Syomga-class;;;;;;;;;;;;;x   # 1972;;
SOV_nuclear_submarine_3_nat;Project 671RTM Shchuka-class;;;;;;;;;;;;;x   # 1977;;
SOV_nuclear_submarine_4_nat;Project 705 Lira-class;;;;;;;;;;;;;x   # 1978;;
SOV_nuclear_submarine_5_nat;Project 971 Shchuka-B-class;;;;;;;;;;;;;x   # 1984;;
SOV_nuclear_submarine_6_nat;Project 885 Yasen-class;;;;;;;;;;;;;x   # 20xx;;
SOV_nuclear_guided_submarine_0_nat;Project 659;;;;;;;;;;;;;x   # 1960;;
SOV_nuclear_guided_submarine_1_nat;Project 675;;;;;;;;;;;;;x   # 1962;;
SOV_nuclear_guided_submarine_2_nat;Project 670;;;;;;;;;;;;;x   # 1968;;
SOV_nuclear_guided_submarine_3_nat;Project 661 Anchar-class;;;;;;;;;;;;;x   # 1969;;
SOV_nuclear_guided_submarine_4_nat;Project 670M Skat-class;;;;;;;;;;;;;x   # 1975;;
SOV_nuclear_guided_submarine_5_nat;Project 675MK Skat-M-class;;;;;;;;;;;;;x   # 1982;;
SOV_nuclear_guided_submarine_6_nat;Project 949 Granit-class;;;;;;;;;;;;;x   # 1980;;
SOV_nuclear_guided_submarine_7_nat;Project 949A Antey-class;;;;;;;;;;;;;x   # 1986;;
SOV_ballistic_missile_submarine_0_nat;Project 658-class;;;;;;;;;;;;;x   # 1960;;
SOV_ballistic_missile_submarine_1_nat;Project 658M-class;;;;;;;;;;;;;x   # 1965;;
SOV_ballistic_missile_submarine_2_nat;Project 667A Navaga-class;;;;;;;;;;;;;x   # 1967;;
