blockade_chihli_gulf;Blockade of the Chihli Gulf;;Blockade des Chihli Golfes;;;;;;;;;;;x
desc_blockade_chihli_gulf;The Chihli Gulf is blocked. Ships laden with provisions and other goods can't get to the blocked ports and are forced to change their route. Supplies in the blocked areas are low, which may lead to revolts.;;Der Golf von Chihli is blockiert. Schiffe mit Nachschub und anderen Gütern können die blockierten Häfen nicht anlaufen und müssen ihre Route ändern. Versorgungsgüter in den blockierten Gebieten werden knapp, war zu Aufständen führen könnte.;;;;;;;;;;;x
control_over_taiwan_strait;Taiwan Strait;;Straße von Taiwan;;;;;;;;;;;x
desc_control_over_taiwan_strait;You control the Taiwan Strait;;Ihr kontrolliert die Straße von Taiwan;;;;;;;;;;;x
blockade_taiwan_strait;Blockade of the Taiwan Strait;;Blockade der Straße von Taiwan;;;;;;;;;;;x
desc_blockade_taiwan_strait;The Taiwan Strait is blocked. Ships laden with provisions and other goods can't get to the blocked ports and are forced to change their route. Supplies in the blocked areas are low, which may lead to revolts.;;Die Straße von Taiwan ist blockiert. Schiffe mit Versorgungs- und anderen Gütern können die blockierten Häfen nicht anlaufen und müssen ihre Route ändern. Die Versorgung in den blockierten Gebieten ist schlecht, was zu Revolten führen könnte.;;;;;;;;;;;x
control_over_mozambique_channel;Mozambique Channel;;Mozambik-Kanal;;;;;;;;;;;x
desc_control_over_mozambique_channel;You control the Mozambique Channel;;Ihr kontrolliert den Mozambik-Kanal;;;;;;;;;;;x
blockade_mozambique_channel;Blockade of the Mozambique Channel;;Blockade des Mozambik-Kanals;;;;;;;;;;;x
desc_blockade_mozambique_channel;The Mozambique Channel is blocked. Ships laden with provisions and other goods can't get to the blocked ports and are forced to change their route. Supplies in the blocked areas are low, which may lead to revolts.;;Die Straße von Mozambik ist blockiert. Schiffe mit Versorgungs- und anderen Gütern können die blockierten Häfen nicht anlaufen und müssen ihre Route ändern. Die Versorgung in den blockierten Gebieten ist schlecht, was zu Revolten führen könnte.;;;;;;;;;;;x
control_finland_gulf;Gulf of Finland;;Golf von Finnland;;;;;;;;;;;x
desc_control_finland_gulf;You control the Gulf of Finland;;Ihr kontrolliert den Golf von Finnland;;;;;;;;;;;x
blockade_finland_gulf;Blockade of the Gulf of Finland;;Blockade des Golfes von Finnland;;;;;;;;;;;x
desc_blockade_finland_gulf;The Gulf of Finland is blocked. Ships laden with provisions and other goods can't get to the blocked ports and are forced to change their route. Supplies in the blocked areas are low, which may lead to revolts.;;Der Golf von Finnland ist blockiert. Schiffe mit Versorgungs- und anderen Gütern können die blockierten Häfen nicht anlaufen und müssen ihre Route ändern. Die Versorgung in den blockierten Gebieten ist schlecht, was zu Revolten führen könnte.;;;;;;;;;;;x
control_suez_canal;Suez Canal;;;;;;;;;;;;;
desc_control_suez_canal;You control the Suez Canal;;;;;;;;;;;;;
control_panama_canal;Panama Canal;;;;;;;;;;;;;
desc_control_panama_canal;You control the Panama Canal;;;;;;;;;;;;;
control_kiel_canal;Kiel Canal;;;;;;;;;;;;;
desc_control_kiel_canal;You control the Kiel Canal;;;;;;;;;;;;;
control_baltic_strait;Gulf of Finland;;;;;;;;;;;;;
desc_control_baltic_strait;You control the Gulf of Finland;;;;;;;;;;;;;
control_gibraltar_strait;Gibraltar;;;;;;;;;;;;;
desc_control_gibraltar_strait;You control Gibraltar;;;;;;;;;;;;;
control_malacca_strait;Strait of Malacca;;;;;;;;;;;;;
desc_control_malacca_strait;You control the Strait of Malacca;;;;;;;;;;;;;
control_blacksea_strait;Bosphorus;;;;;;;;;;;;;
desc_control_blacksea_strait;You control the Bosphorus;;;;;;;;;;;;;
control_azov_strait;Strait of Kerch;;;;;;;;;;;;;
desc_control_azov_strait;You control the Strait of Kerch;;;;;;;;;;;;;
control_babelmandeb_strait;Bab-el-Mandeb;;;;;;;;;;;;;
desc_control_babelmandeb_strait;You control Bab-el-Mandeb;;;;;;;;;;;;;
control_odense_strait;Öresund;;;;;;;;;;;;;
desc_control_odense_strait;You control Öresund;;;;;;;;;;;;;
control_viborg_strait;Limfjord;;;;;;;;;;;;;
desc_control_viborg_strait;You control Limfjord;;;;;;;;;;;;;
control_magellan_strait;Strait of Magellan;;;;;;;;;;;;;
desc_control_magellan_strait;You control the Strait of Magellan;;;;;;;;;;;;;
control_bass_strait;Bass Strait;;;;;;;;;;;;;
desc_control_bass_strait;You control the Bass Strait;;;;;;;;;;;;;
control_tsugaru_strait;Tsugaru Strait;;;;;;;;;;;;;
desc_control_tsugaru_strait;You control the Tsugaru Strait;;;;;;;;;;;;;
control_tartary_strait;Strait of Tartary;;;;;;;;;;;;;
desc_control_tartary_strait;You control the Strait of Tartary;;;;;;;;;;;;;
control_qiongzhou_strait;Qiongzhou Strait;;;;;;;;;;;;;
desc_control_qiongzhou_strait;You control the Qiongzhou Strait;;;;;;;;;;;;;
control_sunda_strait;Sunda Strait;;;;;;;;;;;;;
desc_control_sunda_strait;You control the Sunda Strait;;;;;;;;;;;;;
control_foveaux_strait;Foveaux Strait;;;;;;;;;;;;;
desc_control_foveaux_strait;You control the Foveaux Strait;;;;;;;;;;;;;
