EVTOPTA53002;This shall boost our neighborly relations.;;;;;;;;;;;;;x
EVTNAME53003;Monarch Asked to Arbitrate Political Crisis;;;;;;;;;;;;;x
EVTDESC53003;Although the glorious days of direct monarchial rule are over in most lands, the monarchy still commands a great deal of respect and is seen as an impartial actor that keeps the best interest of its people at heart. Therefore, from time to time, political impasses are submitted for arbitration by the monarch. Such a political question has arisen now, and the monarch is asked to decide the matter. What shall we decide?;;;;;;;;;;;;;x
EVTOPTA53003;We should stay out of political questions;;;;;;;;;;;;;x
EVTOPTB53003;Rule for the government.;;;;;;;;;;;;;x
EVTOPTC53003;Rule for the opposition.;;;;;;;;;;;;;x
EVTNAME53004;Monarch Viewed as Moral Rock in Changing Times;;;;;;;;;;;;;x
EVTDESC53004;Although the glorious days of direct monarchial rule are over in most lands, the monarchy still commands a great deal of respect and is viewed as the anchor of our most traditional values. In these turbulent times, our nation’s monarchy has in fact become even dearer to our people as a source of stability and guidance. Let us aspire to justify the popular image of us with resolute action.;;;;;;;;;;;;;x
EVTOPTA53004;Good news.;;;;;;;;;;;;;x
EVTNAME53005;Celebration of Monarch's Reign Draws Huge Crowds;;;;;;;;;;;;;x
EVTDESC53005;A grand jubilee for our reigning monarch has drawn gigantic crowds and proven an absolute coup for the image of our monarchy. Long live the monarch!;;;;;;;;;;;;;x
EVTOPTA53005;Great!;;;;;;;;;;;;;x
EVTNAME53006;Living Royal Heritage is Tourist Draw;;;;;;;;;;;;;x
EVTDESC53006;Most monarchies have disappeared into the sands of time over the past two centuries, but ours remains a vibrant national institution relevant in the modern day. Tourists from all over the world are enraptured with the institution and personalities of our royal family, and are equally willing to spend very much money to feel more connected to them.;;;;;;;;;;;;;x
EVTOPTA53006;Great!;;;;;;;;;;;;;x
EVTNAME53007;Royal Family Member Champions Humanitarian and Social Issues;;;;;;;;;;;;;x
EVTDESC53007;A member of our royal family has become a champion of humanitarian and social issues abroad, drawing huge crowds and media attention to speeches on the issues. Not only is the world bettered by our activist royal, but our nation’s standing is bettered in the eyes of the world as well.;;;;;;;;;;;;;x
EVTOPTA53007;Great!;;;;;;;;;;;;;x
EVTNAME53008;Dynastic Marriages Unite Feuding Factions;;;;;;;;;;;;;x
EVTDESC53008;Various factions within our government are at odds and their feud has become very public – and embarrassing – because of the involvement of some high society aristocrats. Because of the aristocratic nature of the actors, our monarchy has been able to mend fences with strategically-placed marriages, calming hot heads and restoring some dignity to our traditional institutions.;;;;;;;;;;;;;x
EVTOPTA53008;Good news.;;;;;;;;;;;;;x
;;;;;;;;;;;;;x;
## Negative ##;;;;;;;;;;;;;x;
EVTNAME53020;Newspaper Editorial Insults Monarch;;;;;;;;;;;;;x
EVTDESC53020;Not all our citizens are enthralled with the monarchy, as evidenced by a recent editorial in a widely-read newspaper that insults our monarch for being out of touch with reality and sundry other failings. This might not be a problem for our image normally, but this newspaper’s circulation is wide and it is highly-regarded, so failing to respond may damage our reputation among the people. How shall we proceed?;;;;;;;;;;;;;x
EVTOPTA53020;Jail the editor.;;;;;;;;;;;;;x
EVTOPTB53020;Discourage future such publications.;;;;;;;;;;;;;x
EVTOPTC53020;Do not intervene.;;;;;;;;;;;;;x
EVTNAME53021;Royal Nepotism Alleged;;;;;;;;;;;;;x
EVTDESC53021;The privileges of birth run with the monarchy, and from time to time royal favors can be very useful to secure allies in government through discretionary appointment to high office. However, in the modern day, such favors often come across as nepotistic corruption, especially when revealed in a sensational manner by an ‘investigative journalist,’ as has happened today. Now that the issue of royal nepotism has been made public, how shall we react?;;;;;;;;;;;;;x
EVTOPTA53021;Nothing wrong with a few favors.;;;;;;;;;;;;;x
EVTOPTB53021;Crack down on such activities.;;;;;;;;;;;;;x
EVTNAME53022;Royal Titles Being Sold;;;;;;;;;;;;;x
EVTDESC53022;The privileges of rank run with the monarchy, and royal favors can be a very valuable commodity because of the privileges associated with them. However, in the modern day, selling royal titles comes across as nepotistic corruption, especially when revealed in a sensational manner by an ‘investigative journalist,’ as has happened today. Now that the issue of selling royal titles has been made public, how shall we react?;;;;;;;;;;;;;x
EVTOPTA53022;It is a lucrative business!;;;;;;;;;;;;;x
EVTOPTB53022;Crack down on such activities.;;;;;;;;;;;;;x
EVTNAME53023;Royal Tax Loopholes Criticized;;;;;;;;;;;;;x
EVTDESC53023;Traditionally, taxes are paid to the monarchy, not by it. However, in the present day when notions of non-personal statehood predominate, society may come to expect its royals to pay taxes as any ordinary citizen might. Consequently, when the public learns that the monarchy does not, in fact, pay taxes, the result is often rather unfavorable press for the monarchical system generally. How shall the current situation be addressed?;;;;;;;;;;;;;x
EVTOPTA53023;Tradition must remain unchanged.;;;;;;;;;;;;;x
EVTOPTB53023;Crack down on such activities.;;;;;;;;;;;;;x
EVTNAME53024;Monarch's Younger Son Embarrasses Court;;;;;;;;;;;;;x
EVTDESC53024;The youngest son of the monarch is quite daft at times and is prone to making unfortunate comments at sensitive times. This time he managed to insult a very important baroness in front of the entirety of our nation’s court, an event well-covered by the press. There isn’t much to be done now but contain the damage as much as we can.;;;;;;;;;;;;;x
EVTOPTA53024;Unfortunate.;;;;;;;;;;;;;x
EVTNAME53025;Royal Gaffe at Public Function;;;;;;;;;;;;;x
EVTDESC53025;The monarch is dear to the nation’s heart, but damned if he doesn’t put his foot in his mouth sometimes. This time he managed to insult the children of a very important dignitary at a very public event. There isn’t much to be done now but contain the damage as much as we can.;;;;;;;;;;;;;x
EVTOPTA53025;Unfortunate.;;;;;;;;;;;;;x
EVTNAME53026;Royal Marriage Collapses Publically;;;;;;;;;;;;;x
EVTDESC53026;A much anticipated and very public royal marriage lies in ruins after the prince ran away with a household servant less than a week before the ceremony. Although he returned, the former betrothed understandably wanted nothing more to do with him, and the entire event has been called off. The press couldn’t have wished for a better seller of papers than this and shows no signs of abating with its coverage of the scandal.;;;;;;;;;;;;;x
EVTOPTA53026;Unfortunate.;;;;;;;;;;;;;x
EVTNAME53027;Royal Family's Wealth Draws Controversy;;;;;;;;;;;;;x
EVTDESC53027;Our glorious royal family is among the wealthiest of all monarchical families in the world. Normally this could only be a boon to the royal prestige, but in this time of austerity when so many have so little, it has instead become a symbol for the vast economic inequality of our nation. Shall we donate a portion of the royal wealth to charity in order to improve our public image?;;;;;;;;;;;;;x
EVTOPTA53027;Donate a portion to charity.;;;;;;;;;;;;;x
EVTOPTB53027;They are merely envious.;;;;;;;;;;;;;x
EVTNAME53028;Alleged Illegitimate Child Attempts Blackmail;;;;;;;;;;;;;x
EVTDESC53028;An individual who claims to be the illegitimate child of a member of our royal family has privately contacted us, threatening to make the matter public if we do not pay up. Our investigations have revealed nothing corroborating this story, but also nothing that would disprove it. How shall we proceed with this delicate matter?;;;;;;;;;;;;;x
EVTOPTA53028;Pay them off.;;;;;;;;;;;;;x
EVTOPTB53028;Call their bluff.;;;;;;;;;;;;;x
EVTNAME53029;News of Illegitimate Royal Child Reaches Tabloids;;;;;;;;;;;;;x
EVTDESC53029;The blackmailing illegitimate child has taken their story to the usual tabloids who have blasted it across their front pages. We can only hope that nothing else comes to light that would make this story actually newsworthy.;;;;;;;;;;;;;x
EVTOPTA53029;Best ignore it.;;;;;;;;;;;;;x
EVTOPTB53029;Seek public forgiveness.;;;;;;;;;;;;;x
EVTNAME53030;Royal Family Feud;;;;;;;;;;;;;x
EVTDESC53030;A royal family feud regarding who is to succeed the reigning monarch has erupted onto the public stage after an unfortunate exchange between members of the royal family at a public dinner. Needless to say, the press has flown into action covering this imminently newsworthy situation, and our royal family’s affairs have come under the newspaperman’s microscope.;;;;;;;;;;;;;x
EVTOPTA53030;A messy affair.;;;;;;;;;;;;;x
EVTNAME53031;Rumors of Poor Health within Royal Family;;;;;;;;;;;;;x
EVTDESC53031;Rumors that the monarch and other members of the royal family suffer from a debilitating genetic disease are circulating among the national press, giving rise to fears that the royal family may not be secure. This is very bad for our public image because it tends to discredit the monarchy as a legitimate institution. However, nothing more than rumors are currently public, so we may still deny them outright.;;;;;;;;;;;;;x
EVTOPTA53031;Publically deny the rumors.;;;;;;;;;;;;;x
EVTOPTB53031;Best not to fan the flames.;;;;;;;;;;;;;x
EVTNAME53032;Embezzlement Alleged at Royal Charity;;;;;;;;;;;;;x
EVTDESC53032;It has been uncovered that funds meant for charitable purposes have in fact been systematically embezzled by the persons in charge of the beneficiary charities. This is a very embarrassing scandal for the royal family because it shows a lack of basic oversight of its charitable activities. We have a choice in how to deal with this problem.;;;;;;;;;;;;;x
EVTOPTA53032;Order an independent investigation.;;;;;;;;;;;;;x
EVTOPTB53032;It is a private matter.;;;;;;;;;;;;;x
EVTNAME53033;Draft Report Reveals Widespread Royal Corruption;;;;;;;;;;;;;x
EVTDESC53033;An investigation into the royal family’s business dealings has revealed widespread corruption among royals in which appointments to high offices are routinely traded for business advantages, and other such corrupt practices. The draft of this report has been made available to us and has not yet gone public, and we may still be able to suppress it. How shall we proceed?;;;;;;;;;;;;;x
EVTOPTA53033;Try to suppress the report.;;;;;;;;;;;;;x
EVTOPTB53033;The public will make up their minds.;;;;;;;;;;;;;x
EVTNAME53034;Report Inconclusive;;;;;;;;;;;;;x
EVTDESC53034;Fortunately, public scrutiny of the report on public corruption has come to the conclusion that the instances of corruption cannot be conclusively tied to royal business dealings. It seems that we have dodged a PR bullet this time.;;;;;;;;;;;;;x
EVTOPTA53034;It could certainly have been worse.;;;;;;;;;;;;;x
EVTNAME53035;Report Absolves Royal Family of Blame;;;;;;;;;;;;;x
EVTDESC53035;Fortunately, public scrutiny of the report on public corruption has concluded that the instances of corruption cannot possibly be tied to the royal family. It seems that we have dodged a PR bullet this time.;;;;;;;;;;;;;x
EVTOPTA53035;Good news!;;;;;;;;;;;;;x
EVTNAME53036;Monarch Abdicates;;;;;;;;;;;;;x
EVTDESC53036;The reigning monarch of $FROMCOUNTRY$ has decided, after long study and introspective contemplation, that his continued rule would not be in the best interest of the people and that his only choice is abdication. Although no nation welcomes the abdication of their monarch, $FROMCOUNTRY$ must bear this burden as best they can.;;;;;;;;;;;;;x
EVTOPTA53036;OK;;;;;;;;;;;;;x
;;;;;;;;;;;;;x;
